,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DDX11L2,0.1380985996635074,-0.012438226097323767,0.06592424350253394,-0.18867453665730238,0.8503479099273593,
MIR1302-2HG,0.017574056824097007,-0.005449785778306868,0.3070204734004525,-0.01775056144610464,0.9858378447881926,
FAM138A,0.0,,,,,
ENSG00000290826,0.0,,,,,
OR4F5,0.0,,,,,
ENSG00000238009,1.6336242295055057,-0.005032938753067154,0.0224864505241297,-0.22382095153996942,0.8228966265422085,0.9195469304305365
ENSG00000239945,0.13459790704050797,0.025801709716179337,0.07967480501260399,0.3238377516217039,0.7460608733209266,
ENSG00000239906,0.0,,,,,
ENSG00000241860,2.8281891756559747,0.017162243318191613,0.018720591140396182,0.916757552658586,0.3592697001759745,0.610365410970982
ENSG00000241599,0.0,,,,,
ENSG00000286448,0.14309936770405438,-0.013588448215683693,0.07302542151643955,-0.1860783263349551,0.8523833381513624,
ENSG00000236601,0.0,,,,,
ENSG00000290385,3.5149669793079643,0.010242906651292853,0.018388477211019764,0.5570285420455876,0.5775079284099658,0.7759429824166281
OR4F29,0.0,,,,,
ENSG00000235146,0.0,,,,,
OR4F16,0.0,,,,,
ENSG00000291215,56.21270688477563,0.005663526307958344,0.006263496097260593,0.9042116766761215,0.36588316974796875,0.6165501236059368
ENSG00000229905,0.037470996051408946,-0.019437579924912435,0.23114373120880866,-0.08409304385310402,0.9329824552562415,
LINC01409,72.62326713093098,-0.007682733066299727,0.007383707133370203,-1.0404980760379965,0.29810855745096543,0.5506685914974646
ENSG00000290784,41.29402552389024,0.008127525881762698,0.006104220299120387,1.3314601183272936,0.18303765933113847,0.413100976844442
FAM87B,0.7562334565338525,0.01744278834870626,0.03644434230001936,0.47861443636745205,0.6322129462954218,
LINC00115,31.64924653240343,0.010803540433311398,0.006766453453100065,1.59663263897304,0.11034761898367403,0.3040017592882272
LINC01128,117.1540650553744,0.0014350611750163587,0.00503056587395817,0.28526833977967936,0.775438566723861,0.8934329026090786
ENSG00000288531,0.1042378323339497,0.011664109104388141,0.14510730390718676,0.08038264643004266,0.9359329283817557,
FAM41C,0.5909715776360374,-0.0202029019926552,0.03833159157305449,-0.5270561738651363,0.5981545799216259,
ENSG00000272438,0.3225550581288408,0.0002333137434125687,0.04904269135053371,0.004757360107848764,0.9962041901378689,
ENSG00000230699,0.02933682778865252,-0.01147431978946617,0.287326925220145,-0.03993471819835451,0.9681451720506788,
ENSG00000241180,0.004594994174666609,-0.008010936782757473,0.3073144301693039,-0.02606755816296727,0.979203453100507,
LINC02593,0.005126654198819049,0.0034999178606154873,0.3072658109145127,0.011390521614489781,0.990911875186317,
SAMD11,0.08397697159429786,-0.020993915104449496,0.09827925616465807,-0.21361491655244194,0.8308473661620756,
NOC2L,299.42919611107516,-0.004269681855385885,0.002824428752024015,-1.511697490094656,0.1306108374382081,0.33618267861662554
KLHL17,59.3042273063949,0.006372962769430944,0.004399394112020799,1.4486001042774534,0.14744929206957172,0.36146957511574246
PLEKHN1,3.4976183887234495,0.04251949467481203,0.018919688824072155,2.2473675476476678,0.024616547223647662,0.11498581228091062
PERM1,0.17033228163384992,-0.033956984269018664,0.07509792312509904,-0.4521694190191212,0.6511469370044156,
ENSG00000272512,0.3802404164593853,0.03210347991059489,0.055825907862563084,0.5750641796928755,0.5652478924326364,
HES4,95.62634656998199,-0.0060988650526470995,0.025268373103480526,-0.2413635823592864,0.8092733355281709,0.9118388948083802
ISG15,1133.2458895342013,-0.04414973977603344,0.009382287402103893,-4.705647768382501,2.5306112412407975e-06,0.00014001235645250986
ENSG00000224969,3.616109001776895,-0.023238320202587162,0.016664285842819773,-1.3944984154601485,0.1631671476618174,0.38472881844945905
AGRN,5.106438228528622,-0.026046064569453697,0.015662417599539926,-1.6629657844277363,0.09631928470467446,0.2780558886671427
ENSG00000242590,0.005152661631107434,-0.006808117054032513,0.3072765816236986,-0.022156316039632223,0.9823232637780703,
ENSG00000291156,0.7004617370340285,-0.01412801566385367,0.035612715180694574,-0.39671267950702,0.6915793489514892,
ENSG00000273443,0.06250059102462956,-0.006180148206209898,0.14751023085578718,-0.04189640386538271,0.9665812831823586,
RNF223,0.0036241822275398356,8.635828055158502e-05,0.3072177599724321,0.00028109794355422126,0.9997757162937183,
C1orf159,93.15995714712108,0.007391666659221167,0.0032557520072518933,2.2703408130462326,0.023186912578068295,0.11048671866084317
ENSG00000285812,1.0975372805554475,-0.024919012119074893,0.028258552032950593,-0.881821973398295,0.377873087031539,
LINC01342,1.2624683813847748,-0.10604366834676318,0.048828396657959384,-2.171762245022995,0.02987360081138706,0.1311409291869617
ENSG00000272141,0.18089165111845304,0.01312344671144274,0.05656588074043225,0.23200287062908476,0.8165357841900864,
TTLL10-AS1,0.03782046370869217,-0.0005741207288198884,0.2749100648601804,-0.0020883947232411696,0.9983337033046927,
TTLL10,0.733987995000298,-0.026158737235388006,0.037892092790819655,-0.6903481784391079,0.48997525700525024,
TNFRSF18,253.46205439629736,0.06758133365092953,0.014180857050296716,4.765673429414866,1.8822391352872042e-06,0.00010958685820893686
TNFRSF4,124.48225438616544,0.053750921210033574,0.013335757704111526,4.030586218094058,5.5637915301244367e-05,0.0014933058628796396
SDF4,1240.467242200509,0.008175831817419156,0.002175696575843326,3.757799643661298,0.0001714140424289623,0.0034544100924457787
B3GALT6,173.6513703841867,0.002085389109453525,0.003742492861135858,0.5572192618212778,0.5773776309053326,0.7759257234628143
C1QTNF12,4.56369034092272,0.023320926846855775,0.01518257422029502,1.5360324611936995,0.12453041913566706,0.3271276883577231
ENSG00000260179,2.475708938088362,0.06422695213853119,0.023521442689105648,2.730570271026742,0.006322485263943813,0.046262206560071475
UBE2J2,396.3651288962555,8.060655646973862e-05,0.0026386022712588703,0.030548960465830815,0.9756292467775171,0.9895803980371488
LINC01786,1.1448098061753869,-0.01949997233074911,0.027599149379639008,-0.706542511963612,0.47985082514207034,0.7087453995268328
SCNN1D,9.193830509211525,0.013564440458865202,0.0104209458792111,1.3016515598574505,0.19303552568216698,0.4269730273162203
ACAP3,89.28077924618566,0.005144354585826891,0.003865627438601223,1.3307942028909994,0.18325673596451697,0.41329963741604175
PUSL1,79.78527531165065,-0.002267746419874639,0.004332590626581407,-0.5234158071527714,0.6006849264127475,0.791515332700697
INTS11,476.31799783750847,-0.005287585205023952,0.001878898183770695,-2.8141946438058087,0.0048899610047995045,0.03868220824950511
ENSG00000240731,0.35827392855702234,0.015886964706717212,0.04656712057335003,0.3411627025916905,0.7329810997053996,
