,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,E2F Targets,-0.6094304844910995,-2.422395068348245,0.0,0.0,0.0,90/200,23.14%,KIF18B;AURKB;E2F8;DEPDC1;DLGAP5;KIF2C;MELK;BIRC5;KIF4A;ESPL1;TOP2A;CDK1;SPC25;MYBL2;CDC25A;DIAPH3;SPC24;MKI67;CDCA3;CCNB2;SPAG5;CDC20;PLK1;CENPE;CDKN3;LMNB1;RRM2;TK1;UBE2T;HMMR;BUB1B;CDCA8;GINS1;CTPS1;HMGB3;KPNA2;CKS2;CIT;TRIP13;ASF1B;CKS1B;ORC6;CHEK2;HMGA1;BRMS1L;BRCA1;STMN1;DSCC1;PCNA;UNG;MAD2L1;CCNE1;TACC3;MYC;MCM2;CENPM;PSMC3IP;EZH2;TUBG1;RFC3;RAD51AP1;MCM4;BARD1;PLK4;MTHFD2;H2AX;GINS3;HELLS;BRCA2;SMC4;SMC6;CDKN1A;NASP;TUBB;GSPT1;MCM5;RACGAP1;MCM6;ATAD2;AURKA;UBE2S;NCAPD2;JPT1;SLBP;H2AZ1;RNASEH2A;LBR;POLD1;MSH2;ING3
1,prerank,Interferon Alpha Response,-0.6502153188764473,-2.335694212670694,0.0,0.0,0.0,54/97,18.83%,IFI27;IFI44L;LGALS3BP;OAS1;MX1;IFI44;CMPK2;USP18;RSAD2;IRF7;IFIT3;CCRL2;ISG15;PLSCR1;OASL;EPSTI1;PARP9;HERC6;IRF9;BATF2;ISG20;EIF2AK2;LY6E;SAMD9L;GBP4;IFITM3;IFI35;CXCL10;UBE2L6;STAT2;DDX60;TAP1;NMI;TRIM25;LAP3;BST2;HELZ2;CNP;IFIH1;PSME2;DHX58;TRAFD1;SAMD9;RIPK2;PARP14;PARP12;RTP4;LAMP3;PSMB9;CD74;PSMB8;TMEM140;TRIM5;IFITM1
2,prerank,G2-M Checkpoint,-0.586278252703764,-2.3074274371313717,0.0,0.0,0.0,84/199,20.78%,AURKB;E2F2;KIF2C;PBK;BIRC5;UBE2C;KIF4A;CENPF;ESPL1;TOP2A;KIF23;CDK1;TROAP;KNL1;MYBL2;CDC25A;KIF15;NUSAP1;MKI67;NEK2;TPX2;CCNA2;CCNB2;CDC20;H2BC12;PLK1;CDC6;CENPE;BUB1;CDKN3;KIF11;POLQ;EGF;MAP3K20;STIL;LMNB1;CDC45;TTK;HMMR;RAD54L;HMGB3;KPNA2;CKS2;GINS2;TLE3;E2F3;FBXO5;CKS1B;ORC6;SLC7A5;PRC1;BCL3;TRAIP;HMGA1;NDC80;E2F1;MARCKS;STMN1;EXO1;MAD2L1;TACC3;MYC;MCM2;CDC7;EZH2;BARD1;PLK4;RBM14;H2AX;BRCA2;SMC4;NASP;NUP50;GSPT1;MCM5;RACGAP1;MNAT1;LIG3;MCM6;HSPA8;PML;AURKA;SAP30;UBE2S
3,prerank,Interferon Gamma Response,-0.487810184601815,-1.9553074459647026,0.0,0.0,0.0,99/198,24.51%,IFI27;IFI44L;LGALS3BP;PTGS2;IFIT1;MX1;PLA2G4A;OAS3;IFI44;CMPK2;USP18;RSAD2;IRF7;CD38;IFIT3;ISG15;PLSCR1;PDE4B;OASL;EPSTI1;XAF1;OAS2;IRF4;STAT1;MX2;CIITA;HERC6;IRF9;BATF2;TNFAIP3;ISG20;EIF2AK2;LY6E;SAMD9L;GBP4;IRF8;IFITM3;IFI35;XCL1;FCGR1A;CXCL10;UBE2L6;STAT2;SECTM1;JAK2;DDX60;BANK1;TAP1;NMI;GPR18;TRIM25;AUTS2;SERPING1;LAP3;BST2;HELZ2;IFIH1;PSME2;VAMP5;SOCS3;DHX58;TRAFD1;ARID5B;PIM1;RIPK2;PARP14;PARP12;TNFAIP2;RTP4;GCH1;PSMB9;MTHFD2;CD74;PSMB8;CDKN1A;NLRC5;ST3GAL5;GBP6;IRF5;RNF213;IFITM2;ZBP1;PML;TNFSF10;SP110;IRF1;PTPN2;ISOC1;APOL6;ZNFX1;RBCK1;PELI1;TRIM21;ADAR;PSMB10;RNF31;TRIM14;METTL7B;WARS1
4,prerank,Mitotic Spindle,-0.4439982556805807,-1.743222948239123,0.0,0.002288724399436901,0.007,60/199,23.56%,CDC42BPA;DLGAP5;KIF2C;BIRC5;ANLN;KIF4A;CENPF;ESPL1;TOP2A;KIF23;CDK1;KIF15;NUSAP1;NEK2;TPX2;CCNB2;PLK1;CENPE;BUB1;KIF11;ECT2;LMNB1;TTK;RAPGEF5;CTTN;SHROOM2;FBXO5;CDC42EP1;PRC1;NDC80;MARCKS;PKD2;NET1;CDC42EP4;SAC3D1;ARHGAP29;NIN;FARP1;MAP1S;TRIO;BRCA2;SMC4;YWHAE;CLASP1;RASA1;RACGAP1;PCNT;RASA2;MID1IP1;GEMIN4;AURKA;KNTC1;ARAP3;CEP250;NUMA1;KPTN;ARHGAP27;PIF1;CNTROB;NCK2
5,prerank,Notch Signaling,-0.5358992617105456,-1.5605986928177193,0.020316027088036117,0.028064120612142952,0.1,6/31,7.75%,DLL1;DTX1;FZD1;JAG1;NOTCH3;DTX4
6,prerank,UV Response Dn,-0.37788032538876654,-1.4348242937521005,0.006726457399103139,0.07753637761357665,0.286,30/141,14.81%,LAMC1;CDC42BPA;PLCB4;DDAH1;COL1A2;MMP16;COL1A1;COL5A2;ADORA2B;SERPINE1;MAP1B;ADGRL2;GJA1;FHL2;LTBP1;SIPA1L1;SCHIP1;PLPP3;PTPRM;LPAR1;ICA1;IRS1;TFPI;IGF1R;DLC1;MYC;RND3;BDNF;DAB2;PRKAR2B
7,prerank,Wnt-beta Catenin Signaling,-0.4409463788314823,-1.3632404295010134,0.0603448275862069,0.12526679079060898,0.445,11/42,14.15%,GNAI1;DLL1;DKK4;AXIN2;LEF1;FZD1;JAG1;TCF7;NKD1;MYC;CCND2
8,prerank,TNF-alpha Signaling via NF-kB,-0.327053557194865,-1.29145186417684,0.023474178403755867,0.20943644702783706,0.663,66/199,19.84%,PTGS2;GPR183;CXCL3;VEGFA;SNN;NR4A3;DUSP4;CCRL2;PDE4B;SERPINE1;HBEGF;PHLDA2;TNFSF9;DENND5A;IL7R;OLR1;PMEPA1;JAG1;EFNA1;TLR2;TNFAIP3;PTX3;PLPP3;BCL3;SIK1;KLF4;CXCL10;CCL4;MARCKS;ZFP36;GFPT2;TIPARP;ABCA1;MYC;TAP1;MAP3K8;IL1A;LIF;GADD45A;ICOSLG;PFKFB3;IFIH1;FJX1;SOCS3;PANX1;BCL6;PTGER4;MAFF;IRS2;CCL20;RIPK2;SPHK1;TNFAIP2;PLK2;GCH1;SLC2A3;DUSP5;CDKN1A;CEBPD;AREG;DUSP2;SGK1;BCL2A1;PLEK;FOSL2;BTG3
9,prerank,TGF-beta Signaling,-0.39582361822454504,-1.2876277801113765,0.10352422907488987,0.19388765269515462,0.67,10/54,11.04%,SMAD1;NOG;LEFTY2;SERPINE1;ID3;PMEPA1;SMAD6;BCAR3;ENG;CDH1
10,prerank,Inflammatory Response,-0.3223521391495309,-1.2689490379471797,0.036585365853658534,0.2073227621567842,0.732,54/195,16.24%,CALCRL;GPR183;SLC28A2;GP1BA;IL10;CCR7;IRF7;IL1R1;ADORA2B;GPC3;CXCR6;CCRL2;PDE4B;GNA15;SERPINE1;RGS1;HBEGF;KCNMB2;TNFSF9;IL7R;OLR1;NOD2;MSR1;TLR2;SLC1A2;EIF2AK2;LY6E;PTGIR;CHST2;KCNJ2;SLAMF1;CXCL10;LPAR1;ABCA1;NPFFR2;MMP14;MYC;NMI;PCDH7;IL1A;LIF;BST2;ICOSLG;ITGB8;HRH1;APLNR;PTGER4;CCL20;RIPK2;SPHK1;RTP4;LAMP3;GCH1;MEP1A
11,prerank,Myogenesis,0.3246069473210711,1.2607881898106998,0.0498220640569395,1.0,0.86,44/188,16.88%,IGFBP3;LARGE1;KCNH1;CDH13;FKBP1B;PPFIA4;CNN3;SORBS3;FXYD1;LAMA2;SVIL;ADCY9;CAMK2B;MAPRE3;SGCD;ADAM12;GNAO1;FGF2;MRAS;HSPB8;PC;IGF1;CASQ2;CLU;COL6A2;TNNC1;PFKM;SMTN;LDB3;ACTN2;WWTR1;PRNP;MYBPC3;KLF5;SPDEF;DMPK;SH3BGR;TPD52L1;ITGB5;CAV3;GSN;CKMT2;MYH8;NCAM1
12,prerank,Hedgehog Signaling,-0.4196179901606081,-1.2496687387944923,0.14935064935064934,0.22628400163480317,0.798,7/36,7.59%,SCG2;UNC5C;VEGFA;ACHE;NRP2;TLE1;TLE3
13,prerank,Angiogenesis,-0.4103921348284945,-1.2258896936151678,0.16593886462882096,0.2527657166411083,0.851,12/34,14.15%,THBD;TNFRSF21;PTK2;COL5A2;VEGFA;OLR1;JAG1;APP;PDGFA;SPP1;PGLYRP1;CCND2
14,prerank,KRAS Signaling Dn,-0.3108064706917114,-1.2207555139237263,0.05639913232104121,0.24638818789856434,0.862,44/176,17.24%,IFI44L;BRDT;SLC6A3;MX1;GPR3;GP1BA;RSAD2;PLAG1;CD40LG;KCNQ2;EDAR;SNN;YBX2;NUDT11;KCNMB1;PCDHB1;EGF;RYR1;TCF7L1;KCND1;TCL1A;PNMT;ITIH3;CHST2;WNT16;PDCD1;TEX15;FGF16;CLDN16;CDH16;NTF3;NR6A1;KRT1;SOX10;ARHGDIG;SCGB1A1;ABCB11;C5;EPHA5;BARD1;VPREB1;ZBTB16;GDNF;HSD11B2
15,prerank,Myc Targets V1,-0.3085649298048792,-1.2104233408029021,0.08277404921700224,0.25175968393805914,0.881,110/199,44.90%,TYMS;CCNA2;CDC20;CDC45;CTPS1;KPNA2;PCNA;MAD2L1;MYC;IFRD1;MCM2;EIF3B;PRDX3;HSPD1;MCM4;HSPE1;PCBP1;PRPS2;YWHAE;MRPL23;TRIM28;GSPT1;MCM5;CCT5;MCM6;H2AZ1;PSMA1;CCT3;CDK2;AP3S1;HPRT1;PPM1G;SRSF2;HDAC2;LDHA;CCT2;SERBP1;PGK1;CCT4;PSMA4;PSMC4;PSMB2;PABPC1;RUVBL2;COPS5;NME1;EIF3J;SF3B3;TFDP1;PSMD8;EIF4G2;LSM2;DUT;ETF1;XPO1;PTGES3;HNRNPA2B1;RAD23B;PSMA7;MCM7;STARD7;VDAC1;EIF4A1;CCT7;NOP16;DDX21;USP1;VBP1;FAM120A;SET;HDGF;UBE2L3;EIF2S1;RAN;HNRNPA3;DEK;COX5A;HNRNPU;SRPK1;PSMB3;PSMD1;MRPS18B;LSM7;XRCC6;HNRNPD;HNRNPR;RNPS1;PSMA6;SRSF7;U2AF1;EPRS1;PSMD14;EIF2S2;IARS1;RANBP1;SF3A1;UBE2E1;TRA2B;RFC4;CSTF2;EIF4H;TCP1;SRSF3;NOP56;CUL1;CANX;PSMC6;HNRNPC;KARS1;HSP90AB1
16,prerank,Epithelial Mesenchymal Transition,0.30986464080891774,1.1827176458812243,0.12157534246575342,0.988491368526395,0.962,41/194,13.23%,IGFBP3;LOXL1;COL5A3;HTRA1;SGCB;LRP1;ENO2;MSX1;IGFBP2;LAMA2;MGP;INHBA;TGFBI;TIMP1;CADM1;RHOB;SDC4;EDIL3;SGCD;ADAM12;APLP1;MYL9;TNC;FGF2;COL11A1;PFN2;MAGEE1;CDH11;ABI3BP;COL6A2;CALD1;VCAM1;PVR;LAMA3;VIM;JUN;DCN;SLIT2;PLAUR;COL7A1;VCAN
17,prerank,Spermatogenesis,-0.3127410862927898,-1.1775715607527628,0.13095238095238096,0.3084669179419645,0.939,30/126,14.52%,SCG5;KIF2C;CLGN;CAMK4;CDK1;GAPDHS;NEK2;YBX2;CCNB2;DMC1;SLC2A5;BUB1;CDKN3;PCSK1N;NCAPH;TTK;IL12RB2;TKTL1;ACRV1;PAPOLB;GSG1;HSPA4L;ACE;SCG3;GPR182;NAA11;GFI1;MTNR1A;NEFH;EZH2
18,prerank,Hypoxia,0.3026685642323492,1.156715496380491,0.14184397163120568,0.798932532732883,0.978,26/194,9.97%,IGFBP3;LARGE1;ANGPTL4;PPFIA4;MT1E;ENO2;ERRFI1;BCAN;IER3;TGFBI;KDELR3;BCL2;EGFR;CAV1;SDC4;S100A4;LDHC;KIF5A;ALDOC;SULT2B1;NCAN;P4HA2;VLDLR;FBP1;B4GALNT2;RRAGD
19,prerank,Glycolysis,-0.2929994012788224,-1.1554553551263822,0.13876651982378854,0.3419623514452782,0.964,33/196,11.06%,NDST3;DEPDC1;PKP2;CDK1;HK2;PLOD2;ADORA2B;VEGFA;GAPDHS;GPC3;KIF20A;ALDH7A1;NOL3;IL13RA1;GYS2;DPYSL4;CLDN9;B3GNT3;HMMR;TKTL1;SDC3;ISG20;GPC1;CHST1;AGRN;CHST4;CHST2;EFNA3;GPR87;PYGL;TGFA;STMN1;HS6ST2
20,prerank,IL-6/JAK/STAT3 Signaling,-0.32004354486135084,-1.1243791014752955,0.2446351931330472,0.40406884337677673,0.98,28/85,21.73%,CD9;TNFRSF21;CXCL3;IL1R1;CD38;IL1R2;IL13RA1;STAT1;IRF9;TLR2;HMOX1;BAK1;CXCL10;STAT2;MAP3K8;CCR1;SOCS3;IL17RB;PIM1;PDGFC;CRLF2;OSMR;LTBR;IRF1;ITGB3;PTPN2;CNTFR;CSF2RA
21,prerank,Allograft Rejection,-0.27752620824294394,-1.102463977590081,0.18544600938967137,0.44440832793577423,0.984,43/194,17.79%,TRAT1;LY86;IL10;IRF7;CD40LG;ACHE;SIT1;CD3G;CCR2;CD79A;HLA-DRA;IRF4;CD4;STAT1;CAPG;FASLG;TLR2;BCAT1;IRF8;HLA-DOA;MMP9;BCL3;BRCA1;CCL4;JAK2;GZMB;TAP1;CCR1;ETS1;LIF;ICOSLG;CCND2;KRT1;CXCR3;CFP;HLA-DOB;RIPK2;CD28;CD74;TAP2;INHBB;TRAF2;FGR
22,prerank,KRAS Signaling Up,-0.27798519451425996,-1.0976331882730268,0.23787528868360278,0.43673765950683435,0.984,56/192,18.98%,SCG5;ADGRA2;GUCY1A1;PTGS2;GNG11;PLEK2;TSPAN13;ANXA10;BTBD3;TSPAN7;TMEM158;PCSK1N;HBEGF;SPRY2;IL7R;GPNMB;SPARCL1;TNFAIP3;AKAP12;MALL;IRF8;ADGRL4;MMP9;F13A1;EPB41L3;ENG;KLF4;CXCL10;TMEM176B;CBX8;ACE;GFPT2;SPP1;TFPI;SCG3;WNT7A;H2BC3;CBR4;ETS1;LIF;CCND2;FCER1G;NIN;CCL20;TRIB2;ETV5;SCN1B;PLVAP;PSMB8;IL1RL2;ITGA2;CFHR2;BTC;SATB1;SDCCAG8;MYCN
