Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,monocyte chemotaxis (GO:0002548),2/42,0.001355132075043,0.1206825271721015,0,0,41.52916666666667,274.25265129441186,CCL25;FLT1
GO_Biological_Process_2021,positive regulation of phospholipase C activity (GO:0010863),2/43,0.0014201022558982,0.1206825271721015,0,0,40.51422764227642,265.65286017600937,FLT1;GPR55
GO_Biological_Process_2021,cellular defense response (GO:0006968),2/49,0.0018406022262669,0.1206825271721015,0,0,35.33156028368794,222.50624099408685,LGALS3BP;NCR2
GO_Biological_Process_2021,positive regulation of cell-substrate adhesion (GO:0010811),2/70,0.0037170469862234,0.1206825271721015,0,0,24.39460784313725,136.4835800450302,CCL25;LIMS2
GO_Biological_Process_2021,phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200),2/81,0.0049433417186231,0.1206825271721015,0,0,20.986286919831223,111.43117548975628,PTGER3;GPR55
GO_Biological_Process_2021,positive regulation of MAPK cascade (GO:0043410),3/274,0.0052374418233461,0.1206825271721015,0,0,9.483234397561366,49.805208326351575,CCL25;FLT1;GPR55
GO_Biological_Process_2021,regulation of fever generation (GO:0031620),1/5,0.0064836893697988,0.1206825271721015,0,0,199.7,1006.1815770136444,PTGER3
GO_Biological_Process_2021,negative regulation of vascular endothelial cell proliferation (GO:1905563),1/5,0.0064836893697988,0.1206825271721015,0,0,199.7,1006.1815770136444,FLT1
GO_Biological_Process_2021,gastro-intestinal system smooth muscle contraction (GO:0014831),1/5,0.0064836893697988,0.1206825271721015,0,0,199.7,1006.1815770136444,PTGER3
GO_Biological_Process_2021,negative regulation of leukocyte adhesion to vascular endothelial cell (GO:1904995),1/5,0.0064836893697988,0.1206825271721015,0,0,199.7,1006.1815770136444,CCL25
GO_Biological_Process_2021,positive regulation of heat generation (GO:0031652),1/5,0.0064836893697988,0.1206825271721015,0,0,199.7,1006.1815770136444,PTGER3
GO_Biological_Process_2021,negative regulation of cellular extravasation (GO:0002692),1/6,0.007775574144635,0.1206825271721015,0,0,159.752,775.8783981291459,CCL25
GO_Biological_Process_2021,positive regulation of fever generation (GO:0031622),1/6,0.007775574144635,0.1206825271721015,0,0,159.752,775.8783981291459,PTGER3
GO_Biological_Process_2021,SMAD protein complex assembly (GO:0007183),1/7,0.0090658443341152,0.1206825271721015,0,0,133.12,626.0954814439701,SMAD1
GO_Biological_Process_2021,negative regulation of digestive system process (GO:0060457),1/7,0.0090658443341152,0.1206825271721015,0,0,133.12,626.0954814439701,PTGER3
