Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,neuron cell-cell adhesion (GO:0007158),2/16,0.0011033108979298,0.2069836081464,0,0,47.43809523809524,323.02684960773564,NLGN4Y;NCAM2
GO_Biological_Process_2021,presynaptic endocytosis (GO:0140238),2/27,0.0031571877933943,0.2069836081464,0,0,26.550666666666668,152.8806924349947,NLGN4Y;SYT1
GO_Biological_Process_2021,synaptic vesicle recycling (GO:0036465),2/34,0.0049763052626568,0.2069836081464,0,0,20.735416666666666,109.96131585023592,NLGN4Y;SYT1
GO_Biological_Process_2021,synaptic vesicle endocytosis (GO:0048488),2/38,0.0061865262459464,0.2069836081464,0,0,18.427777777777777,93.71228089498032,NLGN4Y;SYT1
GO_Biological_Process_2021,regulation of exocytosis (GO:0017157),2/52,0.0113494400455293,0.2069836081464,0,0,13.258666666666668,59.38009046649572,SYT1;STXBP6
GO_Biological_Process_2021,positive regulation of myoblast proliferation (GO:2000288),1/5,0.0154055971565864,0.2069836081464,0,0,81.69672131147541,340.9224101149157,MEIS2
GO_Biological_Process_2021,peptidyl-lysine oxidation (GO:0018057),1/5,0.0154055971565864,0.2069836081464,0,0,81.69672131147541,340.9224101149157,LOXL1
GO_Biological_Process_2021,dorsal/ventral axis specification (GO:0009950),1/5,0.0154055971565864,0.2069836081464,0,0,81.69672131147541,340.9224101149157,CXXC4
GO_Biological_Process_2021,protein de-ADP-ribosylation (GO:0051725),1/5,0.0154055971565864,0.2069836081464,0,0,81.69672131147541,340.9224101149157,MACROD2
GO_Biological_Process_2021,negative regulation of protein targeting to membrane (GO:0090315),1/6,0.0184585889770285,0.2069836081464,0,0,65.35409836065574,260.90829732586,DMTN
GO_Biological_Process_2021,cellular response to calcium ion (GO:0071277),2/69,0.0194161829566514,0.2069836081464,0,0,9.886069651741291,38.96741050267062,DMTN;SYT1
GO_Biological_Process_2021,negative regulation of Wnt signaling pathway (GO:0030178),3/191,0.0214783589447663,0.2069836081464,0,0,5.3416877028489,20.515870233516004,DRAXIN;CXXC4;GLI3
GO_Biological_Process_2021,purine-containing compound metabolic process (GO:0072521),1/7,0.0215022676893736,0.2069836081464,0,0,54.459016393442624,209.10066918631128,MACROD2
GO_Biological_Process_2021,T cell apoptotic process (GO:0070231),1/7,0.0215022676893736,0.2069836081464,0,0,54.459016393442624,209.10066918631128,GLI3
GO_Biological_Process_2021,nose development (GO:0043584),1/7,0.0215022676893736,0.2069836081464,0,0,54.459016393442624,209.10066918631128,GLI3
GO_Biological_Process_2021,positive regulation of integrin-mediated signaling pathway (GO:2001046),1/7,0.0215022676893736,0.2069836081464,0,0,54.459016393442624,209.10066918631128,DMTN
GO_Biological_Process_2021,actin filament reorganization (GO:0090527),1/8,0.0245366609727815,0.2069836081464,0,0,46.6768149882904,173.05834842078664,DMTN
