,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PTGER3,4.072000082248432,-0.11570557695958315,0.03057258180709896,-3.7846190972564937,0.00015394417400652389,0.0032185825911957553
IFI44L,300.00218517293973,-0.13420332818993336,0.028405153334656177,-4.724611995887252,2.3055512739208368e-06,0.00012906994439387595
LAMC1,1.1915670411230213,-0.10506188686692604,0.03435461341852643,-3.0581594846376374,0.0022270101827015078,0.022655637998428995
ESRRG,2.010082254664647,-0.23709932031419856,0.04789480407734299,-4.950418419737523,7.405409482356942e-07,5.2285506800432104e-05
LIMS2,1.3044206880397242,-0.10491676202166086,0.03694719109889484,-2.8396410904643603,0.004516431744672961,0.03661521913997504
GPR55,1.4112771236999986,-0.1062637019590003,0.032954632579584205,-3.2245451895838144,0.0012617294159905825,0.015148758889196574
LIPH,4.429496608992045,-0.19674145763458767,0.06932289496493321,-2.83804445463665,0.004539086036995473,0.03667507963724142
BEND4,6.801856255542291,-0.1262812273775167,0.017059745668944852,-7.4022924976775,1.3385325725699215e-13,1.0131085335267222e-10
DKK2,5.496122275355212,-0.27059635178331426,0.04027968398206578,-6.717936315086167,1.8431620979485245e-11,8.719078304345496e-09
HHIP-AS1,1.1662489406990049,-0.10273003325013523,0.0348662087410034,-2.9464067634437847,0.0032148932345938555,0.02906460094839223
SMAD1,12.961269513277818,-0.10246377168910889,0.023111834789155617,-4.433389760002363,9.27629487119222e-06,0.000385640435542979
CHSY3,134.53210175623764,-0.11042065890937107,0.02221156579973779,-4.971313589727862,6.65007849921916e-07,4.877239742721897e-05
NCR2,1.8806452069688115,-0.12710457410987397,0.03223318019994289,-3.9432837008772466,8.037348198569473e-05,0.0019623574530752462
IGF2BP3,4.910312850850048,-0.1487464397009975,0.02180964678816552,-6.820213144474727,9.090553379589965e-12,4.778095862461147e-09
PDE1C,7.18507453007618,-0.1518026145382524,0.0273967482259978,-5.540898988669072,3.009227697183807e-08,4.055420284039316e-06
FLT1,2.405862136756184,-0.11164809347319428,0.025845811530022997,-4.3197751149543775,1.561882834576423e-05,0.0005705395172944995
IFI27,15.309100161295971,-0.17381887602728469,0.02818210986201148,-6.1677027333424235,6.928924702296729e-10,1.725119910748141e-07
NDN,4.790434762650891,-0.11792261219188765,0.029308960486593552,-4.023432091555331,5.7356127513578294e-05,0.0015222010243126929
SCG5,4.769901151278264,-0.12586522071841239,0.03256244831774887,-3.8653488057839556,0.0001109305508757934,0.0025241825519853097
PRSS33,8.608536543667823,-0.10483272283169184,0.0308405487340027,-3.3991847465447456,0.0006758704601065057,0.009615654771530301
MRC2,2.31474169133475,-0.10926617278473448,0.023571054030883002,-4.635608260944673,3.5588939884297334e-06,0.00018349153146884854
LGALS3BP,16.483651235057327,-0.11816101871632438,0.015743233946440807,-7.505511200450524,6.118933854734116e-14,5.262839381785407e-11
MIR924HG,6.607486243831547,-0.1549136700129409,0.027545470195605833,-5.623925419056865,1.866662662809427e-08,2.8032532464825377e-06
CCL25,2.0448701798949833,-0.15250321564272246,0.03026277833283384,-5.039299893931513,4.6723786150508407e-07,3.668495774024565e-05
IGLV3-10,1.34085381533493,-0.13391530350261227,0.0377586740981579,-3.546610327324642,0.00039022131174724147,0.006387924551703401
GALR3,1.6566104364939647,-0.1264389300763826,0.029855396106850264,-4.235044466463181,2.2850648415465872e-05,0.0007545898242887351
