,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DRAXIN,34.14401952975068,0.12367320303670087,0.017695539428093935,6.988947894990634,2.7695524678262316e-12,1.5880445998850894e-09
ENSG00000289062,9.367240332506537,0.13574041236956777,0.026310310112206164,5.159209898730674,2.479941605372604e-07,2.2239552159649483e-05
C1orf115,2.0931150029205035,0.10293874078410249,0.02285079681175964,4.504820625385258,6.642903026068046e-06,0.000298737251659345
ENSG00000290596,2.6892902154055007,0.10365773948469176,0.030545719562636374,3.393527504635584,0.0006899862918687399,0.009750500832517025
TEX41,4.889390928973295,0.13785779639875284,0.04049937980310387,3.403948333751704,0.0006641931522796883,0.009499518388084854
ERICH2,3.170083640992028,0.12661856840384947,0.02177302700643107,5.815386549901873,6.049392994244586e-09,1.1675256427135083e-06
GPR156,4.526875416059275,0.11625703994572863,0.02173435981649274,5.348997666704174,8.844268198864774e-08,9.844190756407016e-06
RAB6B,1.3631888983135656,0.10584540305342664,0.03601378386967982,2.939024775525973,0.0032924675383944235,0.029568139896297717
CXXC4,4.00601259226097,0.1298945623111378,0.025476164760277236,5.098670209327232,3.4204788300059755e-07,2.8386973869023275e-05
CXXC4-AS1,1.5051483239359695,0.13189702457237631,0.03318195237107943,3.9749627477415856,7.039027311544987e-05,0.0017688243663885027
NR3C2,49.082711175248185,0.12807814194319805,0.01216920097835378,10.524778263669056,6.641763926897445e-26,1.2567545702475347e-21
ENSG00000251293,1.7508513592389718,0.12005060981936007,0.030357916631022296,3.9545075269322725,7.669245757219163e-05,0.0018895503674231902
PRR16,1.5786320640745424,0.18525731449252167,0.04075989128546866,4.5450885331131365,5.4912168438382825e-06,0.00025911422722969574
PCDHGB6,4.092872449437462,0.12253251317943628,0.022633062564087588,5.413872419274866,6.16761186334222e-08,7.159727096819723e-06
PCDHGA10,3.5447356558629504,0.1357552497530581,0.023718666703320204,5.723561591851818,1.0431372517006255e-08,1.794385734243567e-06
TRIM7,1.45737142520574,0.14724074631134207,0.032421986726806004,4.541385682253877,5.588568694620264e-06,0.00026305198218807126
PI16,1.2681012192784515,0.14803667144604224,0.03680710655784596,4.0219589446235915,5.77161195265464e-05,0.0015282673329307524
RCAN2,2.211367177494288,0.11231477602639135,0.03605372476378335,3.115205897927464,0.0018381655148531828,0.019645891679588287
ENSG00000287097,10.48750601227595,0.12709211765718784,0.03840440699969134,3.309310768897155,0.0009352596362521378,0.01222167323008491
GLI3,14.860761748034692,0.12317843117962118,0.019860324075973382,6.202236716199407,5.56662626218968e-10,1.442900029221276e-07
IGFBP3,4.2410781576282695,0.21992952211993017,0.036052760159174545,6.100213163955589,1.059271065184507e-09,2.444332572612347e-07
ENSG00000237471,7.71414502910846,0.203218928233426,0.025187519760405286,8.068238959871135,7.131935790762098e-16,8.434405564550026e-13
ENSG00000229628,3.497432295488172,0.17555364012534042,0.026823061331480103,6.544877109881078,5.954432861902084e-11,2.1258448794888912e-08
ENSG00000289108,6.607369905801522,0.11195006810168869,0.01957664392748202,5.7185526036222845,1.074352582606216e-08,1.8150803185781088e-06
AASS,22.224841606462412,0.11268103318920446,0.016458356903571964,6.846432718004143,7.571422996263044e-12,4.093327598151123e-09
FAM131B,3.2117730474255746,0.11076028567281795,0.018389449111590954,6.023034458547496,1.7117698097314256e-09,3.8106009811456516e-07
DMTN,19.572119047287124,0.11091519239471007,0.012746412296214323,8.701679328829794,3.2700852715151993e-18,7.734569188451326e-15
AARD,4.348102731482956,0.11984776371601236,0.023875504206618145,5.019695612660246,5.175342050870492e-07,3.9641391461526344e-05
ENSG00000289193,138.88557873983888,0.1158170681628994,0.019324292596650437,5.993340640214404,2.055736088286509e-09,4.420299802563332e-07
MRGPRX2,1.4943925587801608,0.1226217839995463,0.024373058560827977,5.031038008361504,4.878314156668623e-07,3.783092642314905e-05
KIF21A,323.63484817643547,0.13890757773955686,0.01440999322256577,9.639669887008015,5.436251325157234e-22,2.5716186893656297e-18
HOXC5,3.1289338736914987,0.11719961465709201,0.03244461019009336,3.6122984363325084,0.0003034949942436738,0.005273399707143063
SYT1,2.72198941768947,0.4095552518061735,0.1038817967983742,3.9425122054933817,8.063254539127696e-05,0.0019661456493476064
LINC00943,1.5071327134849009,0.10339437321306472,0.032662249624101955,3.165561907186224,0.0015478372070865472,0.017457967888877372
ENSG00000286016,1.5289985850794738,0.1115568076977774,0.03019992530214519,3.6939431664704543,0.00022080317256589933,0.004116293232799948
TRDV3,11.256851958275242,0.12299202213670332,0.03549564677394093,3.464988901878461,0.0005302533609577934,0.008033189828697652
STXBP6,2.2344833072772,0.13034805693297813,0.032884150979635055,3.963856540304229,7.374858181404428e-05,0.0018361456119544025
GPX2,1.1880653230889242,0.1010063329299828,0.026390218161157275,3.827415609570445,0.0001294957602465944,0.002842597187222806
ENSG00000258919,1.5786867972505887,0.11953349435426644,0.027313715752458362,4.37631757749796,1.2070111844584953e-05,0.000471881521329001
FMN1,31.436420574606426,0.16644513060173316,0.03849129422561157,4.324227957265798,1.530669584288337e-05,0.0005613048425175177
MEIS2,1.529852047445474,0.13480248199810504,0.04657576869912838,2.8942620972915423,0.003800507827790163,0.03239333744029075
LOXL1,2.0970382691002065,0.10435545557096812,0.02594726865697234,4.021828152726455,5.7748184285249336e-05,0.0015282673329307524
ENSG00000274751,1.2138316767169912,0.1010905388132123,0.027166309307389128,3.7211730776295058,0.00019829946467070679,0.0038210004791233336
PRSS22,4.4306149697816535,0.140534421078238,0.025201549321741706,5.576419897208347,2.4551888894642817e-08,3.3910280413462148e-06
ENSG00000288801,2.2111394074992594,0.13628847605783798,0.02451459905589181,5.55948215784025,2.7057625427733582e-08,3.6833409233350704e-06
ENSG00000266369,2.0213694885313678,0.12057890151237609,0.024626992742390785,4.896208918956717,9.770319344611564e-07,6.588982177920338e-05
CCDC144NL-AS1,8.363718193877304,0.10017556726097719,0.01733956845172754,5.777281455409964,7.591723333756055e-09,1.3795303096567582e-06
TMC2,6.34928321414281,0.13831946439829312,0.030804906535121346,4.49017640227514,7.116421295456607e-06,0.000312325173119395
MACROD2,9.173855175263949,0.11283394214217561,0.020502066665912252,5.503539910431512,3.722402139740582e-08,4.695686219211419e-06
NINL,17.709673726097286,0.12620994644995998,0.017956309017965147,7.028724351072813,2.0843027834218387e-12,1.232474289622126e-09
ENSG00000290581,163.7408264557945,0.1079902216195812,0.03509312592839268,3.077247146348109,0.0020892200252305487,0.021566951073329208
NCAM2,4.316470699381981,0.1059796543834544,0.026311229037317516,4.0279248921873725,5.627131268064426e-05,0.0015059300486293596
DUXAP8,2.5274120217494485,0.17977651505774614,0.041508778465127,4.331048074777309,1.484012733363108e-05,0.0005488392281701968
SELENOM,60.88621210448331,0.12317760993754757,0.012222537121571802,10.077908433605732,6.918308470111743e-24,4.363607762381813e-20
LARGE1,30.896056532819888,0.13616469545311397,0.01580655974357781,8.614442210199316,7.028292351719789e-18,1.477659420880465e-14
LINC00899,9.424708267027215,0.1131575061761908,0.01577556383049786,7.172961131026635,7.339269618428022e-13,4.629121990663168e-10
ENSG00000289044,3.5763328228471467,0.15168413961204294,0.02231595411738895,6.7971164851001475,1.0673379843428709e-11,5.458424145874541e-09
NAP1L2,20.73473255443943,0.11391916301172626,0.013041023154607105,8.735446725396017,2.426950712510159e-18,6.560394483159604e-15
BEX5,31.45862918420701,0.13911728707893295,0.021036508636637242,6.613135738534384,3.7626313941902597e-11,1.5477502443666975e-08
RADX,44.29154482761667,0.12012343918891388,0.011822639763512622,10.160458374080074,2.9767365217066625e-24,2.8162904231866734e-20
MID2,7.466804676761413,0.18006865839087458,0.01936402096713112,9.299135685533845,1.4159197227848603e-20,4.465338832422521e-17
NLGN4Y,1.4997613821462967,0.13679752069053838,0.0432178995974645,3.1652977577504484,0.0015492432096956053,0.017458043338444973
