"pathway","CD4_cytoT","CD4_naive_Tcm","CD4_Tem","Tfh","Treg"
"ALLOGRAFT REJECTION",-1.49397402428697,NA,-1.4175398753088,-1.71262787990025,1.47101402156354
"E2F TARGETS",-1.63679462861294,-2.19387278185848,-1.97265930367716,-2.08670971068726,NA
"G2M CHECKPOINT",-1.69742428528124,-2.62745692646161,-2.42793795395796,-2.58808244252107,NA
"IL6 JAK STAT3 SIGNALING",-1.9058776397286,NA,-1.78512322867119,-1.7133049987895,NA
"INTERFERON ALPHA RESPONSE",-2.17604598324904,-2.2093369711407,-2.48339855825208,-2.63389909673717,-1.82292457577546
"INTERFERON GAMMA RESPONSE",-2.15844038352081,-2.03907140451305,-2.33112563020524,-2.72951874387404,NA
"MYC TARGETS V1",-1.48326010232084,-2.74006385326,-1.63511125502391,-2.05289186326807,-2.0541616483253
"OXIDATIVE PHOSPHORYLATION",-2.03403953823408,-2.23226420857159,-2.50952609263319,-2.3343003731558,NA
"APICAL JUNCTION",NA,-1.55668820038462,-1.59021652671469,-1.77755459394485,NA
"DNA REPAIR",NA,-1.85761520565928,-1.40220981464946,-1.39487985545453,NA
"HEME METABOLISM",NA,-1.55747044902969,-1.54079097273773,-1.57102925454713,NA
"INFLAMMATORY RESPONSE",NA,-1.4386056035281,-1.37613342994074,NA,NA
"MITOTIC SPINDLE",NA,-2.38620023381529,-2.09569626227983,-2.19998769434052,NA
"MTORC1 SIGNALING",NA,-2.12776306327992,-2.1122795682216,-2.35699898162537,NA
"MYC TARGETS V2",NA,-2.30857224531058,NA,NA,-2.25702621979807
"PI3K AKT MTOR SIGNALING",NA,-2.10252178950451,-2.05096405805061,-2.11237613538732,NA
"TGF BETA SIGNALING",NA,-1.84920483181943,NA,-1.78961317819248,-1.69772806187818
"TNFA SIGNALING VIA NFKB",NA,-1.51947456053924,NA,-1.8538215746323,NA
"UNFOLDED PROTEIN RESPONSE",NA,-1.92680683020156,NA,NA,NA
"UV RESPONSE UP",NA,-1.62073469699273,-1.53237951339987,-1.57272342301407,NA
"WNT BETA CATENIN SIGNALING",NA,-1.61208795213333,NA,NA,NA
"ADIPOGENESIS",NA,NA,-1.67553731363691,-1.35567828411034,NA
"ANDROGEN RESPONSE",NA,NA,-1.44403426640517,-1.47754700591389,NA
"CHOLESTEROL HOMEOSTASIS",NA,NA,-1.8613988062109,-1.81536692857701,NA
"COMPLEMENT",NA,NA,-1.41384361225362,-1.7305878132114,NA
"EPITHELIAL MESENCHYMAL TRANSITION",NA,NA,1.42088139577969,NA,1.79987403297045
"ESTROGEN RESPONSE LATE",NA,NA,-1.42277813178931,-1.567013665143,NA
"FATTY ACID METABOLISM",NA,NA,-1.45937931746596,NA,NA
"PEROXISOME",NA,NA,-1.53599960353644,NA,NA
"REACTIVE OXYGEN SPECIES PATHWAY",NA,NA,-1.84627588526879,NA,NA
"XENOBIOTIC METABOLISM",NA,NA,-1.57653860589422,-1.68024174521037,NA
"APOPTOSIS",NA,NA,NA,-1.54876028609225,NA
"GLYCOLYSIS",NA,NA,NA,-1.32334624139755,NA
"NOTCH SIGNALING",NA,NA,NA,1.6039895843864,NA
"P53 PATHWAY",NA,NA,NA,-1.42908175359136,NA
"IL2 STAT5 SIGNALING",NA,NA,NA,NA,1.713222038637
