"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"ADIPOGENESIS",0.000113504764268659,0.00055617334491643,0.538434096309916,-0.365469985934652,-1.67553731363691,171,"TKT;SQOR;TALDO1;UQCR10;COX6A1;RTN3;UCP2;MTCH2;PFKL;UQCRC1;PLIN2;ETFB;PPARG;ECH1;NDUFAB1;GPAT4;IMMT;SCP2;DGAT1;CHUK;ARAF;COX7B;NDUFS3;CS;MDH2;TST;SLC1A5;SAMM50;ESYT1;CAT;ATP1B3;DECR1;PTGER3;MRPL15;ACOX1;CYC1;POR;PRDX3;SUCLG1;ACLY;UQCRQ;STAT5A;ACAA2;IDH3G;PGM1;SLC19A1;COQ5;CCNG2;COQ9;SULT1A1;RIOK3;DLD;SLC5A6;PIM3;LPCAT3;DNAJC15;RETSAT;ABCB8;QDPR;GADD45A;SCARB1;IDH1;BCKDHA;ACO2;AIFM1;NMT1;RMDN3","CD4_Tem","Down with age"
"ALLOGRAFT REJECTION",0.00696459663377829,0.0170632617527568,0.297232921999731,-0.309610480286111,-1.4175398753088,169,"CD74;BCAT1;EIF3J;UBE2N;IL7;EIF3A;GCNT1;CSK;IRF7;LCK;IL2RG;HLA-DRA;CCR5;CFP;IL4;CD4;PSMB10;CD3D;ITGB2;SIT1;NME1;TRAT1;GBP2;TAP1;IKBKB;FYB1;IL13;IRF4;CXCL13;CD47;IL27RA;MMP9;IL16;ELF4;FLNA;TAP2;TRAF2;WAS;WARS1;CD3G;AARS1;NCK1;HCLS1;MAP4K1;CAPG;TAPBP;ETS1;CD7;ABI1;ITGAL;CD40LG;KLRD1;CD247;ZAP70","CD4_Tem","Down with age"
"ANDROGEN RESPONSE",0.0178994472229534,0.0365447047468632,0.175004015942342,-0.346907821045651,-1.44403426640517,88,"DBI;ZMIZ1;ADRM1;CAMKK2;MAF;ARID5B;PDLIM5;NCOA4;SRP19;ELOVL5;STK39;RAB4A;SMS;SEC24D;DHCR24;UBE2I;GSR;SAT1;GNAI3;SCD;MAP7;ACTN1;SRF;TMEM50A;CENPN;SLC38A2;INSIG1","CD4_Tem","Down with age"
"APICAL JUNCTION",0.00156828845754633,0.00512307562798467,0.45505986738723,-0.360315166212891,-1.59021652671469,130,"ARPC2;PFN1;ACTB;CNN2;GNAI2;MAPK11;ACTG1;GNAI1;ACTN4;ADAM15;MAP3K20;RHOF;ITGA2;EVL;MSN;PLCG1;ITGB1;RAC2;ADAM9;TUBG1;CAP1;PIK3R3;ICAM4;AKT2;ATP1A3;LIMA1;FYB1;CD274;CD99;MYL12B;PTK2;ARHGEF6;MMP9;HRAS;RSU1;VASP;SHC1;MVD;PTEN;MYH9;ACTN1;BMP1;TSC1;MAP4K2","CD4_Tem","Down with age"
"CHOLESTEROL HOMEOSTASIS",0.000206600013358765,0.000920309150416317,0.518848077743792,-0.472502609660626,-1.8613988062109,65,"ACTG1;GNAI1;ANXA5;FABP5;SQLE;LDLR;CHKA;PPARG;TRIB3;ECH1;PLSCR1;ETHE1;STARD4;FDPS;TP53INP1;S100A11;ACAT2;FBXO6;CPEB2;SCD;MVK;MVD;JAG1;PMVK;FASN;PCYT2","CD4_Tem","Down with age"
"COMPLEMENT",0.00742432895488292,0.0173234342280602,0.285313392143872,-0.313161937867646,-1.41384361225362,152,"PFN1;ITGAM;GNB4;RABIF;PPP4C;CTSD;GNAI2;PREP;ANXA5;CALM3;LAP3;IRF7;LCK;F5;GNB2;CTSC;RHOG;CTSB;SIRT6;CASP4;GATA3;CASP3;ADAM9;CPM;PLSCR1;CD59;GRB2;CASP9;USP15;PRKCD;WAS;GNAI3;CTSL;DUSP5;EHD1","CD4_Tem","Down with age"
"DNA REPAIR",0.0105113636363636,0.0232021660211503,0.238352921646911,-0.312892432741727,-1.40220981464946,144,"ADA;HPRT1;ADRM1;PDE6G;CANT1;POLR2G;SUPT4H1;NELFB;ELOA;VPS37D;RALA;NME1;RBX1;GTF3C5;POLD4;ITPA;NT5C;POLB;DDB1;PCNA;VPS28;RAE1;GMPR2;MPG;SRSF6;FEN1;SAC3D1;ZWINT;MPC2;HCLS1;CMPK2;TAF12;TARBP2;TYMS;NT5C3A;ALYREF;POLA1;TAF9;POLR2F;ERCC2;DGCR8;POLR2E;TSG101;SDCBP;NUDT21;RFC3;POM121;SNAPC4;GTF2A2;ERCC8;POLD3;RFC5;POLR2J;POLD1;GTF2H5","CD4_Tem","Down with age"
"E2F TARGETS",3.08945692031916e-08,2.16261984422341e-07,0.719512826338911,-0.423993422646663,-1.97265930367716,192,"SMC4;CENPE;EZH2;LMNB1;JPT1;SMC6;CKS2;HMGA1;HMGB3;HELLS;TOP2A;BARD1;DCTPP1;CHEK1;WEE1;KIF2C;CDC25B;BUB1B;KIF22;MTHFD2;TACC3;EED;TUBG1;NME1;KPNA2;PLK4;TUBB;STMN1;CDKN3;MELK;SLBP;MKI67;ING3;NASP;SYNCRIP;PCNA;RACGAP1;GINS1;CCNB2;UBE2T;DIAPH3;RRM2;RNASEH2A;CCNE1;PPM1D;SNRPB;KIF4A;POP7;RAD50;UBE2S;DONSON;SHMT1;LBR;NAA38;SMC3;PAICS;ORC6;NCAPD2;TFRC;RAD51AP1;MCM5;BRCA2;MCM4;HNRNPD;GSPT1;PPP1R8;GINS3;CCP110;BIRC5;RPA1;CTPS1;MCM2;TK1;NUDT21;SRSF2;RFC3","CD4_Tem","Down with age"
"EPITHELIAL MESENCHYMAL TRANSITION",0.023579680329166,0.044438628312659,0.117506481856722,0.357240135868441,1.42088139577969,102,"IGFBP3;NT5E;IL15;ENO2;AREG;DST;PFN2;FERMT2;VIM;PCOLCE;LAMA2;SNTB1;MATN2;ADAM12;TPM2;GLIPR1;LRP1;MAGEE1","CD4_Tem","Up with age"
"ESTROGEN RESPONSE LATE",0.0108908126221726,0.0232021660211503,0.232056818075608,-0.320939996340502,-1.42277813178931,133,"RBBP8;FLNB;IDH2;SLC27A2;HPRT1;FABP5;ITPK1;TOP2A;ETFB;SLC1A4;KLF4;EEIG1;ELOVL5;SLC16A1;PLK4;KCNK5;TST;PLAAT3;GFUS;RAB31;FKBP4;PTGER3;COX6C;BAG1;SLC2A8;NHERF1;RABEP1;ATP2B4;IGFBP4;GINS2;RNASEH2A;MAPT;PPIF;IL6ST;BTG3;CKB;ADD3;SLC29A1;ISG20;DLG5;PRSS23;XRCC3;OPN3;SCARB1","CD4_Tem","Down with age"
