Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Interferon Alpha Response,-0.5094288728254358,-2.1608410065961174,0.0,0.0,0.0,39/90,14.42%,GBP4;UBE2L6;CD74;LGALS3BP;TAP1;ISG20;MX1;IRF7;PLSCR1;HELZ2;MOV10;SELL;GBP2;IRF9;BST2;LAP3;TRAFD1;STAT2;EPSTI1;PSMB8;PSME1;PSME2;ADAR;TRIM25;DDX60;ISG15;MVB12A;PARP9;RTP4;OGFR;SAMD9L;TMEM140;USP18;PSMB9;PARP12;OAS1;SAMD9;IFI27;UBA7
prerank,Interferon Gamma Response,-0.4519566232773041,-2.150042497839274,0.0,0.0,0.0,68/169,15.50%,CD38;GBP4;UBE2L6;CD74;CASP4;ARID5B;PSMB2;MTHFD2;RNF213;LGALS3BP;PDE4B;TAP1;ISG20;MX1;IRF7;PLSCR1;PELI1;IRF4;NCOA3;STAT1;OAS3;RAPGEF6;NAMPT;NUP93;MVP;OAS2;SOCS3;HELZ2;IRF9;BST2;LAP3;SOD2;ZNFX1;TRAFD1;STAT2;EPSTI1;VAMP5;PSMB8;PSME1;PSME2;XAF1;HLA-DMA;ADAR;TRIM25;DDX60;SAMHD1;ISG15;TNFSF10;PML;VAMP8;RBCK1;PSMB10;RTP4;OGFR;SAMD9L;USP18;PSMB9;GPR18;TNFAIP3;IL10RA;PARP12;SPPL2A;PSMA2;IFI27;NFKB1;GCH1;PTPN2;WARS1
prerank,Oxidative Phosphorylation,-0.419448052895899,-2.0479907998708757,0.0,0.0,0.0,99/198,29.19%,PDP1;ETFB;UQCRH;LDHB;COX6B1;COX5A;ATP6V1E1;OGDH;ATP5F1D;SLC25A5;NDUFA2;UQCRC2;MRPS15;VDAC1;ATP5F1E;SLC25A20;NDUFS3;MRPL35;ECI1;FH;ATP5MC2;ATP5F1A;NDUFS8;ATP5F1B;NQO2;MDH2;ATP5F1C;IDH2;COX10;MRPS12;TIMM8B;CPT1A;VDAC2;NDUFB3;COX7B;TOMM22;MRPL15;NDUFV2;NDUFB5;ATP5MC3;ACO2;ATP6V1D;ETFDH;ATP6V0C;PRDX3;NDUFB6;SUCLG1;TIMM13;HADHB;DECR1;IMMT;NDUFA9;ATP5MF;TIMM17A;ECHS1;NDUFB4;ALAS1;SDHB;ATP6V1F;NDUFC1;POR;HADHA;NDUFA8;UQCR10;NDUFS2;SLC25A11;ATP6V1C1;SLC25A6;COX15;COX7A2L;ECH1;ATP5MG;MTX2;COX8A;NDUFS7;NDUFA7;RETSAT;MDH1;BCKDHA;SURF1;ACAT1;ABCB7;GOT2;COX7C;DLD;POLR2F;OXA1L;UQCRQ;MTRF1;MRPL11;UQCRFS1;CYCS;UQCRC1;GPX4;ATP5PD;FDX1;NDUFB1;COX6A1;ATP5PO
prerank,IL-6/JAK/STAT3 Signaling,-0.505589484041143,-1.9367012819083096,0.0,0.0007475936828333801,0.002,14/47,6.87%,CD38;LTB;STAT1;SOCS3;IL10RB;IRF9;TNFRSF1B;PTPN11;BAK1;STAT2;HMOX1;IL6ST;IL17RA;ITGA4
prerank,G2-M Checkpoint,-0.35866509998762647,-1.6765031875212453,0.0,0.011064386505934025,0.037,56/158,22.61%,KIF11;TACC3;LMNB1;CCNF;LBR;TOP2A;HSPA8;JPT1;KPNA2;KMT5A;NUMA1;GSPT1;NASP;KNL1;H2BC12;TPX2;CHEK1;EZH2;SMC4;H2AZ2;NUSAP1;TLE3;CKS2;MKI67;E2F3;HMGB3;PML;TOP1;PRC1;CENPE;NSD2;HMGA1;CENPF;RAD23B;TFDP1;HMGN2;ATF5;HNRNPD;KIF20B;BARD1;SYNCRIP;ODC1;SS18;ABL1;HIF1A;SMAD3;H2AX;CDKN3;PRIM2;PTTG1;H2AZ1;NDC80;SMC2;CUL3;SLC7A5;NUP50
prerank,E2F Targets,-0.34598668084926265,-1.6469459828104787,0.0,0.013456686291000842,0.054,58/166,24.09%,TACC3;MTHFD2;LMNB1;LBR;TOP2A;JPT1;SMC6;KPNA2;GSPT1;NASP;MCM4;CHEK1;EZH2;SMC4;RPA3;CKS2;CENPM;MKI67;HMGB3;HELLS;SLBP;CENPE;HMGA1;ZW10;HNRNPD;BRCA1;TUBB;CDKN2A;BARD1;MSH2;SYNCRIP;TUBG1;UBE2T;DNMT1;NME1;GINS4;DCLRE1B;POLD1;PPP1R8;H2AX;CDKN3;PRIM2;IPO7;PTTG1;DCTPP1;NAP1L1;H2AZ1;RRM2;PHF5A;POLD3;RAN;CBX5;CDKN1A;XRCC6;TCF19;BRMS1L;CDKN1B;NUDT21
prerank,Xenobiotic Metabolism,-0.3381225045841618,-1.4937985004108818,0.0,0.055321932529670124,0.217,39/102,21.98%,ESR1;SHMT2;MTHFD1;LONP1;TKFC;HMOX1;MCCC2;IGFBP4;ALDH9A1;NFS1;DHRS1;PPARD;TMBIM6;DDT;ELOVL5;DDAH2;GSTO1;PSMB10;SLC12A4;ITIH4;ACO2;LPIN2;ETFDH;CASP6;CAT;GCH1;ACP2;HPRT1;ACOX1;ALAS1;ACOX3;POR;FAS;DHPS;DCXR;ECH1;ASL;SLC1A5;RETSAT
prerank,Epithelial Mesenchymal Transition,0.3802871965580158,1.4930230255754364,0.017374517374517374,0.200406281740761,0.295,23/62,20.05%,SGCD;IGFBP3;VIM;RHOB;SNTB1;COPA;LGALS1;TGFBR3;ITGB1;ID2;EMP3;FLNA;TGFBI;TIMP1;PLOD1;PPIB;LAMA2;SGCB;NT5E;QSOX1;GLIPR1;NOTCH2;PCOLCE
prerank,Allograft Rejection,-0.32241793078977093,-1.4869528592114416,0.0069605568445475635,0.05177086253621157,0.231,45/144,17.32%,CXCR3;LTB;CCR5;CD28;CD74;ETS1;CCR2;APBB1;TAP1;IL10;FYB1;IRF7;TRAT1;NCF4;IRF4;STAT1;SIT1;IL16;CSK;TAP2;GBP2;LCK;DEGS1;CD7;HLA-DMA;EIF3J;AARS1;PSMB10;DARS1;UBE2N;IL12RB1;CD8B;EIF3A;TRAF2;HLA-DRA;BRCA1;CDKN2A;WAS;WARS1;EIF5A;NPM1;CD3E;HIF1A;IL27RA;NME1
prerank,Myc Targets V1,-0.3076513665133651,-1.471278414733019,0.0,0.054657404811596005,0.269,62/196,22.18%,PPM1G;HSPD1;PSMB2;COX5A;YWHAE;KPNA2;PABPC1;GSPT1;MCM4;SNRPB2;PSMA7;VDAC1;PSMB3;AP3S1;PSMD8;SET;MRPL23;EIF4G2;SNRPG;EIF3J;ETF1;TRIM28;PRPS2;PSMA4;PCBP1;HDGF;IFRD1;LSM2;RAD23B;TFDP1;PRDX3;PABPC4;CCT4;CCT5;HNRNPD;PSMA2;EIF2S2;RACK1;SRSF3;SYNCRIP;PSMA1;HPRT1;ODC1;NPM1;UBA2;NME1;SERBP1;TXNL4A;LSM7;FAM120A;HNRNPC;AIMP2;NAP1L1;H2AZ1;SRPK1;RRP9;COPS5;RAN;U2AF1;SF3A1;PSMA6;XRCC6
prerank,Coagulation,0.38874710951852687,1.430343568196786,0.03824091778202677,0.18253379170247674,0.453,16/45,20.40%,CFH;CPQ;F8;CTSH;PRSS23;ANXA1;CTSO;CAPN2;TIMP1;ISCU;DUSP14;PDGFB;F2RL2;ADAM9;A2M;PLEK
prerank,Androgen Response,0.3403941991027712,1.3744897881860016,0.03949730700179533,0.2021642315805922,0.628,24/76,17.33%,AKT1;CDC14B;CCND3;ABCC4;MYL12A;SPCS3;PIAS1;ABHD2;PDLIM5;SEC24D;NDRG1;PGM3;DHCR24;B2M;TSC22D1;ZBTB10;PA2G4;CDK6;STK39;GPD1L;FKBP5;INPP4B;UAP1;HERC3
prerank,Protein Secretion,0.329983445884894,1.369399056838637,0.046296296296296294,0.15762950230486758,0.645,36/84,29.08%,IGF2R;CD63;GALC;AP3B1;GOLGA4;ATP1A1;TMED10;TMX1;SEC24D;PPT1;MAPK1;SEC22B;ARFGEF2;ARF1;VAMP4;RAB2A;STX12;SEC31A;VAMP7;PAM;MON2;CTSC;ADAM10;RPS6KA3;ARFGEF1;RAB9A;SCAMP3;RAB22A;RAB5A;RAB14;TMED2;VPS45;ARCN1;ANP32E;TPD52;KIF1B
