"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"ADIPOGENESIS",0.0336526651928273,0.0801253933162555,0.122637391177921,-0.280137962714857,-1.30272895141186,175,"TKT;CCNG2;DGAT1;MTCH2;SLC19A1;ABCA1;CHUK;IMMT;PDCD4;PLIN2;ARAF;CS;NDUFS3;UCP2;RTN3;COX7B;MRPL15;ACAA2;UQCRQ;RMDN3;COX6A1;CYC1;NDUFAB1;SDHB;UQCRC1;MAP4K3;ETFB;CAT;ACLY;ATL2;TANK;ELMOD3;RREB1;NMT1;UQCR10;SUCLG1;RETSAT;ITSN1;SQOR;AIFM1;RETN;STAT5A;MDH2;ABCB8;ADIPOR2;GHITM;SAMM50;PRDX3;PGM1;HADH;GPAT4;ESYT1;BCKDHA;DLD;SCP2;AK2;DBT;TALDO1","CD4_naive_Tcm","Not significant"
"ALLOGRAFT REJECTION",0.47201356917858,0.53637905588475,0.0293361955812739,-0.215057903820333,-0.993300031061485,166,"GZMA;EIF4G3;FYB1;CD8B;EIF3J;CD7;NME1;PRKCG;UBE2N;CD47;EIF3A;IRF7;GALNT1;ABI1;CD74;ETS1;NCK1;GBP2;ABCE1;PTPRC;CAPG;CD79A;TLR1;BCAT1;IL27RA;CSK;RPS19;IL4R;STAT1;UBE2D1;TAP1;TRAT1;GLMN;RIPK2;CD8A;GCNT1;CRTAM;EIF5A;IL15;CCL4;LCK;ST8SIA4;WARS1;HIF1A;CD2;TGFB2;TAP2;WAS;IL16","CD4_naive_Tcm","Not significant"
"ANDROGEN RESPONSE",0.0705936282374513,0.142029822823814,0.0809972046193163,-0.307605129546663,-1.29034111479808,90,"ZMIZ1;ACTN1;SRP19;SCD;TMEM50A;UBE2J1;CAMKK2;NCOA4;PMEPA1;UBE2I;DBI;SORD;SLC38A2;PTK2B;HPGD;SRF;VAPA;ADRM1;NGLY1;B4GALT1;BMPR1B;MAK;APPBP2;ZBTB10;CDK6;XRCC5;ITGAV;ELOVL5;STK39;PDLIM5;ACSL3;HMGCS1;SGK1;GNAI3;XRCC6;MAP7;TNFAIP8;ARID5B;TSC22D1;HMGCR","CD4_naive_Tcm","Not significant"
"ANGIOGENESIS",0.554023422742728,0.589386619939072,0.0223971593026717,0.331831718479126,0.930453480435534,17,"S100A4;LRPAP1;TIMP1","CD4_naive_Tcm","Not significant"
"APICAL JUNCTION",0.00331257977676502,0.0097428816963677,0.431707695803346,-0.345072594822628,-1.55668820038462,141,"MAP3K20;EVL;JUP;ARPC2;ACTN1;ADAM23;FYB1;MAPK11;PIK3R3;GRB7;MAP4K2;PLCG1;PFN1;MSN;AKT2;GNAI1;IRS1;SYK;EPB41L2;PTEN;VAV2;RSU1;CDK8;NEGR1;ARHGEF6;SKAP2;PTPRC;PTK2;RHOF;MDK;TUBG1;B4GALT1;AMH;CDH4;BMP1;NEXN;NF2;WASL;MPZL1;MYH9;RAC2;PECAM1;ACTG1;SRC;HADH;GNAI2;CADM2;ACTB;TRO;CNN2;RASA1;ADAM9;LAYN;FSCN1;TSC1;MVD;ACTN4;TAOK2;EXOC4","CD4_naive_Tcm","Down with age"
"APICAL SURFACE",0.876429361859093,0.894315675366421,0.0151630511531233,0.225969367732113,0.729837514372235,30,"EPHB4;FLOT2;AKAP7;IL2RB;CROCC;MAL;TMEM8B;GSTM3;CRYBG1;GHRL","CD4_naive_Tcm","Not significant"
"APOPTOSIS",0.0507747318235995,0.110379851790434,0.0979108420486795,-0.28303344512133,-1.27531457789307,140,"CD38;PAK1;WEE1;ROCK1;PDCD4;BNIP3L;PPP2R5B;BMF;SMAD7;CASP3;CASP2;BID;NEDD9;LEF1;CYLD;TIMP2;BTG3;ETF1;BCL2L1;PMAIP1;DNAJC3;PTK2;JUN;NEFH;RARA;ANXA1;BCL2L11;RETSAT;CREBBP;TAP1;DPYD;EBP;DFFA;CDK2;HSPB1;GCH1;PSEN1;VDAC2;RELA;TNFSF10;CASP4;DDIT3;MCL1;DNM1L;CD2;GPX1;TGFB2;IRF1;CD44;DNAJA1;ADD1;SATB1;GADD45A;ISG20","CD4_naive_Tcm","Not significant"
"BILE ACID METABOLISM",0.197482715830527,0.264062883812331,0.0407564308684108,0.288349149504415,1.15837720708292,86,"ABCA3;NR3C2;ABCD2;APOA1;PEX16;PHYH;ABCA5;PEX1;NR1I2;PIPOX;ACSL5;GCLM;BCAR3;PFKM;ABCA2;EPHX2;SOD1;NUDT12;PEX12;HSD17B6;ABCA6;GSTK1;HSD17B11;PEX7;ALDH8A1","CD4_naive_Tcm","Not significant"
"CHOLESTEROL HOMEOSTASIS",0.284974093264249,0.334459365141405,0.0379193221095002,-0.276228051175858,-1.09626376790713,67,"ETHE1;ATF5;SQLE;SCD;TP53INP1;STX5;GNAI1;PLSCR1;CHKA;TMEM97;CD9;S100A11;GUSB;NSDHL;EBP;FBXO6;ACTG1;CBS;TRIB3","CD4_naive_Tcm","Not significant"
"COAGULATION",0.0738555078683834,0.142029822823814,0.0695529583952141,0.330812966879328,1.30533798858261,79,"CPQ;C2;LRP1;APOA1;CAPN2;ISCU;C1R;LTA4H;F11;MMP11;CTSV;KLKB1;CRIP2;CLU;CSRP1;DCT;TIMP1;PDGFB;F8;CFH","CD4_naive_Tcm","Not significant"
