"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"APICAL JUNCTION",0.00331257977676502,0.0097428816963677,0.431707695803346,-0.345072594822628,-1.55668820038462,141,"MAP3K20;EVL;JUP;ARPC2;ACTN1;ADAM23;FYB1;MAPK11;PIK3R3;GRB7;MAP4K2;PLCG1;PFN1;MSN;AKT2;GNAI1;IRS1;SYK;EPB41L2;PTEN;VAV2;RSU1;CDK8;NEGR1;ARHGEF6;SKAP2;PTPRC;PTK2;RHOF;MDK;TUBG1;B4GALT1;AMH;CDH4;BMP1;NEXN;NF2;WASL;MPZL1;MYH9;RAC2;PECAM1;ACTG1;SRC;HADH;GNAI2;CADM2;ACTB;TRO;CNN2;RASA1;ADAM9;LAYN;FSCN1;TSC1;MVD;ACTN4;TAOK2;EXOC4","CD4_naive_Tcm","Down with age"
"DNA REPAIR",1.0042513139065e-05,4.56477869957499e-05,0.593325476396405,-0.409278539907515,-1.85761520565928,146,"GTF3C5;ELOA;ADA;SEC61A1;PDE6G;TP53;HPRT1;IMPDH2;ALYREF;DDB1;RAE1;MPC2;NME1;SRSF6;NELFCD;DGCR8;SUPT4H1;POLB;ERCC2;POLR2K;RALA;NELFB;SNAPC4;CANT1;CETN2;CMPK2;POLR2A;ADRM1;FEN1;ELL;BRF2;ERCC8;APRT;POLR3C;GTF2A2;ITPA;VPS37D;POLR2D;POM121;POLD4;DCTN4;TSG101;POLR2J;TARBP2;ZWINT;SAC3D1;POLR2G;PDE4B;POLR1D;POLD1;POLR2F;TAF13;RFC5;TAF9;ERCC3;PCNA;UMPS;NCBP2;CLP1;MPG;TAF1C;RBX1;POLR2E;POLR1H;VPS28;NT5C3A","CD4_naive_Tcm","Down with age"
"E2F TARGETS",5.7898643489821e-11,5.7898643489821e-10,0.851339057116899,-0.465296394788754,-2.19387278185848,193,"SMC4;BARD1;TACC3;CENPE;EZH2;ING3;TP53;CTPS1;WEE1;TUBB;SNRPB;DEK;PPM1D;MCM7;NASP;PPP1R8;DCK;UBR7;HMGB3;CCNB2;HMGA1;RACGAP1;PAICS;NOLC1;HNRNPD;NME1;STMN1;SYNCRIP;GINS3;LMNB1;MSH2;KPNA2;BUB1B;RAN;LBR;MCM5;CKS2;TIMELESS;SLBP;MCM4;DDX39A;SMC1A;POP7;DCTPP1;NCAPD2;PHF5A;CSE1L;USP1;NBN;DCLRE1B;BIRC5;JPT1;AURKB;CHEK1;TUBG1;SMC3;PDS5B;SMC6;DLGAP5;MCM2;POLE;RFC1;MYBL2;KIF4A;NUP153;PLK4;MKI67;PRKDC;RAD1;IPO7;KIF2C;PSMC3IP;RAD21;RRM2;TFRC;CDC20;MCM3;H2AZ1;TRIP13;NOP56;UBE2T;MTHFD2;ORC6;UBE2S;AK2;POLD1;RANBP1;CDCA8;PCNA;GSPT1;CHEK2;CTCF;STAG1;MYC;XRCC6;SUV39H1","CD4_naive_Tcm","Down with age"
"G2M CHECKPOINT",1.70278000725417e-18,4.25695001813542e-17,1.11466447751729,-0.559149984299511,-2.62745692646161,189,"SMC4;MAP3K20;RAD23B;BARD1;TACC3;CENPE;EZH2;ATF5;DR1;SQLE;MARCKS;NASP;HMGB3;CCNB2;MTF2;ODF2;HMGA1;H2BC12;NSD2;PML;RACGAP1;SMARCC1;NOLC1;HNRNPD;NCL;TOP1;STMN1;SYNCRIP;CUL4A;LMNB1;SAP30;TFDP1;KPNA2;UPF1;WRN;H2AZ2;NUP50;RBM14;LBR;TPX2;MCM5;LIG3;CKS2;KNL1;DDX39A;SMC1A;KIF5B;CENPF;SS18;CHMP1A;DKC1;KMT5A;CHAF1A;FBXO5;CDC45;BIRC5;JPT1;AURKB;CHEK1;PDS5B;PRC1;HIRA;MCM2;POLE;TNPO2;CUL3;EXO1;MYBL2;KIF4A;PAFAH1B1;NUSAP1;GINS2;PLK4;HSPA8;MKI67;UCK2;PRMT5;FANCC;E2F1;KIF2C;BUB1;TLE3;RAD21;CCNF;CDC20;ORC5;MCM3;H2AZ1;NDC80;KATNA1;SNRPD1;TTK;CDC6;ABL1;E2F3;ORC6;UBE2S;UBE2C;HMGN2;GSPT1;KPNB1;HIF1A;CTCF;CUL5;SFPQ;EWSR1;STAG1;MYC;SUV39H1;POLQ","CD4_naive_Tcm","Down with age"
"HEME METABOLISM",0.00132059601427956,0.00440198671426519,0.45505986738723,-0.33720559705661,-1.55747044902969,166,"EPB41;MBOAT2;GAPVD1;DAAM1;CTNS;HDGF;TFDP2;BNIP3L;PPP2R5B;GLRX5;FECH;TOP1;RANBP10;NCOA4;BMP2K;UCP2;CA2;FBXO34;AGPAT4;USP15;LPIN2;FOXO3;GMPS;SLC2A1;KDM7A;CAT;GCLC;PGLS;BPGM;SMOX;MARK3;NNT;GDE1;ISCA1;NUDT4;PSMD9;NR3C1;KLF3;MOSPD1;MXI1;CTSB;RCL1;DCAF11;CCDC28A;OPTN;SIDT2;TCEA1;ATP6V0A1;DCUN1D1;TFRC;ATG4A;DCAF10;SNCA;FOXJ2;TMEM9B;SLC66A2;RBM5;MPP1;RNF123;AQP3","CD4_naive_Tcm","Down with age"
"INFLAMMATORY RESPONSE",0.0104936799427617,0.029149110952116,0.218259775284787,-0.319562699174846,-1.4386056035281,139,"ATP2B1;CCRL2;CALCRL;RGS1;ABCA1;CHST2;SLC31A1;MSR1;GPC3;NMI;RNF144B;SELL;DCBLD2;ACVR1B;IFITM1;RASGRP1;PTPRE;ITGA5;IRF7;RHOG;ABI1;PTGIR;ATP2C1;ADRM1;TLR1;EIF2AK2;IL7R;KLF6;CCR7;ATP2A2;IFNAR1;IL4R;ADGRE1;NFKBIA;LAMP3;NAMPT;SLC31A2;PIK3R5;RIPK2;GCH1;MXD1;PSEN1;RELA;PDE4B;IL15;TNFSF10;AHR;LCK;CSF3R;RTP4;HBEGF;HIF1A;GNAI3;CD55;IRF1;MYC","CD4_naive_Tcm","Down with age"
"INTERFERON ALPHA RESPONSE",5.68190135311267e-08,3.55118834569542e-07,0.719512826338911,-0.52332605445006,-2.2093369711407,94,"CCRL2;LGALS3BP;LAP3;NMI;SELL;PSMB8;UBE2L6;CNP;USP18;ISG15;PLSCR1;IFITM1;CD47;SP110;IFIH1;PARP12;IFI44L;EPSTI1;IRF7;PARP9;RSAD2;IRF9;OAS1;CD74;CMPK2;PSMA3;STAT2;GBP2;RNF31;GBP4;PSME2;EIF2AK2;MX1;TRIM25;PNPT1;DDX60;IFI27;IL4R;TRAFD1;NCOA7;IFIT3;SAMD9L;OASL;TAP1;IFI44;TRIM21;ADAR;LAMP3;RIPK2;IFI35","CD4_naive_Tcm","Down with age"
"INTERFERON GAMMA RESPONSE",3.63194783128789e-09,2.59424845091992e-08,0.774939030136436,-0.435782078529659,-2.03907140451305,184,"CD38;AUTS2;GZMA;PSMB2;LGALS3BP;LAP3;PTPN2;NMI;NUP93;PML;PSMB8;UBE2L6;USP18;KLRK1;ISG15;CASP3;RNF213;PLSCR1;NCOA3;PSMA2;RBCK1;SP110;IFIH1;PARP12;IFI44L;EPSTI1;IRF7;RSAD2;IRF9;P2RY14;CD74;APOL6;BPGM;CMPK2;OAS2;PSMA3;STAT2;XAF1;RNF31;PLA2G4A;GBP4;PSME2;EIF2AK2;MX1;TRIM25;PNPT1;DDX60;IFI27;IFIT1;BANK1;ZNFX1;IL4R;STAT1;TRAFD1;MYD88;IFIT3;LYSMD2;SAMD9L;OASL;TAP1;IFI44;TRIM21;MVP;ADAR;NFKBIA;NAMPT;RIPK2;GCH1;IFI35;RIGI;MTHFD2;PDE4B;IL15;OAS3;TNFSF10;PSME1;CASP4;ST8SIA4;NLRC5;NOD1;WARS1;SPPL2A;RTP4;MX2;HIF1A","CD4_naive_Tcm","Down with age"
"MITOTIC SPINDLE",6.80911703801275e-14,1.13485283966879e-12,0.954541630725724,-0.508388866598825,-2.38620023381529,188,"SMC4;EPB41;CD2AP;TRIO;PCNT;RAPGEF5;CENPE;KPTN;CLIP2;SPTBN1;ROCK1;WASF1;MARCKS;GEMIN4;CCNB2;ATG4B;RABGAP1;MARK4;KIF3C;RACGAP1;ARHGEF7;WASF2;PPP4R2;AKAP13;LMNB1;KATNB1;ANLN;CAPZB;EPB41L2;NEDD9;TPX2;CKAP5;STK38L;SMC1A;CDC42;FLNB;KIF5B;CENPF;FARP1;DOCK2;ABI1;NCK1;FGD6;FBXO5;ARHGAP4;RHOF;SEPTIN9;BIRC5;APC;SMC3;PRC1;DLGAP5;PKD2;MAP1S;BCL2L11;RFC1;EZR;SSH2;RANBP9;RALBP1;KIF4A;PAFAH1B1;NUSAP1;ITSN1;CSNK1D;MAPRE1;HOOK3;WASL;ECT2;RASA2;KIF2C;CEP131;BUB1;MYH9;RAB3GAP1;BIN1;KLC1;NDC80;KATNA1;TTK;SAC3D1;TBCD;NET1;ABL1;CEP250","CD4_naive_Tcm","Down with age"
"MTORC1 SIGNALING",6.17785197422063e-10,5.14820997851719e-09,0.801215574617779,-0.450742359779593,-2.12776306327992,194,"PSMA4;HPRT1;IMMT;SQLE;NFKBIB;MTHFD2L;RPN1;PIK3R3;SCD;YKT6;RIT1;EEF1E1;PSMD13;SHMT2;ADD3;PITPNB;CCT6A;SORD;GSK3B;PSME3;IGFBP5;PSMC6;HSPA4;HK2;CALR;MCM4;DDX39A;GPI;GMPS;NUFIP1;SLC2A1;ETF1;GCLC;PDAP1;PSMC4;ACTR2;ATP6V1D;PSMA3;PPIA;ENO1;SKAP2;ACLY;PSMD14;BCAT1;TUBG1;TMEM97;SLC6A6;CD9;ARPC5L;MLLT11;MCM2;NMT1;PGK1;CTSC;PSMC2;COPS5;RRP9;ATP2A2;LDHA;SEC11A;TCEA1;GAPDH;GLRX;BUB1;EIF2S2;RRM2;NFYC;TFRC;CCNF;ADIPOR2;EBP;TES;CACYBP;PGM1;RDH11;NAMPT;TRIB3;PSAT1;UBE2D3;IFRD1;ELOVL5;SRD5A1;ACTR3;MTHFD2;TXNRD1;ACSL3;PPP1R15A;ATP5MC1;SDF2L1;HMGCS1;DDIT3;HSPA5;WARS1;CORO1A;UCHL5","CD4_naive_Tcm","Down with age"
"MYC TARGETS V1",8.88684152093009e-23,4.44342076046505e-21,1.23789667319529,-0.578260116885978,-2.74006385326,200,"RAD23B;NOP16;EIF3B;VDAC1;PPM1G;STARD7;PSMB2;EIF4G2;EIF4A1;SERBP1;CTPS1;PSMA4;HPRT1;DEK;MCM7;CCT2;IMPDH2;UBE2L3;HDGF;EIF3J;PWP1;YWHAQ;PSMD1;SNRPG;SMARCC1;PSMA6;COX5A;NOLC1;POLE3;TXNL4A;HNRNPD;NME1;HDAC2;SYNCRIP;TRIM28;PSMD3;RPLP0;TFDP1;PSMA7;KPNA2;DDX21;CCT4;SRPK1;HNRNPR;SET;PSMA2;PSMC6;ILF2;PSMD8;RNPS1;ERH;FAM120A;RAN;CYC1;MCM5;NDUFAB1;MCM4;C1QBP;GNL3;NHP2;SNRPB2;CCT3;SNRPD3;ETF1;PCBP1;SRM;PSMC4;HNRNPA2B1;PSMB3;USP1;PPIA;UBA2;CDC45;ABCE1;PSMD14;CCT5;IARS1;PRPF31;MCM2;PGK1;LSM7;PHB1;COPS5;RPL6;EXOSC7;RRP9;LDHA;CBX3;APEX1;HDDC2;AIMP2;TUFM;EIF2S2;EIF4E;CDC20;PRDX3;H2AZ1;TCP1;SNRPD1;AP3S1;CDK2;IFRD1;ACP1;NOP56;HNRNPA3;LSM2;CCT7;KARS1;RANBP1;RACK1;PCNA;GSPT1;NCBP2;KPNB1;HNRNPC;MRPS18B;RSL1D1;CAD;MYC;XRCC6","CD4_naive_Tcm","Down with age"
