"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"ADIPOGENESIS",0.0124499777678968,0.0243281093697899,0.274717458595242,-0.283384038152285,-1.35567828411034,162,"TKT;CHUK;CCNG2;UCP2;UQCR10;PLIN2;COX7B;CYC1;RTN3;MTCH2;UQCRC1;ETFB;COX6A1;MDH2;NDUFS3;ATP1B3;TALDO1;UQCRQ;BCL6;ACAA2;SDHB;SQOR;ACLY;ARAF;IMMT;ESYT1;UBC;SLC5A6;MRPL15;GADD45A;CS;GHITM;PRDX3;COX8A;ECH1;LPCAT3;ABCB8;PPP1R15B;RETSAT;NDUFAB1;SLC1A5;SUCLG1;COQ5;SAMM50;PFKL;PIM3;SDHC;DHCR7;DLD;DGAT1;CAT;DRAM2;TST;ENPP2;BCKDHA;IDH1;SLC19A1;STAT5A;TANK;ESRRA;GPAT4","Tfh","Down with age"
"ALLOGRAFT REJECTION",5.04022788863047e-05,0.000201609115545219,0.557332238758646,-0.360522643681996,-1.71262787990025,153,"CD74;CD7;IRF7;CD3D;GBP2;IL2RG;BCAT1;CXCR3;GZMA;NME1;FLNA;FYB1;CSK;KLRD1;EIF3A;IRF8;LCK;EIF4G3;CD79A;UBE2N;TAP1;CXCL13;IL27RA;CD3G;ITGB2;EIF3J;WAS;IRF4;IL7;PSMB10;ITGAL;JAK2;HLA-DRA;TRAT1;ABI1;F2R;IL12RB1;CDKN2A;HCLS1;TAPBP;HLA-A;STAT1;SIT1;PTPRC;MMP9;ETS1;CD2;IL16;LYN;SRGN;TGFB1;CAPG;B2M;CD28;EIF5A;WARS1;NCK1;AARS1;TAP2;IL2RB;PRF1;ELF4","Tfh","Down with age"
"ANDROGEN RESPONSE",0.0126708902967656,0.0243281093697899,0.235141995561108,-0.343934907853522,-1.47754700591389,81,"ELOVL5;DBI;ZMIZ1;SAT1;SLC38A2;SRP19;UBE2I;STK39;TMEM50A;CAMKK2;VAPA;CENPN;MAP7;PTK2B;HMGCR;ADRM1;SEC24D;B4GALT1;GNAI3;NCOA4;GSR;UAP1;INSIG1;RRP12;HMGCS1;ARID5B;NGLY1","Tfh","Down with age"
"APICAL JUNCTION",8.09126967097942e-05,0.000298754572466933,0.538434096309916,-0.389879780196243,-1.77755459394485,114,"ARPC2;PFN1;ACTB;MSN;CNN2;PIK3R3;EVL;ACTG1;GNAI2;PLCG1;MAP3K20;FYB1;MYH9;MAPK11;RHOF;AKT2;RAC2;VASP;CAP1;TUBG1;CD99;B4GALT1;FSCN1;ZYX;MVD;MYH10;CADM2;ATP1A3;TAOK2;ADAM9;PTPRC;INSIG1;PTEN;MYL12B;ITGA2;MMP9","Tfh","Down with age"
"APICAL SURFACE",0.175843694493783,0.234458259325044,0.0412797479600563,0.403795248140782,1.24452956628558,27,"MAL;AKAP7;DCBLD2;TMEM8B;APP","Tfh","Not significant"
"APOPTOSIS",0.00175423580636043,0.00421016593526502,0.45505986738723,-0.332605317107029,-1.54876028609225,130,"CD38;TOP2A;PMAIP1;WEE1;CASP4;ROCK1;GCH1;PPP2R5B;SAT1;PAK1;TAP1;BCL2L11;SPTAN1;CASP9;ETF1;ATF3;GPX1;EBP;MCL1;PSEN1;TNFSF10;VDAC2;CFLAR;ISG20;F2R;CDKN1A;GSR;CASP2;GADD45A;JUN;BTG3;BIK;DNM1L;CDC25B;RETSAT;DNAJA1;CD2;SMAD7;GNA15;IRF1;NEDD9;PSEN2;CASP3;NEFH;BAX;LGALS3;CD69;PRF1;RARA;DDIT3;DNAJC3;DFFA;RELA;PLCB2;BID;CYLD","Tfh","Down with age"
"BILE ACID METABOLISM",0.312026790914386,0.365299657655866,0.0276286251281132,0.293043578885434,1.09103704606085,71,"NR3C2;EPHX2;BCAR3;PEX1;ABCA5;ABCA3;PHYH;ABCD2;PEX26;HSD17B11;GCLM;EFHC1;NUDT12;ABCA2;PEX16;PEX7;LONP2;PFKM;SOD1;RXRA","Tfh","Not significant"
"CHOLESTEROL HOMEOSTASIS",0.000367389515382589,0.00125962119559745,0.49849310876659,-0.449606573365442,-1.81536692857701,60,"ETHE1;ACTG1;SQLE;PLSCR1;CPEB2;CHKA;ANXA5;ATF3;HMGCR;LDLR;EBP;STX5;TRIB3;MVD;S100A11;FBXO6;ACAT2;CYP51A1;FASN;FABP5;ECH1;HMGCS1;TP53INP1;ATF5;SCD;FDPS;DHCR7;IDI1;LGALS3;PMVK;MVK;NSDHL;PCYT2;FDFT1;FADS2;CTNNB1","Tfh","Down with age"
"COAGULATION",0.288922155688623,0.355596499309074,0.0295056344852086,0.309058860193829,1.11247869098618,58,"CPQ;DPP4;ISCU;CTSO;LTA4H;C2;F8","Tfh","Not significant"
"COMPLEMENT",4.73575697943973e-05,0.000201609115545219,0.557332238758646,-0.370774526046981,-1.7305878132114,135,"PFN1;LAP3;PPP4C;CPM;IRF7;RHOG;RABIF;GNAI2;GNB4;CTSD;CASP4;GZMA;LCK;PLSCR1;PDP1;GNG2;CTSB;DUSP5;ANXA5;CD59;CTSC;WAS;CASP9;PRKCD;PREP;PSEN1;JAK2;GNAI3;EHD1;GNB2;MSRB1;RCE1;PIK3CG;GZMK;ADAM9;HSPA5;SIRT6;VCPIP1;GRB2;FDX1;CALM1;GNGT2;USP15;DUSP6;LYN;CALM3;TNFAIP3;IRF1;HSPA1A;MAFF;PSMB9;RNF4;CASP3","Tfh","Down with age"
