"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"ADIPOGENESIS",0.0124499777678968,0.0243281093697899,0.274717458595242,-0.283384038152285,-1.35567828411034,162,"TKT;CHUK;CCNG2;UCP2;UQCR10;PLIN2;COX7B;CYC1;RTN3;MTCH2;UQCRC1;ETFB;COX6A1;MDH2;NDUFS3;ATP1B3;TALDO1;UQCRQ;BCL6;ACAA2;SDHB;SQOR;ACLY;ARAF;IMMT;ESYT1;UBC;SLC5A6;MRPL15;GADD45A;CS;GHITM;PRDX3;COX8A;ECH1;LPCAT3;ABCB8;PPP1R15B;RETSAT;NDUFAB1;SLC1A5;SUCLG1;COQ5;SAMM50;PFKL;PIM3;SDHC;DHCR7;DLD;DGAT1;CAT;DRAM2;TST;ENPP2;BCKDHA;IDH1;SLC19A1;STAT5A;TANK;ESRRA;GPAT4","Tfh","Down with age"
"ALLOGRAFT REJECTION",5.04022788863047e-05,0.000201609115545219,0.557332238758646,-0.360522643681996,-1.71262787990025,153,"CD74;CD7;IRF7;CD3D;GBP2;IL2RG;BCAT1;CXCR3;GZMA;NME1;FLNA;FYB1;CSK;KLRD1;EIF3A;IRF8;LCK;EIF4G3;CD79A;UBE2N;TAP1;CXCL13;IL27RA;CD3G;ITGB2;EIF3J;WAS;IRF4;IL7;PSMB10;ITGAL;JAK2;HLA-DRA;TRAT1;ABI1;F2R;IL12RB1;CDKN2A;HCLS1;TAPBP;HLA-A;STAT1;SIT1;PTPRC;MMP9;ETS1;CD2;IL16;LYN;SRGN;TGFB1;CAPG;B2M;CD28;EIF5A;WARS1;NCK1;AARS1;TAP2;IL2RB;PRF1;ELF4","Tfh","Down with age"
"ANDROGEN RESPONSE",0.0126708902967656,0.0243281093697899,0.235141995561108,-0.343934907853522,-1.47754700591389,81,"ELOVL5;DBI;ZMIZ1;SAT1;SLC38A2;SRP19;UBE2I;STK39;TMEM50A;CAMKK2;VAPA;CENPN;MAP7;PTK2B;HMGCR;ADRM1;SEC24D;B4GALT1;GNAI3;NCOA4;GSR;UAP1;INSIG1;RRP12;HMGCS1;ARID5B;NGLY1","Tfh","Down with age"
"APICAL JUNCTION",8.09126967097942e-05,0.000298754572466933,0.538434096309916,-0.389879780196243,-1.77755459394485,114,"ARPC2;PFN1;ACTB;MSN;CNN2;PIK3R3;EVL;ACTG1;GNAI2;PLCG1;MAP3K20;FYB1;MYH9;MAPK11;RHOF;AKT2;RAC2;VASP;CAP1;TUBG1;CD99;B4GALT1;FSCN1;ZYX;MVD;MYH10;CADM2;ATP1A3;TAOK2;ADAM9;PTPRC;INSIG1;PTEN;MYL12B;ITGA2;MMP9","Tfh","Down with age"
"APOPTOSIS",0.00175423580636043,0.00421016593526502,0.45505986738723,-0.332605317107029,-1.54876028609225,130,"CD38;TOP2A;PMAIP1;WEE1;CASP4;ROCK1;GCH1;PPP2R5B;SAT1;PAK1;TAP1;BCL2L11;SPTAN1;CASP9;ETF1;ATF3;GPX1;EBP;MCL1;PSEN1;TNFSF10;VDAC2;CFLAR;ISG20;F2R;CDKN1A;GSR;CASP2;GADD45A;JUN;BTG3;BIK;DNM1L;CDC25B;RETSAT;DNAJA1;CD2;SMAD7;GNA15;IRF1;NEDD9;PSEN2;CASP3;NEFH;BAX;LGALS3;CD69;PRF1;RARA;DDIT3;DNAJC3;DFFA;RELA;PLCB2;BID;CYLD","Tfh","Down with age"
"CHOLESTEROL HOMEOSTASIS",0.000367389515382589,0.00125962119559745,0.49849310876659,-0.449606573365442,-1.81536692857701,60,"ETHE1;ACTG1;SQLE;PLSCR1;CPEB2;CHKA;ANXA5;ATF3;HMGCR;LDLR;EBP;STX5;TRIB3;MVD;S100A11;FBXO6;ACAT2;CYP51A1;FASN;FABP5;ECH1;HMGCS1;TP53INP1;ATF5;SCD;FDPS;DHCR7;IDI1;LGALS3;PMVK;MVK;NSDHL;PCYT2;FDFT1;FADS2;CTNNB1","Tfh","Down with age"
"COMPLEMENT",4.73575697943973e-05,0.000201609115545219,0.557332238758646,-0.370774526046981,-1.7305878132114,135,"PFN1;LAP3;PPP4C;CPM;IRF7;RHOG;RABIF;GNAI2;GNB4;CTSD;CASP4;GZMA;LCK;PLSCR1;PDP1;GNG2;CTSB;DUSP5;ANXA5;CD59;CTSC;WAS;CASP9;PRKCD;PREP;PSEN1;JAK2;GNAI3;EHD1;GNB2;MSRB1;RCE1;PIK3CG;GZMK;ADAM9;HSPA5;SIRT6;VCPIP1;GRB2;FDX1;CALM1;GNGT2;USP15;DUSP6;LYN;CALM3;TNFAIP3;IRF1;HSPA1A;MAFF;PSMB9;RNF4;CASP3","Tfh","Down with age"
"DNA REPAIR",0.0126528890763391,0.0243281093697899,0.265216893779997,-0.296742136055089,-1.39487985545453,143,"ELOA;ADA;NME1;HPRT1;POLR2G;TAF13;NT5C;ARL6IP1;ALYREF;ADRM1;PNP;CMPK2;FEN1;MPC2;CANT1;PDE6G;POLB;HCLS1;SEC61A1;NELFB;SRSF6;ELL;GTF3C5;TYMS;ITPA;PCNA;NT5C3A;BRF2;RBX1;ERCC2;POM121;GUK1;POLR2J;POLR2A;NELFCD;DDB1;DGCR8;RALA;VPS28;POLR1D;POLE4;SUPT5H;POLR2K;RAD51;RFC5;SUPT4H1;POLR2F;SNAPC4;MPG;TP53;NUDT21;ZWINT;DCTN4;TAF12;SAC3D1;GTF2A2;TARBP2;POLR2I;CETN2;ZNF707","Tfh","Down with age"
"E2F TARGETS",5.02922084996619e-09,3.01753250997971e-08,0.761460801445585,-0.429177167211276,-2.08670971068726,180,"SMC4;JPT1;TOP2A;HMGA1;BARD1;LMNB1;HMGB3;CENPE;EZH2;CKS2;WEE1;KPNA2;PPM1D;CTPS1;NME1;UBE2S;SNRPB;MKI67;NASP;SMC6;ING3;UBR7;PLK4;LBR;RACGAP1;HELLS;POP7;TUBG1;CHEK1;TUBB;SYNCRIP;AURKA;CDKN1A;CDKN2A;KIF22;GSPT1;DONSON;ORC6;DEK;CCNE1;BRCA2;PCNA;ASF1B;DCTPP1;GINS3;MTHFD2;PPP1R8;TACC3;SMC1A;CDC25B;RAN;SLBP;H2AX;SHMT1;CDCA8;NCAPD2;HMMR;H2AZ1;BIRC5;RNASEH2A;LYAR;BUB1B;NOLC1;HNRNPD;IPO7;TFRC;UBE2T;SMC3","Tfh","Down with age"
"ESTROGEN RESPONSE LATE",0.00239056060611644,0.00546413852826614,0.431707695803346,-0.34663985447264,-1.567013665143,110,"TOP2A;ELOVL5;RBBP8;SLC16A1;IDH2;IGFBP4;FLNB;ITPK1;DUSP2;ID2;KCNK5;ETFB;HPRT1;JAK1;ATP2B4;EEIG1;SIAH2;PLK4;COX6C;SLC1A4;JAK2;FKBP4;CLIC3;ISG20;MYB;PPIF;GLA;BTG3;FABP5;ZFP36;NHERF1;SLC7A5;RNASEH2A;SLC27A2;RABEP1;GALE;SLC29A1;NMU;MDK;DHCR7","Tfh","Down with age"
