,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Interferon Gamma Response,-0.5628498780883947,-2.7405602941770657,0.0,0.0,0.0,102/171,24.09%,CD38;AUTS2;PSMB2;LAP3;CD74;IRF7;PSME2;OASL;UBE2L6;PTPN2;ISG15;GBP4;CASP4;LGALS3BP;RBCK1;GCH1;GZMA;RNF213;EPSTI1;IFI27;PARP12;IRF8;NMI;PSMB8;PSMA2;MT2A;PLSCR1;TAP1;MVP;PSME1;MYD88;SAMD9L;TRIM25;NAMPT;HELZ2;USP18;MX1;OAS2;IRF4;ADAR;IRF9;RTP4;STAT2;TNFSF10;IL7;PSMB10;PNP;JAK2;XAF1;PML;ISG20;TRIM21;CMPK2;CDKN1A;ITGB7;TAPBP;PARP14;IFI44L;NLRC5;CIITA;APOL6;HLA-A;STAT1;SAMHD1;MTHFD2;IFIT1;ARID5B;IFI35;OAS3;OGFR;VAMP8;TRIM26;LY6E;TOR1B;TNFAIP3;SP110;IRF1;EIF2AK2;CD274;BPGM;PSMB9;B2M;CASP3;PSMA3;WARS1;NUP93;IFITM2;IFIT3;CD69;EIF4E3;IL2RB;ZNFX1;IL10RA;RSAD2;PNPT1;IRF5;HLA-B;IFI44;GPR18;BST2;PFKP;VAMP5
1,prerank,Interferon Alpha Response,-0.6016707710390448,-2.6142969913182275,0.0,0.0,0.0,54/91,20.63%,LAP3;CD74;IRF7;PSME2;OASL;UBE2L6;GBP2;ISG15;GBP4;LGALS3BP;IFITM1;EPSTI1;IFI27;PARP12;NMI;PSMB8;PLSCR1;TAP1;PSME1;PARP9;SAMD9L;TRIM25;OAS1;HELZ2;USP18;MX1;ADAR;IRF9;RTP4;STAT2;IL7;LAMP3;ISG20;TRIM21;CMPK2;CNP;PARP14;IFI44L;SAMD9;MOV10;IFI35;OGFR;TRIM26;LY6E;SP110;IRF1;EIF2AK2;PSMB9;B2M;PSMA3;WARS1;NCOA7;IFITM2;IFIT3
2,prerank,G2-M Checkpoint,-0.534253802819741,-2.571170376177545,0.0,0.0,0.0,82/173,20.08%,SMC4;RAD23B;JPT1;TOP2A;HMGA1;BARD1;LMNB1;KIF11;HMGB3;CENPE;DR1;EZH2;CKS2;H2BC12;NUSAP1;KPNA2;KNL1;FBXO5;MAP3K20;UBE2S;TPX2;MKI67;KIF20B;SQLE;NSD2;CUL3;TOP1;KIF5B;MT2A;NASP;PRC1;CHMP1A;INCENP;PLK4;SMAD3;LBR;H2AZ2;RACGAP1;HSPA8;CHEK1;CENPF;ODF2;UCK2;PML;SYNCRIP;AURKA;KIF22;TLE3;GSPT1;MTF2;KIF15;SAP30;ORC6;CUL4A;KIF23;BRCA2;SNRPD1;KPNB1;SMARCC1;TACC3;SMC1A;CHAF1A;DBF4;CDC25B;PAFAH1B1;UBE2C;H2AX;KMT5A;ATF5;SLC7A5;HMMR;H2AZ1;BIRC5;TGFB1;HIRA;NOLC1;HNRNPD;SS18;E2F1;CDC7;SLC12A2;NDC80
3,prerank,mTORC1 Signaling,-0.4801774277002471,-2.3332344254272552,0.0,0.0,0.0,95/188,23.16%,GAPDH;ELOVL5;PIK3R3;PSMA4;ACTR2;PGK1;PSMC4;BCAT1;PSMD13;SHMT2;HPRT1;TBK1;SQLE;ATP6V1D;NFKBIB;SLC6A6;LDHA;CCT6A;NFYC;PSME3;DAPP1;SEC11A;CORO1A;ITGB2;SDF2L1;NAMPT;CTSC;IFRD1;ETF1;HMGCR;LDLR;TXNRD1;EBP;RIT1;TUBG1;SLC1A4;ACLY;RPN1;GPI;IMMT;PPIA;PNP;TRIB3;TPI1;CACYBP;ATP2A2;PPP1R15A;CALR;AURKA;ARPC5L;SLC2A3;CDKN1A;YKT6;GSR;PSMD14;HSPA5;CYP51A1;PITPNB;NUFIP1;GLA;ACTR3;INSIG1;MTHFD2;PSAT1;GSK3B;ENO1;HMGCS1;G6PD;PSMC2;COPS5;SCD;SLC7A5;EEF1E1;PSMC6;GOT1;MAP2K3;SLC1A5;SLC2A1;PSMA3;WARS1;PFKL;PRDX1;TFRC;TUBA4A;DHCR7;IDI1;PHGDH;PNO1;CYB5B;STIP1;DDIT3;MCM4;IDH1;BUB1;HSPA4
4,prerank,Oxidative Phosphorylation,-0.4737451088667938,-2.330601242068345,0.0,0.0,0.0,107/198,25.49%,SLC25A5;ATP5F1C;COX5A;ATP5F1E;ATP5F1B;VDAC1;ATP5MF;IDH2;TIMM8B;OGDH;UQCR10;NDUFB6;ATP6V0B;COX7B;ATP5MC3;CYC1;NDUFS6;CPT1A;NDUFA6;NDUFC2;ETFA;ATP6V1F;UQCRC1;ETFB;COX6A1;MDH2;NDUFA9;ATP6V1D;NDUFS3;COX6B1;UQCRH;LDHA;PDP1;NNT;SLC25A20;MFN2;COX10;NDUFA2;ATP5PF;UQCRQ;UQCRC2;MRPS15;ACAA2;SDHB;COX6C;ALAS1;NDUFA7;MRPS11;VDAC2;GPI;IMMT;ATP5PB;PDHB;NDUFB2;TIMM13;HSD17B10;BDH2;NDUFS7;HADHB;NDUFB3;ISCA1;MRPL15;CS;FDX1;PRDX3;COX8A;ECH1;NDUFA1;MRPS12;CYCS;UQCRFS1;RETSAT;COX5B;ECI1;ATP5ME;IDH3B;NDUFAB1;TOMM22;SUCLG1;SDHC;TIMM50;HTRA2;SLC25A6;BAX;NQO2;DLD;NDUFS8;COX7A2;SLC25A3;CYB5A;ATP6V0C;BCKDHA;POLR2F;IDH1;DLST;ACADVL;MRPS22;TIMM17A;AFG3L2;TCIRG1;NDUFB5;NDUFA3;SDHD;NDUFA8;MDH1;DECR1;ATP6V1H
5,prerank,Mitotic Spindle,-0.45537841963664283,-2.1851438467998348,0.0,0.0,0.0,77/169,20.13%,SMC4;CAPZB;TOP2A;LMNB1;KIF11;CENPE;PPP4R2;PCNT;SPTBN1;SEPTIN9;FLNB;EZR;NUSAP1;ROCK1;FBXO5;TPX2;FLNA;MYH9;KIF20B;RHOF;KIF5B;PRC1;BCL2L11;SPTAN1;ECT2;INCENP;NET1;CD2AP;RANBP9;PREX1;RACGAP1;EPB41;MYO1E;AKAP13;ATG4B;CENPF;PALLD;FSCN1;MARK4;ABI1;AURKA;MYH10;ARHGDIA;CKAP5;KIF22;TBCD;KIF15;TAOK2;MAPRE1;ARF6;STK38L;TLK1;BIN1;KIF23;CSNK1D;BRCA2;MYO9B;BCR;MAP1S;CDC42;SMC1A;PAFAH1B1;ARHGAP4;KATNB1;ARHGEF7;NF1;STAU1;BIRC5;WASF2;NEDD9;KPTN;NCK1;CLIP1;TUBA4A;SMC3;NDC80;YWHAE
6,prerank,PI3K/AKT/mTOR  Signaling,-0.4825374592661523,-2.132198049487914,0.0,0.0,0.0,36/91,15.26%,PFN1;ARPC3;CFL1;YWHAB;PIK3R3;PPP1CA;ACTR2;AP2M1;IL2RG;PLCG1;PTPN11;RAC1;TBK1;LCK;NFKBIB;UBE2N;MYD88;DAPP1;PRKAG1;CLTC;MKNK2;RIT1;STAT2;CSNK2B;TRIB3;CALR;ARF1;PIN1;ARHGDIA;CDKN1A;GRB2;ACTR3;PTEN;GSK3B;RPS6KA1;MAPK1
7,prerank,E2F Targets,-0.4291771672112761,-2.10337861168031,0.0,0.0,0.0,68/180,19.89%,SMC4;JPT1;TOP2A;HMGA1;BARD1;LMNB1;HMGB3;CENPE;EZH2;CKS2;WEE1;KPNA2;PPM1D;CTPS1;NME1;UBE2S;SNRPB;MKI67;NASP;SMC6;ING3;UBR7;PLK4;LBR;RACGAP1;HELLS;POP7;TUBG1;CHEK1;TUBB;SYNCRIP;AURKA;CDKN1A;CDKN2A;KIF22;GSPT1;DONSON;ORC6;DEK;CCNE1;BRCA2;PCNA;ASF1B;DCTPP1;GINS3;MTHFD2;PPP1R8;TACC3;SMC1A;CDC25B;RAN;SLBP;H2AX;SHMT1;CDCA8;NCAPD2;HMMR;H2AZ1;BIRC5;RNASEH2A;LYAR;BUB1B;NOLC1;HNRNPD;IPO7;TFRC;UBE2T;SMC3
8,prerank,Myc Targets V1,-0.41880245335318544,-2.059879370847312,0.0,0.0,0.0,77/196,17.33%,YWHAQ;PPM1G;COX5A;PSMD8;RAD23B;PSMB2;SERBP1;STARD7;EIF4A1;VDAC1;PSMA4;UBE2L3;PSMB3;PGK1;PSMC4;KPNA2;HDGF;CYC1;SET;CTPS1;NME1;CCT2;PSMA7;HPRT1;SRPK1;PSMA2;LDHA;EIF4G2;EIF3B;EIF3J;IFRD1;ETF1;HDDC2;CCT5;POLE3;PPIA;PSMA6;CCT3;TXNL4A;PSMD3;SNRPG;SYNCRIP;TRIM28;RNPS1;GSPT1;PSMD14;RUVBL2;HNRNPR;DEK;TYMS;PRDX3;PCNA;SNRPD1;KPNB1;PSMD1;NOP16;SMARCC1;TUFM;PWP1;PCBP1;LSM2;RAN;SRSF3;DDX21;ERH;PRPF31;FAM120A;COPS5;SNRPB2;AIMP2;RRM1;CCT7;LSM7;H2AZ1;PSMC6;CCT4;NDUFAB1
9,prerank,TNF-alpha Signaling via NF-kB,-0.3888003701051769,-1.8361918191969206,0.0,0.0014541558242767488,0.005,68/150,27.59%,SPSB1;ATP2B1;KLF10;DUSP2;ID2;GCH1;NFAT5;SAT1;SIK1;GEM;TAP1;MAP3K8;DUSP5;RELB;SMAD3;BCL6;NAMPT;ATF3;LDLR;PTGER4;JUNB;MCL1;TRIB1;REL;NFKB2;B4GALT1;CFLAR;NR4A3;PPP1R15A;EHD1;SLC2A3;CDKN1A;DUSP4;NR4A2;GADD45A;TIPARP;JUN;BTG3;PANX1;ZFP36;TNIP1;FOSL2;TNFAIP3;IRF1;MAP2K3;PTPRE;MAFF;ETS2;BCL2A1;NR4A1;PLEK;SERPINB8;CD69;FOSL1;MXD1;RELA;STAT5A;HBEGF;SLC2A6;IL6ST;TANK;KDM6B;YRDC;FOS;IER5;IER2;RNF19B;RHOB
