"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"ADIPOGENESIS",0.842852870813397,0.874899225349644,0.0126940819030093,0.200297446563134,0.837378106075607,159,"DHRS7;GPHN;NABP1;LTC4S;APLP2;ALDOA;GPD2;SLC66A3;PEX14;REEP5;NDUFB7;MGST3;CMPK1;RAB34;SLC1A5;CDKN2C;COX8A;TANK;SLC25A1;STOM;CD302;UBC;RETSAT;IDH3A;UQCR11;PGM1;REEP6;SQOR;SOD1;IDH3G;ELMOD3;HIBCH;FAH;SCP2;AGPAT3;GPAM;LIPE;ELOVL6;PHYH;RMDN3;PFKL;OMD","Treg","Not significant"
"ALLOGRAFT REJECTION",0.00672846889952153,0.0461380724538619,0.215782858966574,0.353994408522389,1.47101402156354,151,"HLA-DRA;HLA-DQA1;HLA-DMA;CD40;FLNA;HLA-DMB;HLA-DOA;CD80;GPR65;MAP4K1;ACVR2A;IL7;FAS;CD74;B2M;CD28;NCF4;CSF1;IL12RB1;HDAC9;HCLS1;STAT4;SRGN;TPD52;LY75;ICAM1;CDKN2A;TIMP1;CCR5;DEGS1;TGFB1;CAPG;GCNT1;HLA-A;CTSS;ITGAL;CD2;ST8SIA4;EIF3A;CD4;IFNG;CXCR3;IL2RB;CCR2;SIT1;JAK2;CCND2;AKT1;ELF4;MTIF2;WAS;CD3E;MAP3K7;IL1B;NCK1","Treg","Up with age"
"ANDROGEN RESPONSE",0.217515468824369,0.386694166798879,0.036201748643269,0.306940234077699,1.15370857479419,79,"CDC14B;ELOVL5;IQGAP2;ANKH;ABHD2;MAF;ABCC4;B2M;INPP4B;SAT1;NDRG1;ARID5B;TPD52;SEC24D;RPS6KA3;UBE2J1;PLPP1;ITGAV;HPGD;DBI;HERC3;AKT1;MAK;GSR;GPD1L;PIAS1;B4GALT1;SLC26A2;ADRM1;SPCS3","Treg","Not significant"
"APICAL JUNCTION",0.622876557191393,0.695304063841555,0.0271691988836728,-0.219029919842633,-0.935865214289237,110,"PECAM1;FYB1;PTK2;ACTN1;EVL;MAP3K20;EPB41L2;MPZL1;PTPRC;PLCG1;MAP4K2;IRS1;AKT2;TSPAN4;NEGR1;LDLRAP1;CADM2;MSN;GNAI1;AMIGO1;PTEN;JAM3","Treg","Not significant"
"APICAL SURFACE",0.544742463802516,0.637747274695628,0.0264383378949301,-0.297938284217377,-0.937967763630623,25,"APP;HSPB1;LYPD3;DCBLD2;ADAM10","Treg","Not significant"
"APOPTOSIS",0.073594392808167,0.176626542739601,0.0640748785378994,0.316674928430964,1.2815744582534,126,"TSPO;LMNA;SPTAN1;LGALS3;TGFBR3;PMAIP1;ANKH;CASP8;ENO2;FAS;ANXA1;GNA15;CDKN1B;SQSTM1;SAT1;WEE1;CASP1;TIMP1;PLCB2;ATF3;CD2;PEA15;CDC25B;ADD1;PPT1;CFLAR;MADD;CCND2;RETSAT;RHOT2;BCAP31;NEDD9;GSR;TOP2A;HMGB2;IL1B;SOD1;CDKN1A;CASP6;KRT18","Treg","Not significant"
"BILE ACID METABOLISM",0.06256,0.158046315789474,0.0715673164948964,0.364125420908474,1.34383875187681,71,"GSTK1;NR3C2;ACSL5;ABCA2;RXRA;ABCD2;NPC1;PEX1;ABCA3;OPTN;PEX16","Treg","Not significant"
"CHOLESTEROL HOMEOSTASIS",0.139259018524537,0.292115780549837,0.0471376665555693,0.3471597206194,1.24378733952899,60,"NIBAN1;LGALS3;ALCAM;ANXA5;ABCA2;LSS;ANTXR2;ERRFI1;NFIL3;PMVK;ATF3;MVD","Treg","Not significant"
"COAGULATION",0.26968311009474,0.446372044294743,0.0324488378594357,0.321556790311309,1.1267485334273,53,"CPQ;CAPN2;ANXA1;ISCU;CTSK;CSRP1;ADAM9;TIMP1;F8;LAMP2;CRIP2","Treg","Not significant"
"COMPLEMENT",0.321030959280159,0.481546438920238,0.0279442708162076,0.263089638514657,1.06875088868811,130,"CPQ;F5;GATA3;LGALS3;ANXA5;APOBEC3G;SPOCK2;GPD2;CSRP1;L3MBTL4;CASP1;ADAM9;TIMP1;APOBEC3F;F8;HPCAL4;CTSS;CTSC;LAMP2;PIK3R5;GNAI2;GRB2;RAF1;CD59;CTSO;JAK2;PDP1;RASGRP1;WAS;CTSH;PPP4C;S100A9;HSPA1A;STX4;CPM;C2;KIF2A;LIPA;MSRB1;CLU;PLEK;GZMA;GCA;USP16;CD40LG;XPNPEP1;PDGFB;EHD1;GZMK;USP8;RHOG;GNB2;PSMB9","Treg","Not significant"
"DNA REPAIR",0.051327961802447,0.144926009795145,0.109215847765851,-0.287963780570175,-1.27620802560167,142,"IMPDH2;SRSF6;PDE6G;ADA;NME4;NME1;RALA;RAE1;NT5C3A;DCTN4;CMPK2;POLB;POLR1C;TAF9;POM121;GTF3C5;DDB1;NCBP2;CLP1;ELOA;PDE4B;SDCBP;POLR2K;NELFCD;TARBP2;POLR2D;UMPS;NELFB;APRT;SEC61A1;POLD4;MPC2","Treg","Not significant"
"E2F TARGETS",0.260607840258405,0.446372044294743,0.0310613284284266,0.257803855218663,1.09386576663608,177,"CBX5;HELLS;PTTG1;CDKN1B;ANP32E;EED;SMC6;BRCA2;BARD1;TCF19;WEE1;MAD2L1;CDKN2A;ATAD2;LIG1;CHEK1;PRDX4;RACGAP1;ASF1A;TFRC;CDKN2C;CDKN3;NUP205;MMS22L;CDC25B;H2AZ1;CENPM;CIT;PSIP1;RAD21;EZH2;MCM6;JPT1;TIMELESS;ASF1B;RAD51AP1;KIF22;MXD3;CENPE;NAP1L1;TOP2A;HMGB2;CDKN1A;MKI67;NAA38;DONSON;AURKA;USP1;RRM2","Treg","Not significant"
