"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"APOPTOSIS",0.000951774716850785,0.00415319876443979,0.477270815362862,0.416513033898076,1.65515909573378,133,"TIMP1;ANXA1;ENO2;IGFBP6;LMNA;SQSTM1;TSPO;CLU;TNF;RHOB;FEZ1;CCND2;PSEN2;F2R;RHOT2;EMP1;BCAP31;SLC20A1;FAS;IFNGR1;ATF3;GADD45B;NEDD9;CFLAR;CTH;SOD2;IGF2R;CASP1;PPT1;DPYD;BCL2L1;IER3;TGFBR3;PEA15;CDKN1B;RARA;HMGB2;SOD1;PRF1;GPX4;BTG2;JUN;DIABLO;CASP6;BIRC3;CASP8;CD44;CDKN1A;MADD;TXNIP;ADD1;SMAD7;CD2;KRT18;DNAJA1","CD8_GZMK__naive_Tcm","Up with age"
"COAGULATION",0.000789408310270638,0.00378915988929906,0.477270815362862,0.525566094513023,1.81836577227985,56,"CPQ;CFH;TIMP1;ANXA1;CAPN2;DPP4;CLU;F8;CTSO;ISCU;CTSH;CRIP2;A2M;PDGFB","CD8_GZMK__naive_Tcm","Up with age"
"E2F TARGETS",5.06874665977505e-06,6.08249599173006e-05,0.610526878385931,-0.374612653843303,-1.77418648695156,180,"SMC4;TACC3;HMGA1;LMNB1;STMN1;PAICS;SMC6;LBR;EZH2;MSH2;ING3;MKI67;BARD1;TUBB;CENPE;CCNE1;NASP;NME1;TOP2A;LUC7L3;SMC1A;MCM5;DSCC1;CKS2;TP53;BIRC5;NCAPD2;RFC3;HMGB3;CTPS1;HNRNPD;TIPIN;MYC;JPT1;DNMT1;DONSON;DCLRE1B;PNN;TBRG4;CDKN3;UBE2T;PLK4;KPNA2;RRM2;TUBG1;RAD21;UBR7","CD8_GZMK__naive_Tcm","Down with age"
"EPITHELIAL MESENCHYMAL TRANSITION",2.63125080776848e-06,4.21000129242956e-05,0.627256739718528,0.565354178806533,2.05365920632547,73,"IGFBP3;TIMP1;IL15;VIM;GLIPR1;ITGB1;ID2;ENO2;SGCD;SGCB;CD59;RHOB;PLOD3;AREG;TGFBI;PPIB;IL32;NT5E;NOTCH2;EMP3;FAS;PFN2;GADD45B;LOXL1;CADM1;PLAUR;TGFBR3;VCAM1;COPA;LGALS1","CD8_GZMK__naive_Tcm","Up with age"
"G2M CHECKPOINT",9.94016288240174e-06,9.54255636710567e-05,0.593325476396405,-0.386781039761268,-1.81356983758801,170,"SMC4;TACC3;H2BC12;HMGA1;LMNB1;HIF1A;STMN1;RAD23B;CENPF;H2AZ2;KNL1;LBR;EZH2;MKI67;BARD1;ODF2;CENPE;TPX2;NASP;TOP2A;HMGN2;SMC1A;MCM5;CKS2;SMARCC1;BIRC5;NUP50;HMGB3;HNRNPD;LIG3;MYC;JPT1;SNRPD1;TROAP;SQLE;TFDP1;NUMA1;ORC5;CDKN3;PLK4;KPNA2;SS18;CUL3;RAD21;KPNB1;RBM14;NSD2;CCNF;TOP1;MT2A;FBXO5;CHMP1A;PRC1;KIF11;CCNT1;CTCF;HSPA8;MTF2;DR1;STIL;TNPO2;E2F3;NUSAP1;MCM3;PAFAH1B1;KMT5A;RBL1;DDX39A;NOLC1","CD8_GZMK__naive_Tcm","Down with age"
"HYPOXIA",0.00523971705527901,0.0167670945768928,0.229089382980959,0.380755137633502,1.50997670274854,131,"S100A4;RORA;IGFBP3;DUSP1;ENO2;RRAGD;KLF6;TPD52;IDS;BHLHE40;SAP30;ERRFI1;FOS;TGFBI;WSB1;CXCR4;ERO1A;PDGFB;FOSL2;HSPA5;MXI1;ATF3;P4HA1;UGP2;PAM;TIPARP;IER3;PLAUR;PPP1R15A;FBP1;DDIT4;CDKN1B;ALDOA;NDRG1;GBE1;FOXO3;AMPD3;SLC25A1;BCL2;ZFP36;PNRC1;JUN;ANXA2;CASP6;ILVBL;NFIL3;CDKN1A;TNFAIP3","CD8_GZMK__naive_Tcm","Up with age"
"IL2 STAT5 SIGNALING",2.19434297619001e-07,5.26642314285603e-06,0.690132458796796,0.487107695558506,1.97293252526984,156,"RORA;PTGER2;CD48;HOPX;AHNAK;PTCH1;IL2RA;GPR65;IL2RB;RRAGD;KLF6;SERPINB6;GLIPR2;XBP1;ADAM19;IL10RA;AHR;PHTF2;BHLHE40;IL18R1;PRNP;RHOB;CCND2;GALM;TNFRSF18;SOCS2;CTSZ;SLC39A8;LRIG1;CDC42SE2;EMP1;CYFIP1;RABGAP1L;NT5E;FLT3LG;CCR4;IFNGR1;TNFRSF4;SYT11;ABCB1;ANXA4;ARL4A;P4HA1;GADD45B;RNH1;IGF2R;CST7;FAH;BCL2L1;TWSG1;ODC1;LRRC8C;RGS16;PHLDA1;CD83;NDRG1;GABARAPL1;TRAF1;MAP3K8;TNFRSF9;GPX4;SH3BGRL2;CSF1;BCL2;MAPKAPK2;CAPN3;ALCAM;NFIL3;HIPK2;P2RX4;CD44;FGL2","CD8_GZMK__naive_Tcm","Up with age"
"INFLAMMATORY RESPONSE",0.000173034931043714,0.000922852965566474,0.518848077743792,0.448691034698181,1.75534849522446,119,"PTGER2;TIMP1;CD48;IL15;SLC4A4;GABBR1;CD40;IL2RB;KLF6;IL7R;SRI;IL10RA;AHR;IL18R1;CD82;ACVR2A;SELENOS;IL15RA;SLAMF1;CCL5;RIPK2;IL18RAP;ATP2B1;EMP3;OSM;SLC31A2;KIF1B;ICAM1;SLC7A1;PLAUR;KCNA3;RGS16;TNFSF9;PROK2;NFKBIA;TNFRSF9;CSF1;CD70;C3AR1;BTG2;ACVR1B;P2RX4;BEST1;CDKN1A","CD8_GZMK__naive_Tcm","Up with age"
"INTERFERON ALPHA RESPONSE",3.94754210357554e-05,0.000270688601388037,0.557332238758646,-0.439795900408465,-1.88029500889247,93,"LGALS3BP;SELL;ISG15;GBP2;UBE2L6;IRF7;CNP;IRF9;PSMB8;STAT2;SP110;ISG20;EPSTI1;TAP1;MX1;TRIM25;LAP3;RTP4;IFI35;USP18;PARP12;OAS1;NMI;PSME2;PARP9;TRAFD1;PNPT1;TMEM140;GBP4;IFI44L;IFITM1;RSAD2;CMPK2;DDX60;IFIT3;TRIM14;SAMD9L;CCRL2;TRIM21;ADAR;RNF31;PLSCR1;MVB12A;LAMP3","CD8_GZMK__naive_Tcm","Down with age"
"INTERFERON GAMMA RESPONSE",0.00174514605917355,0.0067000460847545,0.45505986738723,-0.307032348162907,-1.44998381929164,175,"CD38;LGALS3BP;RAPGEF6;HIF1A;ISG15;NCOA3;UBE2L6;IRF7;IRF9;IRF4;PSMB8;STAT2;RNF213;SP110;IRF8;ISG20;PELI1;EPSTI1;NLRC5;TAP1;MX1;OAS2;TRIM25;LAP3;RBCK1;XAF1;RTP4;IFNAR2;VAMP5;IFI35;USP18;PARP12;NMI;NUP93;PSME2;STAT1;SAMHD1;GPR18;PSMB2;MYD88;IFIT1;TRAFD1;KLRK1;PNPT1;MX2;CASP3;GBP4;CASP4;IFI44L;RSAD2;CMPK2;DDX60;ST8SIA4;IFIT3;TRIM14;SAMD9L;MVP;STAT3;MT2A;PSMA2;TRIM21;TNFSF10;ADAR;RNF31;PLSCR1","CD8_GZMK__naive_Tcm","Down with age"
