"pathway","CD8_GZMK__naive_Tcm","CD8_Tem","CD8_naive_Tcm"
"APOPTOSIS",1.65515909573378,NA,-1.66146499134183
"COAGULATION",1.81836577227985,NA,NA
"E2F TARGETS",-1.77418648695156,-1.65127817904417,-2.24726006704184
"EPITHELIAL MESENCHYMAL TRANSITION",2.05365920632547,1.69912856535789,NA
"G2M CHECKPOINT",-1.81356983758801,-2.07137949122208,-2.7164144738666
"HYPOXIA",1.50997670274854,NA,NA
"IL2 STAT5 SIGNALING",1.97293252526984,NA,NA
"INFLAMMATORY RESPONSE",1.75534849522446,-1.45577363673029,-1.85083577079874
"INTERFERON ALPHA RESPONSE",-1.88029500889247,-2.54915776425559,-2.36674977369742
"INTERFERON GAMMA RESPONSE",-1.44998381929164,-2.5525986723522,-2.45515302463713
"KRAS SIGNALING UP",1.48040560238131,NA,NA
"MITOTIC SPINDLE",-1.502828132006,-1.76161908938026,-2.5149297191713
"MYC TARGETS V1",-1.64171150832208,NA,-2.83255759333539
"MYC TARGETS V2",-1.63477954469147,NA,-2.04492757309579
"MYOGENESIS",1.47288417958133,NA,NA
"OXIDATIVE PHOSPHORYLATION",-2.12345517216669,-1.56945102230334,-2.06518670859528
"P53 PATHWAY",1.40571661699347,-1.4470467957008,-1.52695912345645
"PROTEIN SECRETION",1.48790452696486,NA,NA
"TNFA SIGNALING VIA NFKB",1.78669377807647,-2.41078794272523,-2.3283182628118
"IL6 JAK STAT3 SIGNALING",NA,-1.68214110726905,-1.76401520114974
"MTORC1 SIGNALING",NA,-1.50587181615725,-2.29480642939932
"NOTCH SIGNALING",NA,1.68454709754805,NA
"UV RESPONSE UP",NA,-2.14001229434537,-1.94608226648625
"ADIPOGENESIS",NA,NA,-1.53388666140368
"ALLOGRAFT REJECTION",NA,NA,-1.50752168305073
"ANDROGEN RESPONSE",NA,NA,-1.63968204558703
"APICAL JUNCTION",NA,NA,-1.7183898348736
"CHOLESTEROL HOMEOSTASIS",NA,NA,-1.50213455683026
"COMPLEMENT",NA,NA,-1.65277737646558
"DNA REPAIR",NA,NA,-1.93959231368203
"HEME METABOLISM",NA,NA,-1.65281333197832
"PI3K AKT MTOR SIGNALING",NA,NA,-2.13692958436599
"TGF BETA SIGNALING",NA,NA,-1.96291201294707
"UNFOLDED PROTEIN RESPONSE",NA,NA,-1.98215874596089
