"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"ADIPOGENESIS",0.157044673539519,0.235567010309278,0.0659642175442741,-0.238512027541749,-1.14182827554995,163,"ATP1B3;PEX14;GADD45A;PIM3;SLC5A6;UCK1;ATL2;TST;CHUK;TALDO1;GPAM;UBQLN1;TKT;UQCRC1;BCL6;BCKDHA;SLC19A1;ENPP2;CCNG2;PRDX3;PPP1R15B;ACLY;AIFM1;SLC1A5;ABCB8;COX7B;PFKFB3;ACADS;RIOK3;UCP2;ECH1;ACO2;YWHAG;SCARB1;ATP5PO;GRPEL1;DNAJC15;TOB1;COX6A1;RTN3;CS;HADH;POR;GPAT4;RETSAT;MRPL15;IMMT;COQ5;ETFB;LPCAT3;ARAF;MDH2;ELMOD3;DGAT1;COQ9","CD8_Tem","Not significant"
"ALLOGRAFT REJECTION",0.0421052631578947,0.0962406015037594,0.129015392724128,-0.266026714463943,-1.26942166430584,159,"CD7;JAK2;CCL5;IRF7;STAT1;GBP2;CD3G;TAP1;IL2RG;IRF8;CD8A;ETS1;IKBKB;CTSS;SRGN;EIF3A;WARS1;CCL4;WAS;CD8B;FASLG;CD74;TAP2;CD86;EIF3J;HIF1A;GZMB;TGFB1;NPM1;BCL10;IL12RB1;ITK;LY86;UBE2D1;FYB1;IL10;BCL3;PSMB10;CSK;TRAF2;HLA-DOB;ACHE;TAPBP;IL27RA","CD8_Tem","Not significant"
"ANDROGEN RESPONSE",0.282063125481139,0.371144290407125,0.0304680501545925,0.281340586465745,1.10420160015238,82,"ADAMTS1;MAF;MYL12A;INPP4B;ABCC4;CDC14B;ELOVL5;ABHD2;PA2G4;DHCR24;TPD52;FADS1;LMAN1;ACTN1;XRCC5;CDK6;SMS;ANKH;SPCS3;PLPP1;SORD;PGM3;TSC22D1;MAK;CCND3;AKT1;SELENOP;RAB4A;TNFAIP8;DNAJB9;STK39","CD8_Tem","Not significant"
"APICAL JUNCTION",0.0270827200471004,0.0764688566035776,0.105519930289441,0.335742688748398,1.39652330234348,116,"AKT3;SORBS3;ZYX;SGCE;TGFBI;AMIGO2;SKAP2;PIK3CB;MYL12B;PALS1;RRAS;NECTIN3;MPZL1;CD99;LIMA1;ITGB1;CTNNA1;ICAM1;WASL;ACTN1;JAM3;THBS3;STX4;CTNND1;CDK8;ACTB;EPB41L2;ITGB4;CAP1;NLGN3;VASP;LDLRAP1;TRAF1;IKBKG;RSU1;DLG1;GNAI2","CD8_Tem","Not significant"
"APICAL SURFACE",0.735294117647059,0.750938673341677,0.0216529799672423,-0.244938558897535,-0.827034495841933,27,"IL2RG;AFAP1L2;LYPD3;ADAM10","CD8_Tem","Not significant"
"APOPTOSIS",0.0311897106109325,0.0787950583855136,0.146151534304949,-0.286721296129258,-1.32789185821969,129,"CD38;MCL1;BCL2L11;BTG2;BNIP3L;GCH1;VDAC2;GADD45A;TAP1;CD69;ISG20;SPTAN1;BTG3;TOP2A;PPP2R5B;DDIT3;GADD45B;HMOX1;ETF1;CDKN1A;BMF;FASLG;SMAD7;LEF1;SATB1;RELA;BCL10;NEFH;PMAIP1;CASP3","CD8_Tem","Not significant"
"BILE ACID METABOLISM",0.123369479805123,0.197391167688197,0.0494468248226716,0.328075586836681,1.25823364458216,72,"NR3C2;ABCA5;ABCA2;GSTK1;EPHX2;PEX16;DHCR24;EFHC1;FADS1;GNPAT;PIPOX;BCAR3;ABCA3;CYP46A1;OPTN;HSD17B11;PEX6","CD8_Tem","Not significant"
"CHOLESTEROL HOMEOSTASIS",0.168085106382979,0.244487427466151,0.0555678476762568,-0.294186872164818,-1.19051686681469,60,"GSTM2;PLSCR1;CHKA;STX5;MVD;FABP5;TM7SF2;ALCAM;ATF5;TMEM97;ECH1;HSD17B7;TNFRSF12A;TRIB3;NFIL3;CPEB2;ANXA5;FASN;IDI1;CD9;FBXO6;FDPS","CD8_Tem","Not significant"
"COAGULATION",0.0161030595813204,0.0515297906602254,0.143909619745855,0.416104537997015,1.53067820076077,57,"CFH;CPQ;CTSO;CTSH;TIMP1;ISCU;A2M;MSRB2;F8;CLU;C1S","CD8_Tem","Not significant"
"COMPLEMENT",0.0765239948119326,0.141275067345106,0.0928974976713944,-0.265150795804723,-1.23326260242727,132,"TNFAIP3;JAK2;PDP1;CCL5;DUSP5;IRF7;PLSCR1;LAP3;GNB4;RABIF;PREP;RCE1;CD55;FDX1;SERPINE1;CTSS;RHOG;GNG2;USP15;PRSS36;ERAP2;WAS;FCER1G;CTSD;FYN;PPP2CB;GZMB;BRPF3;CTSB;CEBPB;SH2B3;F7;MAFF;PSMB9;CASP3","CD8_Tem","Not significant"
"DNA REPAIR",0.0838539953962512,0.149073769593336,0.0892755851408452,-0.257493897368756,-1.21135849320476,144,"SRSF6;VPS37B;PDE6G;TYMS;ELOA;POLB;ELL;GTF3C5;DCTN4;RAE1;ADA;POLR2A;HPRT1;CANT1;ADRM1;POLD4;ZNF707;CLP1;POLR1D;LIG1;TAF1C;BRF2;PDE4B;POLR2F;SDCBP;PCNA;CMPK2;NT5C3A;VPS37D;RAD51;ALYREF;POLR2C;TSG101;SNAPC4;RNMT;POM121;ERCC2;USP11;POLR3C","CD8_Tem","Not significant"
"E2F TARGETS",0.000205378747858942,0.00140831141388989,0.518848077743792,-0.33945618272513,-1.65127817904417,182,"EZH2;SMC4;CENPE;LBR;KPNA2;HMGA1;LMNB1;SMC6;CKS2;NASP;UBE2S;CTPS1;RRM2;SRSF2;GSPT1;HMGB3;MTHFD2;DDX39A;TFRC;IPO7;TOP2A;MELK;BRMS1L;CCNE1;TACC3;CCP110;MCM5;UBE2T;ING3;CDKN1A;CDK1;JPT1;TUBG1;LIG1;CIT;RACGAP1;BUB1B;PPM1D;H2AX;PCNA;TIMELESS;ORC6;HELLS;DCK;UBR7;WDR90;MCM4;SNRPB;MSH2;XPO1;DONSON;TRIP13;POP7;RPA3;MCM6;SMC3;MLH1;CHEK2;SHMT1;DNMT1;GINS4;SLBP","CD8_Tem","Down with age"
"EPITHELIAL MESENCHYMAL TRANSITION",0.00113440384606952,0.00605015384570408,0.45505986738723,0.435149290587712,1.69912856535789,79,"VIM;IGFBP3;FAS;IL15;TGFBI;LOXL1;SGCD;TIMP1;AREG;LGALS1;SGCB;CAPG;ENO2;CD59;SNTB1;TPM4;LAMA2;ITGB1;NOTCH2;MAGEE1;NT5E","CD8_Tem","Up with age"
"ESTROGEN RESPONSE EARLY",0.286090390522159,0.371144290407125,0.0292615811881865,0.260573232245179,1.08988694820593,122,"SVIL;DYNLT3;SNX24;BCL2;MYBL1;SH3BP5;DHRS3;AREG;ASB13;RETREG1;ELOVL5;ABHD2;PLAAT3;SLC22A5;MREG;RHOBTB3;CHPT1;IGF1R;DHCR7;ADD3;GAB2;ABCA3;KAZN;MYC;XBP1","CD8_Tem","Not significant"
"ESTROGEN RESPONSE LATE",0.0364713216957606,0.0875311720698254,0.132881872272143,-0.290188231550219,-1.3225280019012,116,"CLIC3;JAK2;DUSP2;ITPK1;OPN3;IDH2;RBBP8;IL6ST;ISG20;KCNK5;FABP5;JAK1;BTG3;TOP2A;ZFP36;FKBP4;SLC27A2;TST;HPRT1;SLC7A5;NBL1;KLF4;SIAH2;ID2;NXT1;SLC2A8;SCARB1;DCXR;RABEP1;TOB1","CD8_Tem","Not significant"
"FATTY ACID METABOLISM",0.43107849393746,0.492661135928526,0.0365110590073531,-0.219128320012185,-1.0073617365453,123,"UBE2L6;D2HGDH;CPT1A;LDHA;HSPH1;CPOX;TP53INP2;ACSS1;PSME1;HPGD;NTHL1;METAP1;HSP90AA1;ALDH9A1;PTS;ACAA1;ACOT8;ACADS;ECH1;ACO2;HSD17B7;ACOT2;GABARAPL1;KMT5A;ACADVL;EHHADH;PDHB;HADH;RETSAT;PRDX6;ODC1;MDH2;CBR1;FASN;IDI1","CD8_Tem","Not significant"
"G2M CHECKPOINT",1.40262880287905e-08,1.68315456345486e-07,0.747739663149885,-0.428464558726681,-2.07137949122208,176,"H2BC12;EZH2;SMC4;CENPE;LBR;KPNA2;HMGA1;LMNB1;SLC12A2;KNL1;CKS2;NASP;RBM14;TOP1;NUSAP1;FBXO5;KIF11;UBE2S;KIF23;SRSF2;GSPT1;HMGB3;DDX39A;RAD23B;TOP2A;NUP50;NDC80;POLQ;TACC3;TLE3;SS18;UPF1;MCM5;MAP3K20;SLC7A5;CDK1;JPT1;ATF5;KIF5B;RACGAP1;CCNF;DBF4;SLC38A1;HIF1A;CENPF;H2AX;TGFB1;CUL3;KIF20B;LIG3;AMD1;ORC6;ABL1","CD8_Tem","Down with age"
"GLYCOLYSIS",0.693320171108917,0.723464526374523,0.0279274643465237,-0.195195816456313,-0.918075881263141,143,"CHST2;LHPP;NASP;PGK1;ISG20;LDHA;FKBP4;PGM2;TALDO1;CHST12;ALDH9A1;HDLBP;PSMC4;CDK1;MED24;PYGB;FUT8;PPP2CB;CITED2;CHPF;NANP;RBCK1;HK2","CD8_Tem","Not significant"
"HEDGEHOG SIGNALING",0.418227501142074,0.489632196459013,0.0304782366580794,-0.340029906172745,-1.02723577068505,18,"TLE3;RASA1;ETS2;MYH9;ACHE;ADGRG1","CD8_Tem","Not significant"
"HEME METABOLISM",0.0190126751167445,0.0570380253502335,0.191387828756382,-0.285577249041701,-1.35001118172171,149,"ACP5;BTG2;BNIP3L;EPB41;TENT5C;TOP1;DCAF11;SLC30A1;CPOX;TFRC;SLC66A2;PPP2R5B;KLF3;TFDP2;USP15;RBM38;MAP2K3;RNF19A;ISCA1;SEC14L1;KDM7A;HEBP1;NR3C1;YPEL5;BSG;CTSB;GAPVD1;PPOX;AGPAT4;SDCBP;HDGF;RIOK3;UCP2;RCL1;RANBP10;LPIN2;GDE1;RHCE;BACH1;GYPC;FOXO3;ELL2","CD8_Tem","Not significant"
"HYPOXIA",0.050814332247557,0.10574319509762,0.114790404232843,-0.273290026372621,-1.2743380761945,135,"TNFAIP3;CHST2;BNIP3L;TIPARP;CDKN1C;PGK1;SLC2A3;FOSL2;ISG20;LDHA;HK1;ETS1;ZFP36;LXN;SERPINE1;PGM2;JMJD6;GAPDH;SLC6A6;NOCT;DDIT3;HMOX1;CDKN1A;HDLBP;CCNG2;NR3C1;SIAH2;CITED2;MYH9;HK2;PFKFB3;MAFF;SCARB1","CD8_Tem","Not significant"
"IL2 STAT5 SIGNALING",0.05287159754881,0.10574319509762,0.0735499839648035,0.301564856172514,1.30199072667379,153,"BCL2;PHTF2;HIPK2;SWAP70;FGL2;HOPX;CD48;DHRS3;SERPINB6;RRAGD;PTCH1;BMPR2;RABGAP1L;EOMES;ARL4A;PRNP;RNH1;AHNAK;CAPG;IGF1R;GPR65;CTSZ;SYT11;RORA;SOCS2;NT5E;ANXA4;MYC;ITGA6;XBP1;AHR;IFNGR1;HYCC2;TNFRSF9;TNFRSF18;TNFRSF4;CDC42SE2;IL18R1;SNX14;PTGER2;CAPN3;P2RX4;TRAF1;LTB;PLPP1;FAH","CD8_Tem","Not significant"
"IL6 JAK STAT3 SIGNALING",0.00545823849265735,0.0218329539706294,0.407017918923954,-0.427695931475948,-1.68214110726905,51,"CD38;BAK1;IRF9;STAT1;STAT2;TNFRSF1B;IL2RG;IL6ST;STAT3;MYD88","CD8_Tem","Down with age"
"INFLAMMATORY RESPONSE",0.0108292079207921,0.0381288614298323,0.245188063659135,-0.320512529940298,-1.45577363673029,113,"CHST2;LY6E;CCL5;IRF7;BTG2;NAMPT;GCH1;TNFRSF1B;CD69;TNFSF9;RGS1;SPHK1;CD55;PTGER4;SERPINE1;CXCR6;NFKB1;RHOG;ADRM1;CCR7;CDKN1A;BST2;HIF1A;PDE4B;RELA","CD8_Tem","Down with age"
"INTERFERON ALPHA RESPONSE",5.05967804856611e-12,8.09548487770578e-11,0.887074988399873,-0.579337113726407,-2.54915776425559,93,"IFI27;LY6E;GBP4;UBE2L6;IRF7;PLSCR1;IRF9;STAT2;LAP3;PARP12;USP18;OAS1;GBP2;TAP1;ISG15;LGALS3BP;HELZ2;PARP9;ISG20;EPSTI1;PSME2;IFI44L;SAMD9L;PSME1;RNF31;PSMB8;SAMD9;WARS1;RSAD2;SP110;CNP;TRAFD1;MX1;CD74;IFIT3;IFI35;TRIM25;BST2;PARP14;IFIH1;CMPK2;ADAR;DDX60;PSMB9;OASL","CD8_Tem","Down with age"
"INTERFERON GAMMA RESPONSE",9.72294244907739e-16,4.66701237555715e-14,1.01754479730988,-0.528004679195909,-2.5525986723522,176,"IFI27;CD38;TNFAIP3;APOL6;JAK2;LY6E;CCL5;GBP4;UBE2L6;IRF7;PLSCR1;IRF9;STAT1;NAMPT;RNF213;GCH1;STAT2;LAP3;PARP12;USP18;TAP1;CD69;ARID5B;ISG15;LGALS3BP;HELZ2;XAF1;STAT3;GPR18;ISG20;ISOC1;EPSTI1;IRF8;PSME2;MYD88;IFI44L;MTHFD2;SAMD9L;IFIT1;PSME1;OAS2;RNF31;PSMB8;PSMB2;PELI1;NFKB1;ZNFX1;WARS1;SPPL2A;RSAD2;SP110;SAMHD1;TOR1B;NUP93;NLRC5;CDKN1A;TRAFD1;MX1;CD274;CD74;IFIT3;AUTS2;CD86;IFI35;BANK1;TRIM25;BST2;HIF1A;PARP14;IFIH1;PDE4B;RBCK1;CMPK2;ADAR;DDX60;ST3GAL5;PSMB10;PSMB9;CASP3;NCOA3;OASL;TAPBP","CD8_Tem","Down with age"
"KRAS SIGNALING DN",0.0578691184424013,0.11110870740941,0.097676284397018,-0.323131527320058,-1.32929895217209,66,"CHST2;BTG2;RYR1;TENT5C;IFI44L;GTF3C5;PTPRJ;LYPD3;COQ8A;RSAD2;PDCD1;MX1;RYR2;SLC29A3;PLAG1;MFSD6;SNN;NR4A2","CD8_Tem","Not significant"
"KRAS SIGNALING UP",0.117682377664365,0.194784625099639,0.071472137805893,-0.270077798265466,-1.209280568113,103,"TNFAIP3;GFPT2;TNFRSF1B;IL2RG;AKT2;RBM4;TRIB2;IRF8;LAPTM5;ETS1;CBX8;CTSS;PSMB8;VWA5A;ADAM8;STRN;FCER1G;DNMBP;ABCB1;KLF4;PRELID3B;SATB1;ID2","CD8_Tem","Not significant"
"MITOTIC SPINDLE",1.4956645627025e-05,0.0001196531650162,0.593325476396405,-0.365786796111425,-1.76161908938026,170,"SMC4;CENPE;BCL2L11;LMNB1;ATG4B;EPB41;TBCD;PPP4R2;PCNT;WASF2;NET1;NUSAP1;BCR;FBXO5;KIF11;SPTAN1;PREX1;KIF23;ECT2;TOP2A;MAPRE1;NDC80;ARHGEF7;SEPTIN9;RANBP9;FGD6;PIF1;TUBA4A;RALBP1;RASA1;CDK1;GEMIN4;KIF5B;RACGAP1;EZR;HOOK3;STAU1;PXN;CENPF;MYO9B;TLK1;KIF20B;MYH9;ABL1;ARF6;PRC1;CSNK1D;ARHGAP4;KATNB1;RHOF;CDC42EP4;CYTH2;CEP57;TRIO;INCENP;AKAP13;CEP192;SPTBN1;SMC3;PLEKHG2;RASA2;CLASP1;SAC3D1;TPX2","CD8_Tem","Down with age"
"MTORC1 SIGNALING",0.00134424116120656,0.00645235757379146,0.45505986738723,-0.308459528447782,-1.50587181615725,188,"BTG2;NAMPT;NFKBIB;PHGDH;PGK1;SLC2A3;GGA2;IFRD1;LDHA;RRM2;MTHFD2;DDX39A;TXNRD1;TFRC;PNO1;TM7SF2;NFYC;PSMA4;GAPDH;SLC6A6;SHMT2;HPRT1;DDIT3;WARS1;MAP2K3;ETF1;CDKN1A;TUBA4A;SLC7A5;HSPD1;PSMC4;TUBG1;ACLY;CCNF;CYB5B;NUFIP1;SLC1A5;SLA;TMEM97;HK2;EEF1E1;CACYBP;HSPE1;SRD5A1;PSMC6;TRIB3;HSPA5;PITPNB;MCM4;UBE2D3;PDK1;MTHFD2L;TPI1;RPN1;NFIL3;FDXR;STIP1;ABCF2;YKT6;IMMT;RIT1","CD8_Tem","Down with age"
"MYC TARGETS V1",0.0503988397389413,0.10574319509762,0.121736367223309,-0.250862835319073,-1.23185155260432,197,"PSMA1;KPNA2;SRSF3;CCT2;PGK1;TYMS;IFRD1;LDHA;CTPS1;SF3A1;SRSF2;PSMA7;GSPT1;RAD23B;PSMB2;PSMA4;PSMD8;HPRT1;VDAC1;MCM5;STARD7;PABPC1;ETF1;EIF3B;SRM;HSPD1;PSMC4;PRDX3;CCT5;CCT3;SERBP1;EIF3J;PCBP1;CCT7;PSMB3;NPM1;DDX21;PCNA;HDGF;MRPL23;TRIM28;SET;HSPE1;LSM2;PSMC6;TXNL4A;TFDP1;SRPK1;EIF4G2;MCM4;EIF4A1;ILF2;XPO1;RRM1;CSTF2;RACK1;TCP1;SRSF7;MCM6;ODC1;CCT4;FAM120A;LSM7;HNRNPU","CD8_Tem","Not significant"
"MYC TARGETS V2",0.26081223628692,0.357685352622062,0.0435598039078413,-0.278254943697985,-1.11725891728602,57,"DUSP2;IPO4;MCM5;NOP2;SLC19A1;SRM;HSPD1;NPM1;TMEM97;HK2;HSPE1;RCL1;MCM4;PPRC1;RRP12","CD8_Tem","Not significant"
