,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Interferon Gamma Response,-0.5306199462753343,-2.5849354552741293,0.0,0.0,0.0,82/175,15.34%,IFI27;CD38;TNFAIP3;APOL6;JAK2;LY6E;CCL5;GBP4;UBE2L6;IRF7;PLSCR1;IRF9;STAT1;NAMPT;RNF213;GCH1;STAT2;LAP3;PARP12;USP18;TAP1;CD69;ARID5B;ISG15;LGALS3BP;HELZ2;XAF1;STAT3;GPR18;ISG20;ISOC1;EPSTI1;IRF8;PSME2;MYD88;IFI44L;MTHFD2;SAMD9L;IFIT1;PSME1;OAS2;RNF31;PSMB8;PSMB2;PELI1;NFKB1;ZNFX1;WARS1;SPPL2A;RSAD2;SP110;SAMHD1;TOR1B;NUP93;NLRC5;CDKN1A;TRAFD1;MX1;CD274;CD74;IFIT3;AUTS2;CD86;IFI35;BANK1;TRIM25;BST2;HIF1A;PARP14;IFIH1;PDE4B;RBCK1;CMPK2;ADAR;DDX60;ST3GAL5;PSMB10;PSMB9;CASP3;NCOA3;OASL;TAPBP
1,prerank,Interferon Alpha Response,-0.5793371137264066,-2.573046546134074,0.0,0.0,0.0,45/93,15.04%,IFI27;LY6E;GBP4;UBE2L6;IRF7;PLSCR1;IRF9;STAT2;LAP3;PARP12;USP18;OAS1;GBP2;TAP1;ISG15;LGALS3BP;HELZ2;PARP9;ISG20;EPSTI1;PSME2;IFI44L;SAMD9L;PSME1;RNF31;PSMB8;SAMD9;WARS1;RSAD2;SP110;CNP;TRAFD1;MX1;CD74;IFIT3;IFI35;TRIM25;BST2;PARP14;IFIH1;CMPK2;ADAR;DDX60;PSMB9;OASL
2,prerank,TNF-alpha Signaling via NF-kB,-0.5106205678738615,-2.4148798962710964,0.0,0.0,0.0,58/155,14.33%,TNFAIP3;SIK1;MCL1;CEBPD;CCL5;DUSP5;BTG2;NAMPT;DUSP2;GCH1;TIPARP;GFPT2;NR4A3;GADD45A;JUNB;TAP1;CD69;IL6ST;TNFSF9;NFAT5;SLC2A3;FOSL2;SPHK1;BTG3;PTGER4;ZFP36;REL;SERPINE1;KDM6B;BIRC2;NFKB1;PMEPA1;GADD45B;KLF10;BCL6;CCL4;MAP2K3;LITAF;RELB;CDKN1A;PANX1;NFKB2;ZC3H12A;KLF4;PER1;IFIH1;PDE4B;CEBPB;RELA;ETS2;ID2;SNN;NR4A2;PFKFB3;DUSP4;BCL3;MAFF;ATP2B1
3,prerank,UV Response Up,-0.4679959892024183,-2.1636413981450335,0.0,0.0,0.0,53/118,19.83%,BAK1;BCL2L11;BTG2;CHKA;GCH1;ATP6V1F;JUNB;TAP1;IL6ST;CDKN1C;CEBPG;E2F5;TFRC;BTG3;FKBP4;NPTX2;DNAJB1;NAT1;HSPA13;CCNE1;SLC25A4;TST;MARK2;AGO2;ARRB2;HMOX1;CNP;TUBA4A;GRINA;CYB5B;STK25;ABCB1;CDC5L;BSG;H2AX;DDX21;AMD1;ACAA1;MRPL23;CASP3;PPAT;GRPEL1;FURIN;IRF1;MGAT1;RPN1;NUP58;CDC34;FOS;STIP1;DNAJA1;KLHDC3;YKT6
4,prerank,G2-M Checkpoint,-0.4274542877548387,-2.054937177180442,0.0,0.0,0.0,53/177,13.12%,H2BC12;EZH2;SMC4;CENPE;LBR;KPNA2;HMGA1;LMNB1;SLC12A2;KNL1;CKS2;NASP;RBM14;TOP1;NUSAP1;FBXO5;KIF11;UBE2S;KIF23;SRSF2;GSPT1;HMGB3;DDX39A;RAD23B;TOP2A;NUP50;NDC80;POLQ;TACC3;TLE3;SS18;UPF1;MCM5;MAP3K20;SLC7A5;CDK1;JPT1;ATF5;KIF5B;RACGAP1;CCNF;DBF4;SLC38A1;HIF1A;CENPF;H2AX;TGFB1;CUL3;KIF20B;LIG3;AMD1;ORC6;ABL1
5,prerank,Mitotic Spindle,-0.3646642148730411,-1.7521895524407054,0.0,0.007697141061891298,0.021,64/171,22.60%,SMC4;CENPE;BCL2L11;LMNB1;ATG4B;EPB41;TBCD;PPP4R2;PCNT;WASF2;NET1;NUSAP1;BCR;FBXO5;KIF11;SPTAN1;PREX1;KIF23;ECT2;TOP2A;MAPRE1;NDC80;ARHGEF7;SEPTIN9;RANBP9;FGD6;PIF1;TUBA4A;RALBP1;RASA1;CDK1;GEMIN4;KIF5B;RACGAP1;EZR;HOOK3;STAU1;PXN;CENPF;MYO9B;TLK1;KIF20B;MYH9;ABL1;ARF6;PRC1;CSNK1D;ARHGAP4;KATNB1;RHOF;CDC42EP4;CYTH2;CEP57;TRIO;INCENP;AKAP13;CEP192;SPTBN1;SMC3;PLEKHG2;RASA2;CLASP1;SAC3D1;TPX2
6,prerank,Epithelial Mesenchymal Transition,0.4351492905877116,1.7111798748754707,0.0030581039755351682,0.01499142901667446,0.037,21/79,11.70%,VIM;IGFBP3;FAS;IL15;TGFBI;LOXL1;SGCD;TIMP1;AREG;LGALS1;SGCB;CAPG;ENO2;CD59;SNTB1;TPM4;LAMA2;ITGB1;NOTCH2;MAGEE1;NT5E
7,prerank,Notch Signaling,0.5851112317891807,1.7099790041162848,0.00684931506849315,0.00749571450833723,0.037,8/19,13.66%,TCF7L2;ARRB1;APH1A;NOTCH2;NOTCH1;CUL1;MAML2;SKP1
8,prerank,IL-6/JAK/STAT3 Signaling,-0.4276959314759482,-1.6895448615944357,0.002824858757062147,0.010681746779767513,0.034,10/51,3.37%,CD38;BAK1;IRF9;STAT1;STAT2;TNFRSF1B;IL2RG;IL6ST;STAT3;MYD88
9,prerank,E2F Targets,-0.33945618272513023,-1.6435212836814757,0.0,0.017318567389255423,0.061,62/182,22.66%,EZH2;SMC4;CENPE;LBR;KPNA2;HMGA1;LMNB1;SMC6;CKS2;NASP;UBE2S;CTPS1;RRM2;SRSF2;GSPT1;HMGB3;MTHFD2;DDX39A;TFRC;IPO7;TOP2A;MELK;BRMS1L;CCNE1;TACC3;CCP110;MCM5;UBE2T;ING3;CDKN1A;CDK1;JPT1;TUBG1;LIG1;CIT;RACGAP1;BUB1B;PPM1D;H2AX;PCNA;TIMELESS;ORC6;HELLS;DCK;UBR7;WDR90;MCM4;SNRPB;MSH2;XPO1;DONSON;TRIP13;POP7;RPA3;MCM6;SMC3;MLH1;CHEK2;SHMT1;DNMT1;GINS4;SLBP
