Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Myc Targets V1,-0.5926666082966616,-2.841848635459848,0.0,0.0,0.0,109/199,20.08%,VDAC1;EIF3B;EIF4G2;CTPS1;EIF4A1;RAD23B;KPNA2;NOP16;SERBP1;HPRT1;STARD7;PSMB2;UBE2L3;DDX21;PPM1G;SNRPG;PSMA4;HDGF;TXNL4A;PSMA7;RNPS1;IMPDH2;PWP1;CCT2;LDHA;EIF3J;SET;COX5A;SYNCRIP;NOLC1;RPLP0;YWHAQ;ETF1;SMARCC1;PSMC4;TRIM28;CYC1;POLE3;PCBP1;LSM2;PSMD8;C1QBP;SRM;PSMC6;NME1;SRPK1;ILF2;MCM7;CDC45;PABPC1;PSMD14;PSMD3;MCM2;KPNB1;IFRD1;HDAC2;PPIA;AP3S1;TFDP1;HNRNPD;PSMB3;RAN;MCM4;PSMA2;MCM5;SNRPB2;TYMS;PRPS2;COPS5;PSMA6;NDUFAB1;RANBP1;GNL3;GSPT1;PSMD1;KARS1;ERH;TUFM;CCT3;CCT5;PHB2;HSP90AB1;SNRPD1;HNRNPA2B1;MCM6;SF3A1;PGK1;FAM120A;ABCE1;SNRPD3;EIF2S2;CCT7;CDK2;PRDX3;APEX1;HNRNPR;RFC4;CCT4;AIMP2;SRSF2;LSM7;RPL6;NHP2;DEK;PRPF31;IARS1;USP1;EXOSC7;SRSF3
prerank,G2-M Checkpoint,-0.5739445997906198,-2.7095335643756875,0.0,0.0,0.0,105/182,23.60%,SMC4;CENPE;H2BC12;RAD23B;SAP30;KPNA2;MAP3K20;HMGA1;ODF2;HMGB3;BARD1;EZH2;TOP1;SQLE;DR1;NASP;UBE2S;SYNCRIP;NOLC1;LMNB1;LBR;SMAD3;SMARCC1;TLE3;UPF1;CHMP1A;CKS2;CHAF1A;NSD2;STMN1;NCL;CDC45;MCM2;E2F3;CUL4A;KNL1;KPNB1;DDX39A;TACC3;ATF5;SMC1A;KMT5A;MTF2;CHEK1;CDC6;GINS2;TFDP1;CCNB2;E2F1;H2AZ2;HNRNPD;CDC7;PML;SS18;FBXO5;RACGAP1;MCM5;NDC80;UCK2;JPT1;TPX2;CUL3;ORC6;TOP2A;HIF1A;GSPT1;INCENP;CENPF;EXO1;CCNF;HSPA8;SNRPD1;CDKN2C;MCM6;PRC1;TNPO2;PLK4;SLC7A5;LIG3;TTK;WRN;PAFAH1B1;KIF5B;KIF23;MCM3;CTCF;SRSF2;POLQ;POLE;SUV39H1;MARCKS;NUP50;H2AX;KATNA1;BUB1;SFPQ;TGFB1;NUP98;RBM14;PRMT5;HMGN2;FANCC;ABL1;KIF2C;CDC27
prerank,Mitotic Spindle,-0.5318268053361067,-2.4993090756903715,0.0,0.0,0.0,89/181,23.83%,SMC4;EPB41;CD2AP;CENPE;TIAM1;TRIO;EPB41L2;PCNT;SPTBN1;RAPGEF5;EZR;MYO1E;ROCK1;ACTN4;PPP4R2;CLIP2;KPTN;GEMIN4;LMNB1;ARHGEF7;ATG4B;RHOF;SPTAN1;CLIP1;RABGAP1;WASF2;ANLN;MAPRE1;AKAP13;SMC1A;MARK4;STAU1;CCNB2;FARP1;CAPZB;ARHGDIA;FBXO5;RACGAP1;SEPTIN9;HOOK3;NDC80;CDC42;MYO9B;TPX2;TOP2A;ARHGAP4;DOCK2;INCENP;CENPF;MYH9;RANBP9;SSH2;PRC1;WASL;STK38L;CSNK1D;CKAP5;PLEKHG2;RALBP1;ARF6;TTK;MAP1S;KLC1;KIF3C;PREX1;WASF1;PAFAH1B1;KIF5B;KIF23;ABI1;BCL2L11;MARCKS;KATNA1;BUB1;BIN1;FGD6;SAC3D1;RASA2;NCK1;ARL8A;PDLIM5;TAOK2;ECT2;NET1;NEDD9;ABL1;KIF2C;CDC27;CEP250
prerank,Interferon Gamma Response,-0.5243748460831129,-2.4463684765534435,0.0,0.0,0.0,81/173,20.32%,CD38;AUTS2;IRF4;RNF213;ARID5B;GZMA;LGALS3BP;PSMB2;CCL5;GBP4;PTPN2;UBE2L6;ISG15;LAP3;IFI27;CD69;FAS;NMI;APOL6;MTHFD2;NUP93;OAS2;PELI1;IRF7;USP18;ZNFX1;IFI44L;STAT2;PSMB8;RBCK1;PDE4B;TNFSF10;PSME1;MYD88;EPSTI1;SP110;PARP12;CASP4;NAMPT;PML;CASP3;IRF9;PSMA2;IFIH1;CD74;GCH1;IRF8;PNPT1;TRIM25;PSME2;HIF1A;TNFAIP3;PLSCR1;XAF1;IL15;CMPK2;IRF1;PSMA3;MX1;NFKBIA;RNF31;IL4R;STAT1;TAP1;TRIM21;NCOA3;IFIT3;SPPL2A;IFI35;TAPBP;IFI44;ISG20;SAMD9L;RSAD2;TRAFD1;LYSMD2;OASL;ADAR;ARL4A;DDX60;NFKB1
prerank,Interferon Alpha Response,-0.5544905405981077,-2.3889378025721943,0.0,0.0,0.0,52/93,20.22%,NCOA7;GBP2;LGALS3BP;CCRL2;CNP;GBP4;UBE2L6;SELL;ISG15;LAP3;IFI27;NMI;IRF7;USP18;IFI44L;STAT2;PSMB8;PSME1;EPSTI1;SP110;PARP12;IRF9;IFIH1;CD74;IFITM1;PNPT1;TRIM25;PSME2;LPAR6;PLSCR1;IL15;OAS1;CMPK2;IRF1;PSMA3;PARP9;MX1;RNF31;IL4R;TAP1;TRIM21;IFIT3;LAMP3;IFI35;IFI44;ISG20;SAMD9L;RSAD2;TRAFD1;OASL;ADAR;DDX60
prerank,TNF-alpha Signaling via NF-kB,-0.5041894683812129,-2.3246916193828984,0.0,0.0,0.0,78/158,23.26%,ABCA1;PMEPA1;REL;KLF6;TNIP1;JUN;CCRL2;EFNA1;CCL5;KDM6B;RELB;ZBTB10;CD83;ATP2B1;CD69;PPP1R15A;KLF10;BTG3;SMAD3;BIRC2;B4GALT1;TANK;SPSB1;STAT5A;SIK1;PDE4B;MAFF;IER5;FOS;B4GALT5;ETS2;PTPRE;NAMPT;NR4A3;MCL1;RCAN1;PTGER4;IFIH1;LDLR;RELA;FOSL2;KLF4;GCH1;TUBB2A;TNFAIP3;NFKBIE;ATF3;NFAT5;MAP2K3;IL7R;IRF1;RNF19B;NFKBIA;GADD45A;DENND5A;TAP1;IL23A;BIRC3;DNAJB4;FOSL1;JUNB;MARCKS;PNRC1;MXD1;ZFP36;MAP3K8;EIF1;NFKB1;SLC2A6;YRDC;BTG2;PFKFB3;ZC3H12A;CCL4;GEM;TSC22D1;PDLIM5;SGK1
prerank,mTORC1 Signaling,-0.48518753103859663,-2.2995915980790422,0.0,0.0,0.0,87/189,20.11%,NFKBIB;HPRT1;PIK3R3;RPN1;SHMT2;PSMA4;PSME3;ARPC5L;PITPNB;SQLE;ENO1;SCD;YKT6;LDHA;MTHFD2L;PPP1R15A;PSMD13;ETF1;MLLT11;GSK3B;PSMC4;RIT1;IGFBP5;MTHFD2;PSMC6;GPI;TFRC;PSMD14;EEF1E1;IMMT;HMGCR;MCM2;ACLY;DDX39A;ADIPOR2;IFRD1;GSR;PPIA;HSPA5;CCT6A;NAMPT;HSPA4;SLC2A1;IDI1;MCM4;SKAP2;LDLR;COPS5;CALR;NMT1;ATP6V1D;CD9;PSAT1;ADD3;PSMC2;TCEA1;ACTR2;HMGCS1;CCNF;ELOVL5;MAP2K3;EBP;SLC6A6;TXNRD1;TMEM97;PSMA3;NUFIP1;CTSC;PGK1;SLC7A5;PDAP1;EIF2S2;RDH11;TRIB3;ATP2A2;TES;GTF2H1;PGM1;CACYBP;SDF2L1;SYTL2;UBE2D3;SEC11A;ABCF2;SLC1A5;SORD;BUB1
prerank,E2F Targets,-0.47423685610639515,-2.2641255447845063,0.0,0.0,0.0,89/184,24.06%,SMC4;CENPE;CTPS1;KPNA2;ING3;PPM1D;HMGA1;HMGB3;BARD1;EZH2;TUBB;SNRPB;PPP1R8;WEE1;BUB1B;NASP;TIMELESS;UBE2S;SYNCRIP;NOLC1;SLBP;LMNB1;LBR;CKS2;MTHFD2;STMN1;PHF5A;TP53;DCK;NME1;TFRC;MCM7;MCM2;DDX39A;TACC3;SMC1A;CHEK1;DNMT1;CCNB2;HNRNPD;RACGAP1;RAN;MCM4;MCM5;GINS3;UBR7;JPT1;CSE1L;ORC6;TOP2A;RANBP1;GSPT1;MSH2;DCLRE1B;DCTPP1;IPO7;CDKN2C;PAICS;MCM6;PLK4;RAD51AP1;RFC3;PRKDC;MCM3;CTCF;POP7;SRSF2;NCAPD2;POLE;SUV39H1;DEK;H2AX;LYAR;SMC6;POLD1;USP1;GINS1;RAD1;NUP153;DIAPH3;PA2G4;XRCC6;BRCA1;TUBG1;NOP56;KIF2C;PCNA;PMS2;ASF1B
prerank,PI3K/AKT/mTOR  Signaling,-0.5018693453899306,-2.1122533864738053,0.0,0.0,0.0,52/92,24.18%,TIAM1;PRKAG1;NFKBIB;PIK3R3;TSC2;MAPK1;AP2M1;PLCG1;PTPN11;PFN1;ARF1;CSNK2B;GSK3B;UBE2N;RIT1;CFL1;ARPC3;STAT2;CAMK4;MYD88;PPP1CA;E2F1;RAC1;SLC2A1;ARHGDIA;AKT1S1;CALR;MAPK8;YWHAB;ACTR2;MKNK2;AKT1;MAP2K3;CLTC;RPS6KA1;PTEN;CDK2;TRIB3;PLCB1;PIN1;UBE2D3;ITPR2;VAV3;IL2RG;MAPK10;LCK;NCK1;TRAF2;GRK2;ACTR3;SMAD2;ATF1
prerank,Oxidative Phosphorylation,-0.43285605020382,-2.060599418685142,0.0,0.0,0.0,94/198,24.44%,VDAC1;SLC25A5;ATP5F1C;IDH2;ATP5F1B;CS;CYCS;OGDH;ATP5F1E;LDHA;COX5A;COX6A1;ALAS1;NDUFA7;TIMM8B;NDUFS6;COX7B;SDHD;NDUFA6;CYC1;NDUFA9;GPI;MDH2;MRPS12;MRPS15;IMMT;MRPS11;ATP5PB;ACAA2;ISCA1;UQCRQ;ATP5MC3;ATP6V0B;MRPL15;UQCRC2;UQCRC1;NDUFA2;ATP5MF;SLC25A6;PDP1;ATP1B1;NDUFC2;BDH2;NDUFS3;NDUFAB1;PDHB;ATP6V1D;NDUFV1;RETSAT;MFN2;ATP6V1F;CYB5R3;TOMM22;SLC25A20;BAX;IDH3B;POLR2F;ATP5PF;ETFA;UQCRH;PHB2;DLD;PMPCA;TIMM13;NDUFB4;NDUFB6;SDHB;PRDX3;AFG3L2;NNT;MDH1;UQCR10;ATP6V1H;CYB5A;MRPL34;ACAA1;UQCRFS1;ACADM;RHOT1;SUCLG1;NDUFS1;AIFM1;MRPS22;VDAC2;HCCS;NDUFB3;ATP6V0C;COX6B1;MTRR;SLC25A12;BCKDHA;ATP5ME;ETFB;NDUFS8
