,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Interferon Gamma Response,-0.5939258441307447,-3.018947509513444,0.0,0.0,0.0,86/174,14.08%,CD38;UBE2L6;ISG15;IFI44L;LY6E;LGALS3BP;MX1;IRF9;IRF7;RBCK1;CD74;PTPN2;JAK2;RNF213;GPR18;PSME2;CIITA;IFI44;STAT2;OAS2;PSMB8;XAF1;KLRK1;RSAD2;EIF2AK2;USP18;PSMB9;IFI35;MVP;PML;EPSTI1;PSMB2;CASP4;OASL;STAT1;SAMD9L;NLRC5;ISG20;OAS3;PSME1;TRIM21;PARP12;SOCS3;TNFSF10;GBP4;SLAMF7;MX2;PARP14;CCL5;TRAFD1;SP110;PSMB10;IRF5;DHX58;PDE4B;IFITM2;ITGB7;MYD88;TAP1;NMI;GCH1;TNFAIP3;ARID5B;IFITM3;NCOA3;RNF31;LYSMD2;WARS1;IL4R;STAT3;PLSCR1;VAMP5;SAMHD1;CD69;IRF2;HLA-DMA;IFIT1;OGFR;IFI27;HLA-B;VAMP8;XCL1;CMPK2;TRIM25;AUTS2;HELZ2
1,prerank,Interferon Alpha Response,-0.6360753174879635,-2.8885108419610246,0.0,0.0,0.0,53/91,14.57%,UBE2L6;ISG15;IFI44L;PARP9;LY6E;LGALS3BP;MX1;IRF9;IRF7;CD74;OAS1;PSME2;IFITM1;IFI44;STAT2;PSMB8;NUB1;RSAD2;SAMD9;EIF2AK2;USP18;PSMB9;IFI35;EPSTI1;OASL;SAMD9L;ISG20;PSME1;TRIM21;PARP12;SELL;GBP4;PARP14;TRAFD1;SP110;DHX58;IFITM2;TAP1;NMI;CNP;IFITM3;RNF31;WARS1;IL4R;PLSCR1;MVB12A;IRF2;OGFR;IFI27;CMPK2;TRIM25;HELZ2;TMEM140
2,prerank,Oxidative Phosphorylation,-0.3982002141123412,-2.073569253839649,0.0,0.0013289919595986445,0.002,80/198,23.48%,NDUFB4;NDUFA3;HADHB;ATP5MC2;COX6B1;IDH2;NDUFS7;MRPS12;NDUFB8;UQCR10;ATP5F1B;ATP5F1C;ATP6V0B;PRDX3;COX7B;BCKDHA;NDUFA9;BDH2;ECH1;MTRF1;SLC25A12;CPT1A;MRPL35;CYB5A;ATP5MF;NDUFB3;ECHS1;VDAC2;FH;TIMM50;DECR1;NDUFC2;NDUFA2;PDHA1;UQCRC1;ACAA1;DLST;ETFA;NDUFB2;ATP6V1F;IMMT;MRPS15;PMPCA;COX10;SURF1;MTX2;NDUFA7;TIMM17A;ATP5PB;MDH1;IDH1;SLC25A6;ATP6V1D;ATP5F1A;ATP6V1H;NDUFS3;ATP5PO;UQCRH;COX6C;ATP5MC1;SLC25A20;COX5A;PDP1;NDUFAB1;ACAA2;ECI1;UQCRC2;HSPA9;COX7A2;ATP5F1E;TIMM13;TOMM22;ATP5MC3;COX15;OXA1L;ACAT1;LDHA;AIFM1;ATP5PF;SLC25A5
3,prerank,Allograft Rejection,-0.34838107122081824,-1.72799874186753,0.0,0.012957671606086784,0.026,44/149,15.91%,CD96;WAS;CD7;IRF7;CD74;JAK2;CD79A;HLA-DRA;IL2RG;STAT1;FYB1;IL16;PTPRC;CXCR3;CCL5;IL12RB1;NCR1;PSMB10;CSK;SRGN;ETS1;TAP1;FASLG;EIF3J;NCK1;HCLS1;GZMB;WARS1;CRTAM;IL4R;CCR1;DARS1;TAP2;TRAT1;FGR;TRAF2;HLA-DMA;CTSS;NCF4;ITK;EIF5A;CAPG;IFNG;ZAP70
4,prerank,IL-6/JAK/STAT3 Signaling,-0.4102658164813482,-1.7051443324130788,0.00273224043715847,0.013157020400026581,0.033,14/51,9.81%,CD38;HMOX1;IRF9;PTPN2;STAT2;IL2RG;STAT1;SOCS3;IL12RB1;MYD88;BAK1;IL4R;CCR1;STAT3
5,prerank,Fatty Acid Metabolism,-0.30252061736992386,-1.4568710457263747,0.006557377049180328,0.08837796531330984,0.227,40/120,20.72%,UBE2L6;S100A10;ADSL;HADHB;KMT5A;YWHAH;PSME1;GSTZ1;ECH1;ALDH9A1;MIF;CPT1A;EHHADH;HADH;ACOT8;ECHS1;FH;DECR1;ENO3;PDHA1;ACAA1;DLST;NTHL1;LGALS1;ACADS;ALAD;ACSL5;REEP6;MDH1;IDH1;FASN;CBR3;HIBCH;GCDH;CPOX;PCBD1;ACAA2;ACSL1;CBR1;ECI1
6,prerank,Inflammatory Response,-0.3035218943728641,-1.442813025322463,0.006622516556291391,0.08742868534216797,0.257,18/107,6.82%,LY6E;IRF7;GPR183;IFITM1;EIF2AK2;KLF6;SERPINE1;RHOG;SELL;CD82;SLC31A1;TNFSF10;CCL5;PDE4B;CHST2;NMI;GCH1;RGS1
7,prerank,UV Response Dn,0.3457458508598201,1.4400223510028283,0.020497803806734993,0.4025977967284756,0.507,41/94,29.86%,NR1D2;LDLR;BMPR1A;SMAD3;PRKCA;ID1;CITED2;DUSP1;PRKCE;RXRA;WDR37;PHF3;AKT3;INSIG1;BCKDHB;CDKN1B;MIOS;NOTCH2;KIT;MAPK14;MT1E;PTEN;SCAF8;ARHGEF9;SCN8A;PDLIM5;PIK3R3;SLC7A1;MAP2K5;NIPBL;DYRK1A;MGLL;ACVR2A;PDGFRB;TENT4A;ATRN;TGFBR2;ERBB2;TGFBR3;CDK13;DBP
8,prerank,Epithelial Mesenchymal Transition,0.3549120407348348,1.4325286184278607,0.030165912518853696,0.21495554004430822,0.526,32/76,25.92%,JUN;GLIPR1;PLOD3;SAT1;SGCD;IL15;COL6A2;LOXL2;BMP1;TIMP1;COPA;CADM1;LAMA2;THBS1;MCM7;ITGB1;ENO2;NOTCH2;SGCB;GAS1;FUCA1;PLAUR;IGFBP3;ITGAV;PLOD1;SERPINE2;CD44;PDGFRB;ACTA2;PCOLCE;AREG;VIM
9,prerank,Cholesterol Homeostasis,0.3673311887952212,1.425388694252771,0.044182621502209134,0.15386482959545994,0.547,20/61,21.32%,SREBF2;CLU;ACSS2;HMGCS1;LDLR;EBP;SC5D;SQLE;ATF5;ALDOC;ERRFI1;STARD4;FADS2;ATXN2;ACAT2;PNRC1;LSS;PCYT2;PLAUR;ANTXR2
10,prerank,PI3K/AKT/mTOR  Signaling,-0.28897012303726,-1.3609395231981547,0.019230769230769232,0.14527543358362682,0.433,24/92,19.07%,STAT2;CAMK4;IL2RG;AP2M1;ARPC3;ARF1;MYD88;AKT1S1;PPP1CA;ACTR2;FASLG;NCK1;CSNK2B;DAPP1;MAPK1;PIN1;TRAF2;RIT1;RPS6KA1;PFN1;TSC2;UBE2D3;UBE2N;ATF1
11,prerank,TNF-alpha Signaling via NF-kB,0.30432999886416173,1.3554197982125944,0.027247956403269755,0.21577493854511245,0.77,51/152,23.13%,DNAJB4;JUN;CD83;IER5;NFKBIA;PHLDA1;BTG2;LDLR;IL23A;SMAD3;IFIT2;SAT1;FOSB;DUSP1;NR4A1;IER3;B4GALT5;MSC;KYNU;ZC3H12A;KLF2;IER2;PPP1R15A;IL18;KDM6B;SOD2;PLK2;SLC16A6;IL6ST;BCL2A1;PTPRE;BIRC3;FOSL1;EGR1;SLC2A6;TSC22D1;PNRC1;MXD1;TANK;CCNL1;EIF1;IL15RA;NFKB2;PDLIM5;NFKBIE;PLAUR;CCRL2;TGIF1;RCAN1;KLF9;CD44
12,prerank,Complement,-0.2718305517401117,-1.3232328100431452,0.025454545454545455,0.17210445876802447,0.521,31/127,13.70%,WAS;FCER1G;IRF7;JAK2;PPP2CB;CASP9;PSMB9;SERPINE1;CASP4;RHOG;CBLB;TIMP2;GZMK;CCL5;GNB4;ERAP2;TNFAIP3;APOBEC3G;GZMB;GNAI2;CALM3;PLSCR1;CTSB;DOCK10;RABIF;IRF2;LTA4H;CTSS;DUSP5;CTSD;XPNPEP1
13,prerank,Androgen Response,0.31975656191814017,1.2903593438122112,0.1047040971168437,0.28886528481684925,0.91,26/81,22.35%,ADAMTS1;HMGCS1;ANKH;SAT1;FADS1;CDK6;TPD52;NDRG1;PLPP1;UAP1;MAF;PGM3;XRCC5;CDC14B;INSIG1;SPCS3;CAMKK2;TMEM50A;TSC22D1;PIAS1;PDLIM5;ITGAV;IQGAP2;RRP12;APPBP2;ABCC4
14,prerank,IL-2/STAT5 Signaling,0.274395425137103,1.2325423231972834,0.10584958217270195,0.36954872386270526,0.978,51/146,26.45%,CD83;RORA;NFKBIZ;BCL2;PHLDA1;FGL2;CAPN3;PTCH1;MYO1E;NDRG1;PRNP;PLPP1;TNFRSF18;ITGA6;SOCS1;SOCS2;CKAP4;SNX9;ICOS;P4HA1;GABARAPL1;RABGAP1L;CCND2;MXD1;IFNGR1;PHTF2;IGF2R;BMPR2;SPRED2;IL18R1;AGER;RHOH;ARL4A;IRF8;RNH1;PNP;XBP1;ETFBKMT;FLT3LG;ITGAV;LRRC8C;F2RL2;CD44;AHCY;FAH;IKZF4;IRF6;TNFRSF4;TWSG1;ODC1;SYT11
15,prerank,Myc Targets V1,-0.23239628724824557,-1.2263820001274388,0.03571428571428571,0.32234699980065123,0.769,59/197,24.17%,HSPD1;GSPT1;PSMB2;HSPE1;VBP1;RNPS1;PWP1;PSMC4;PRDX3;SERBP1;TUFM;LSM2;PSMA4;PSMB3;STARD7;PSMA1;KPNA2;MRPS18B;YWHAE;EIF3J;RAD23B;EPRS1;CAD;CTPS1;HDAC2;TXNL4A;TCP1;SYNCRIP;CCT2;COPS5;PCBP1;PSMC6;PSMD8;EIF3B;SNRPD1;RACK1;MYC;COX5A;UBE2L3;EIF4G2;EIF2S1;TYMS;PRPS2;NDUFAB1;PSMA2;CCT3;HNRNPD;EIF2S2;ETF1;LDHA;C1QBP;SNRPG;SNRPB2;PGK1;BUB3;NPM1;PABPC4;HNRNPR;PABPC1
