"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"ADIPOGENESIS",0.246126126126126,0.5277510730776,0.0533057017908063,-0.21833492169139,-1.08902646280872,158,"BCL6;UCP2;TST;UQCR10;STAT5A;PRDX3;COX7B;BCKDHA;TALDO1;PDCD4;ECH1;ABCB8;SLC66A3;HADH;ECHS1;CHCHD10;ATP1B3;DECR1;ARAF;SLC27A1;CHUK;TKT;UQCRC1;REEP5;IMMT;PFKL;RTN3;ACADS;REEP6;IDH1;DNAJC15;DBT;GADD45A;NDUFS3;ATP5PO;HIBCH","CD56_dim_CD16__KLRC2__NK","Not significant"
"ALLOGRAFT REJECTION",8.92248833334685e-05,0.00107069860000162,0.538434096309916,-0.348381071220818,-1.72470549026913,149,"CD96;WAS;CD7;IRF7;CD74;JAK2;CD79A;HLA-DRA;IL2RG;STAT1;FYB1;IL16;PTPRC;CXCR3;CCL5;IL12RB1;NCR1;PSMB10;CSK;SRGN;ETS1;TAP1;FASLG;EIF3J;NCK1;HCLS1;GZMB;WARS1;CRTAM;IL4R;CCR1;DARS1;TAP2;TRAT1;FGR;TRAF2;HLA-DMA;CTSS;NCF4;ITK;EIF5A;CAPG;IFNG;ZAP70","CD56_dim_CD16__KLRC2__NK","Down with age"
"ANDROGEN RESPONSE",0.06674720628209,0.228847564395737,0.0671281164691295,0.325340213286151,1.33000581238639,82,"ADAMTS1;HMGCS1;ANKH;SAT1;FADS1;CDK6;TPD52;NDRG1;PLPP1;UAP1;MAF;PGM3;XRCC5;CDC14B;INSIG1;SPCS3;CAMKK2;TMEM50A;TSC22D1;PIAS1;PDLIM5;TARP;ITGAV;IQGAP2;RRP12;APPBP2;ABCC4","CD56_dim_CD16__KLRC2__NK","Not significant"
"APICAL JUNCTION",0.601837002478495,0.709300324055711,0.0172087822629597,0.218541974988915,0.931206505705544,105,"PARD6G;PALS1;SKAP2;TAOK2;ZYX;TIAL1;NF1;SGCE;WASL;BMP1;TMEM8B;CTNND1;PTK2;AKT3;INSIG1;JAM3;ITGB1;SORBS3;MAPK14;CRAT;PTEN;NECTIN3;PLCG1;CTNNA1;MAPK13;AMIGO1;PIK3R3","CD56_dim_CD16__KLRC2__NK","Not significant"
"APICAL SURFACE",0.701844773142762,0.765648843428468,0.016875926292044,0.261964100777928,0.844355487143983,26,"MAL;CROCC;TMEM8B;GSTM3;BRCA1;ATP8B1;LYN;GAS1;PLAUR;EFNA5;AKAP7","CD56_dim_CD16__KLRC2__NK","Not significant"
"APOPTOSIS",0.436706150991865,0.655059226487798,0.021729486959042,0.229464880543964,1.00888134377718,131,"JUN;CLU;FEZ1;BTG2;SLC20A1;ANKH;EBP;PMAIP1;SAT1;SC5D;IER3;PPT1;LMNA;NEDD9;IL18;DNAJA1;TIMP1;PTK2;BCAP31;SOD2;CDKN1B;DPYD;BRCA1;CTH;ENO2;F2R","CD56_dim_CD16__KLRC2__NK","Not significant"
"BILE ACID METABOLISM",0.605860693464253,0.709300324055711,0.0178606421248588,0.234112964577359,0.921957982662414,66,"NR3C2;PEX1;FADS1;PHYH;RXRA;EPHX2;HSD17B11;ABCA5;GCLM;PEX7;FADS2;PFKM;RETSAT;HACL1;PXMP2;SOD1;LONP2;ABCA3;SLC23A2","CD56_dim_CD16__KLRC2__NK","Not significant"
"CHOLESTEROL HOMEOSTASIS",0.037671761618033,0.158730158730159,0.0913212902305258,0.367331188795221,1.42725440071695,61,"SREBF2;CLU;ACSS2;HMGCS1;LDLR;EBP;SC5D;SQLE;ATF5;ALDOC;ERRFI1;STARD4;FADS2;ATXN2;ACAT2;PNRC1;LSS;PCYT2;PLAUR;ANTXR2","CD56_dim_CD16__KLRC2__NK","Not significant"
"COAGULATION",0.141835147744946,0.378227060653188,0.0455557680590726,0.324372466696636,1.24064931217711,56,"CLU;CPQ;CTSO;CTSH;PRSS23;F8;DUSP6;BMP1;KLF7;TIMP1;THBS1;ARF4","CD56_dim_CD16__KLRC2__NK","Not significant"
"COMPLEMENT",0.0396825396825397,0.158730158730159,0.131183404131763,-0.271830551740112,-1.31379080478324,127,"WAS;FCER1G;IRF7;JAK2;PPP2CB;CASP9;PSMB9;SERPINE1;CASP4;RHOG;CBLB;TIMP2;GZMK;CCL5;GNB4;ERAP2;TNFAIP3;APOBEC3G;GZMB;GNAI2;CALM3;PLSCR1;CTSB;DOCK10;RABIF;IRF2;LTA4H;CTSS;DUSP5;CTSD;XPNPEP1","CD56_dim_CD16__KLRC2__NK","Not significant"
"DNA REPAIR",0.603987624613269,0.709300324055711,0.0312542145615791,-0.192433769951774,-0.94434203126719,142,"POLD4;ADA;MPG;ERCC2;PDE4B;RAD52;POLL;CANT1;VPS28;RBX1;HCLS1;VPS37B;REV3L;GTF2F1;POLB;TARBP2;NT5C;SURF1;SUPT4H1;ELOA;CMPK2;AAAS;TAF12;GTF2H5;TSG101;GTF2A2;TAF10;DCTN4;SSRP1;GTF3C5;EDF1;TYMS;ADRM1;GMPR2;POM121;POLR1D;SF3A3;AGO4;NT5C3A;NELFCD;SAC3D1;PDE6G;SDCBP;TAF1C;ZNF707","CD56_dim_CD16__KLRC2__NK","Not significant"
"E2F TARGETS",0.360861270100845,0.603420707299053,0.0240424087834484,0.225960472718231,1.04105971528076,183,"LIG1;ANP32E;PTTG1;HUS1;ASF1A;RAD51C;CENPM;CHEK1;EXOSC8;MXD3;LUC7L3;MCM4;CNOT9;NUP205;DUT;EED;STMN1;MCM7;CDKN1B;PDS5B;BRCA1;STAG1;POLE;NUP107;CDK4;ASF1B;DDX39A;TRA2B;MCM6;TMPO;GINS3;MCM5;KIF22;SRSF1;PRDX4;DSCC1;BARD1;HMGB2;CCP110;NUP153;PSMC3IP;PRKDC;GINS4;PNN;PHF5A;TCF19;MCM2;ATAD2;H2AZ1;PAN2;USP1;RBBP7;NAP1L1;NAA38;XRCC6;HELLS;TK1;TUBB;SRSF2;RAD1","CD56_dim_CD16__KLRC2__NK","Not significant"
