"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"ADIPOGENESIS",0.0474295190713101,0.0929618573797678,0.119991298354729,-0.255373807581694,-1.25069514913506,171,"IMMT;YWHAG;ATP1B3;PTGER3;HADH;ACLY;COQ5;UBQLN1;BCKDHA;RMDN3;AIFM1;PFKL;RTN3;TALDO1;CHUK;LPCAT3;RETSAT;GADD45A;ESYT1;UCP2;PDCD4;PRDX3;STOM;COQ9;ECH1;SLC19A1;SLC5A6;UQCRC1;UCK1;CAT;IDH3G;UQCR10;REEP5;PFKFB3;MAP4K3;RAB34;ECHS1;HIBCH;PEX14;ACOX1;STAT5A;TST;ENPP2;DDT;DECR1;CS;PIM3;AK2;JAGN1;BCL6;ABCA1;ABCB8;SUCLG1;IDH1;SQOR;BCL2L13;MDH2;GPD2;SLC66A3;NMT1;DBT;COX8A","CD56_dim_CD16__NK","Not significant"
"ALLOGRAFT REJECTION",1.73061353516889e-06,1.21142947461823e-05,0.643551836150722,-0.382259975242406,-1.86586754483458,167,"TRAT1;IRF7;JAK2;IL2RG;CD79A;STAT1;GZMB;EIF3A;FYB1;TAP1;TAP2;CCND2;FASLG;ETS1;WAS;BRCA1;NCR1;TRAF2;EIF3J;UBE2D1;ELF4;LY86;CD7;IRF8;LYN;CD74;PTPRC;CD3G;RIPK2;PSMB10;FGR;CD96;GPR65;HLA-DRA;CSK;EIF5A;IL16;CCL4;BCL3;CD4;TLR2;IKBKB;IRF4;WARS1;DEGS1;KLRD1;CD40LG;SIT1;AARS1;CTSS","CD56_dim_CD16__NK","Down with age"
"ANDROGEN RESPONSE",0.970027666769136,0.970027666769136,0.0110317644059308,0.170116685343616,0.6933566540275,87,"ADAMTS1;ABCC4;CDC14B;FADS1;DHCR24;HMGCS1;ANKH;MAK;PDLIM5;PA2G4;RRP12;DNAJB9;SAT1;CDK6;INSIG1;HERC3;APPBP2;HMGCR;ELOVL5;SELENOP;PIAS1;NDRG1;MYL12A;PGM3;INPP4B","CD56_dim_CD16__NK","Not significant"
"ANGIOGENESIS",0.363796443035746,0.434781114847599,0.0282764277273184,0.384175489893931,1.07739636867533,16,"S100A4;TIMP1","CD56_dim_CD16__NK","Not significant"
"APICAL JUNCTION",0.530527563722584,0.590814786872878,0.0193220780175963,0.223514262053361,0.965358218796996,128,"SORBS3;CTNNA1;AKT3;PIK3CB;THBS3;ZYX;BAIAP2;RRAS;CTNND1;JAM3;CDH4;NLGN3;PALS1;NRTN;CD99;NLGN2;CD274;PKD1;PLCG1;PARD6G;MYL9;SGCE;AMIGO2;RSU1;TGFBI;LIMA1;WASL;MYL12B;INSIG1","CD56_dim_CD16__NK","Not significant"
"APICAL SURFACE",0.169590643274854,0.268062629692511,0.0527683194655535,-0.352227217154715,-1.23734139671136,30,"IL2RG;BRCA1;APP;LYN;CD160;AFAP1L2;B4GALT1;GATA3;MAL;AKAP7","CD56_dim_CD16__NK","Not significant"
"APOPTOSIS",0.0220264317180617,0.0534753604476006,0.172450317477257,-0.286518744310367,-1.3582278526465,136,"CD38;PTK2;TOP2A;TAP1;CCND2;LEF1;FASLG;GCH1;PPP2R5B;TIMP2;BRCA1;GSR;DFFA;ADD1;ISG20;ROCK1;APP;SATB1;HMOX1;CASP4;CASP9;CASP2;CTNNB1;HMGB2;VDAC2;RETSAT;GADD45A;FDXR;GPX1;PDCD4;SPTAN1;CDK2;CASP6;BAX;MCL1;PSEN2;WEE1;BID;CASP7;BTG3;TNFSF10;DDIT3;CASP3;IFITM3;PAK1;GNA15;PRF1;IRF1","CD56_dim_CD16__NK","Not significant"
"BILE ACID METABOLISM",0.095592799503414,0.173483228728418,0.0563335007829073,0.318757806941809,1.27965170031079,79,"NR3C2;PEX1;ABCA3;PEX16;ABCA5;PHYH;FADS1;APOA1;PFKM;DHCR24;SOD1;PEX13;CYP46A1;HACL1;ABCD3","CD56_dim_CD16__NK","Not significant"
"CHOLESTEROL HOMEOSTASIS",0.319712689545092,0.403132570578782,0.0288315581564155,0.281406223516042,1.08365173976195,63,"ACSS2;ALDOC;ERRFI1;SREBF2;SQLE;PCYT2;LDLR;SC5D;TMEM97;HMGCS1","CD56_dim_CD16__NK","Not significant"
"COAGULATION",0.211645962732919,0.305019181585678,0.0363246982246538,0.288506231623628,1.15605207194499,78,"TIMP1;CPQ;CTSO;CTSH;LRP1;CFH;APOA1;MST1;PRSS23;F8;C2;CAPN5;A2M;ISCU;GSN;KLF7;DUSP14;ANXA1;S100A13;CTSV;CTSK;PROS1;MMP11;PLG","CD56_dim_CD16__NK","Not significant"
