"pathway","CD56_bright_CD16-_NK","CD56_dim_CD16__KLRC2__NK","CD56_dim_CD16__NK"
"ALLOGRAFT REJECTION",-1.65555862015096,-1.72470549026913,-1.86586754483458
"INTERFERON ALPHA RESPONSE",-1.95064366048722,-2.90468180681591,-3.34189947762806
"TNFA SIGNALING VIA NFKB",1.62580273717496,NA,-1.4681261534838
"INTERFERON GAMMA RESPONSE",NA,-3.00264425844398,-3.09950918789425
"OXIDATIVE PHOSPHORYLATION",NA,-2.05871033236648,-1.45370791710774
"COMPLEMENT",NA,NA,-1.40715122935303
"DNA REPAIR",NA,NA,-1.41845441802465
"E2F TARGETS",NA,NA,-3.02195652312028
"EPITHELIAL MESENCHYMAL TRANSITION",NA,NA,1.5821038105033
"G2M CHECKPOINT",NA,NA,-3.07261729085166
"IL6 JAK STAT3 SIGNALING",NA,NA,-1.57859098413693
"INFLAMMATORY RESPONSE",NA,NA,-1.43174473595884
"KRAS SIGNALING UP",NA,NA,-1.68663057958944
"MITOTIC SPINDLE",NA,NA,-2.38887703275905
"MTORC1 SIGNALING",NA,NA,-1.72102984515861
"MYC TARGETS V1",NA,NA,-2.05269658764292
"PI3K AKT MTOR SIGNALING",NA,NA,-1.62155121383698
"UNFOLDED PROTEIN RESPONSE",NA,NA,-1.49942033226258
"UV RESPONSE UP",NA,NA,-1.59610934272539
