Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Interferon Alpha Response,-0.4920942664718836,-1.9374874260221577,0.0,0.003238534842167957,0.003,31/68,23.41%,TXNIP;TRIM25;IRF9;UBE2L6;CD47;RIPK2;ISG20;PARP9;ELF1;RNF31;IFI35;IRF7;TMEM140;MX1;IFITM3;PSMB8;STAT2;NMI;PSME2;PLSCR1;TRAFD1;PSMB9;CASP8;CMTR1;IFI44;UBA7;NUB1;HLA-C;IFITM2;NCOA7;CASP1,CD56_bright_CD16-_NK
prerank,TGF-beta Signaling,0.46450656230114273,1.681994019855896,0.016055045871559634,0.0741067490074989,0.081,8/33,6.44%,SPTBN1;BMPR1A;PPM1A;CTNNB1;SMAD3;UBE2D3;SKIL;SMAD7,CD56_bright_CD16-_NK
prerank,Allograft Rejection,-0.3826308260522343,-1.663949804442295,0.0016025641025641025,0.06585020845741513,0.114,22/111,8.96%,KLRD1;GPR65;ETS1;SRGN;PRKCB;GZMB;CD47;CCL4;RIPK2;WAS;ELF4;CCND3;CD7;DARS1;LYN;FGR;TPD52;CAPG;ABCE1;IRF7;IRF8;HLA-DRA,CD56_bright_CD16-_NK
prerank,TNF-alpha Signaling via NF-kB,0.3676028554071588,1.6527628817277746,0.0,0.04719894133215704,0.102,25/93,7.30%,JUN;FOS;SLC2A3;SQSTM1;REL;KLF6;NR4A3;RELB;NR4A2;DUSP1;CD69;BTG2;CCNL1;BIRC2;SMAD3;IER2;CD83;GADD45B;IRF1;BCL3;KDM6B;FOSB;NAMPT;IER5;EIF1,CD56_bright_CD16-_NK
prerank,KRAS Signaling Up,-0.40982783608410484,-1.604571589163859,0.0034423407917383822,0.07988385944014294,0.196,25/64,24.88%,IKZF1;PRDM1;ETS1;ID2;CBR4;DNMBP;GLRX;CBL;IRF8;PSMB8;IL7R;USP12;IL2RG;CD37;ST6GAL1;AMMECR1;GYPC;TNFAIP3;HDAC9;MAP3K1;TRAF1;RBM4;LCP1;ADAM8;TRIB2,CD56_bright_CD16-_NK
prerank,KRAS Signaling Dn,0.43786995530223793,1.557803057636758,0.034324942791762014,0.06881340979267754,0.211,9/29,9.30%,TENT5C;FGGY;KMT2D;NR4A2;BTG2;IFNG;SKIL;DTNB;MTHFR,CD56_bright_CD16-_NK
prerank,Spermatogenesis,0.39688503511425616,1.4324083191222226,0.0659090909090909,0.13034847816497575,0.442,13/32,23.59%,IL12RB2;ZC3H14;DBF4;PHKG2;PRKAR2A;SLC12A2;BRAF;PEBP1;COIL;MAST2;NF2;IP6K1;ARL4A,CD56_bright_CD16-_NK
prerank,Interferon Gamma Response,-0.3158726730913706,-1.4033706000551127,0.031746031746031744,0.3219643388921978,0.673,34/131,18.36%,TXNIP;TRIM25;SAMHD1;IRF9;UBE2L6;RIPK2;ISG20;KLRK1;MT2A;NLRC5;ARID5B;RNF31;IFI35;IRF7;EIF4E3;IRF8;MX1;IFITM3;PSMB8;PIM1;PSMB2;STAT2;NMI;RAPGEF6;PSME2;PLSCR1;TRAFD1;PTPN6;STAT1;PSMB9;CASP8;CMTR1;TNFAIP3;GCH1,CD56_bright_CD16-_NK
prerank,UV Response Up,0.32281115388248405,1.3504686075194103,0.04523809523809524,0.18773709748566386,0.647,26/67,23.27%,FOS;RASGRP1;SQSTM1;AMD1;BTG2;EIF5;IRF1;PRPF3;FOSB;STIP1;MGAT1;PLCL1;HNRNPU;DNAJB1;POLG2;JUNB;PSMC3;GRPEL1;TAP1;NFKBIA;DDX21;CLTB;IL6ST;ALDOA;GLS;ATP6V1F,CD56_bright_CD16-_NK
prerank,Estrogen Response Late,-0.34407458464926666,-1.328921011842479,0.09358752166377816,0.4350431804645622,0.843,16/53,17.92%,FKBP5;ADD3;ZFP36;ID2;ISG20;DUSP2;AREG;FLNB;RABEP1;IDH2;PDCD4;AFF1;CHPT1;PTPN6;ETFB;SLC1A4,CD56_bright_CD16-_NK
prerank,Mitotic Spindle,-0.3014246935200834,-1.3285469446511622,0.052307692307692305,0.36361549533452453,0.845,24/113,14.20%,MYH9;CLASP1;ABL1;PXN;PKD2;AKAP13;PALLD;TBCD;SSH2;NOTCH2;RALBP1;KIF3B;FLNB;NCK2;RASA1;ARHGAP27;NEDD9;PCNT;CSNK1D;SPTAN1;MAPRE1;ROCK1;RAPGEF6;ARF6,CD56_bright_CD16-_NK
prerank,Wnt-beta Catenin Signaling,0.4383339624107176,1.3261507374919372,0.13626373626373625,0.18467872371710045,0.71,5/17,13.46%,CSNK1E;CTNNB1;CCND2;AXIN1;ADAM17,CD56_bright_CD16-_NK
prerank,Bile Acid Metabolism,0.35708249875017567,1.2603086263644088,0.15486725663716813,0.24714852857773018,0.837,11/29,19.88%,PEX1;SCP2;HACL1;ABCD3;PEX16;HSD17B11;IDI1;ABCA5;PRDX5;PEX26;PNPLA8,CD56_bright_CD16-_NK
prerank,Epithelial Mesenchymal Transition,-0.35927325985479985,-1.2277790407151588,0.15608919382504288,0.5954277631243087,0.962,8/33,9.18%,IL32;ID2;LGALS1;MCM7;NOTCH2;AREG;CAPG;SNTB1,CD56_bright_CD16-_NK
prerank,p53 Pathway,-0.28517082713541353,-1.2262142908932647,0.13228346456692913,0.5255872170935081,0.963,17/100,11.81%,TXNIP;PRMT2;TSPYL2;SESN1;KIF13B;DDIT4;RHBDF2;CCND3;SLC19A2;LDHB;CTSD;MDM2;S100A10;ABCC5;H1-2;ZBTB16;TM7SF3,CD56_bright_CD16-_NK
prerank,Complement,-0.28774890226373095,-1.2164605902218886,0.11932773109243698,0.49429637350274636,0.972,27/90,20.47%,ERAP2;CEBPB;GZMB;CBLB;WAS;PIK3R5;CD55;CTSD;LYN;GATA3;AKAP10;ITGAM;IRF7;PIM1;CALM3;KIF2A;PLSCR1;RAF1;PFN1;RBSN;DOCK10;PSMB9;PSEN1;TNFAIP3;CCL5;GRB2;EHD1,CD56_bright_CD16-_NK
prerank,heme Metabolism,0.2519271790435893,1.1202031394983791,0.271356783919598,0.4951477723864138,0.982,29/95,23.36%,TENT5C;BACH1;BTG2;YPEL5;ADIPOR1;NUDT4;RBM38;H4C3;NR3C1;KDM7A;FOXO3;FBXO9;RAD23A;GCLC;BNIP3L;DAAM1;SDCBP;DCAF10;RIOK3;HTRA2;ISCA1;BPGM;ARHGEF12;RBM5;TMEM9B;SLC2A1;ARL2BP;DCUN1D1;CIR1,CD56_bright_CD16-_NK
prerank,mTORC1 Signaling,0.23533200611303173,1.1134366725052582,0.2028169014084507,0.45640347007792975,0.986,31/128,18.14%,SLC2A3;NFKBIB;HSPA9;SQSTM1;ACSL3;ETF1;HMGCR;BTG2;IFRD1;PSMC4;SYTL2;PSMD14;UBE2D3;COPS5;NAMPT;RAB1A;STIP1;GCLC;GBE1;IDI1;LDLR;GGA2;PRDX1;UFM1;GLA;CTSC;ELOVL6;SKAP2;CACYBP;SLC7A5;STARD4,CD56_bright_CD16-_NK
prerank,Glycolysis,-0.26926697806782135,-1.1023360895185523,0.2985553772070626,0.8314398451459202,1.0,23/75,21.20%,DDIT4;ISG20;FUT8;GLRX;SOD1;SLC25A13;GALK2;ANKZF1;HDLBP;PPIA;ME2;ARPP19;DLD;KIF2A;CHST12;HS2ST1;COPB2;ENO1;STMN1;GUSB;PMM2;AKR1A1;TXN,CD56_bright_CD16-_NK
prerank,UV Response Dn,-0.2749471334067409,-1.0983058894781836,0.2894736842105263,0.76910295630516,1.0,16/71,12.63%,CELF2;ADD3;MAPK14;MGMT;DMAC2L;PEX14;SIPA1L1;NOTCH2;MRPS31;MAP2K5;ATRX;TGFBR2;CDKN1B;SYNE1;GCNT1;SFMBT1,CD56_bright_CD16-_NK
prerank,Androgen Response,-0.2776345236521125,-1.0747177760144253,0.3344,0.7888531119714115,1.0,8/57,7.18%,FKBP5;SEC24D;IQGAP2;CCND3;SMS;ARID5B;TPD52;GSR,CD56_bright_CD16-_NK
prerank,Hypoxia,-0.2553956931488254,-1.0686759838799884,0.31281198003327787,0.7477693911210885,1.0,15/85,10.69%,MYH9;ETS1;TIPARP;DDIT4;ZFP36;ISG20;MT2A;GLRX;NFIL3;TPD52;GAPDH;ANKZF1;PIM1;CDKN1B;HDLBP,CD56_bright_CD16-_NK
prerank,Xenobiotic Metabolism,-0.27722563507881753,-1.0580684555401385,0.35365853658536583,0.7304438228537395,1.0,11/54,12.44%,ID2;CNDP2;MT2A;PTGDS;MAN1A1;NMT1;GSR;IRF8;GART;ARPP19;DDT,CD56_bright_CD16-_NK
prerank,Apoptosis,0.23703134969567186,1.0338832986401074,0.3837837837837838,0.6112042346713719,0.999,17/84,12.23%,JUN;SQSTM1;CTNNB1;ETF1;CCND2;CD69;BTG2;GADD45B;IRF1;PPP3R1;SMAD7;IGF2R;RARA;BNIP3L;DNAJC3;PMAIP1;DPYD,CD56_bright_CD16-_NK
prerank,Reactive Oxygen Species Pathway,-0.2912516504501284,-1.031273557900546,0.39371534195933455,0.7683243994441136,1.0,8/37,10.22%,IPCEF1;MBP;NDUFS2;GLRX;SOD1;GSR;PRDX2;FES,CD56_bright_CD16-_NK
prerank,Estrogen Response Early,-0.2634589670504831,-1.0298365407254013,0.41551724137931034,0.7254318046456224,1.0,9/64,7.93%,FKBP5;SH3BP5;TIPARP;ADD3;UNC119;SLC19A2;ELF1;AREG;FLNB,CD56_bright_CD16-_NK
prerank,Apical Junction,-0.26183537077644015,-0.9936917903412638,0.4837662337662338,0.7948380513611043,1.0,20/51,27.78%,MYH9;SYK;MAPK14;CAP1;RASA1;CNN2;MSN;CD99;PFN1;RSU1;EVL;CDK8;TRAF1;PTPRC;FYB1;MYL12B;ACTG1;RAC2;GNAI2;ITGB1,CD56_bright_CD16-_NK
