Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Interferon Alpha Response,-0.4920942664718836,-1.9374874260221577,0.0,0.003238534842167957,0.003,31/68,23.41%,TXNIP;TRIM25;IRF9;UBE2L6;CD47;RIPK2;ISG20;PARP9;ELF1;RNF31;IFI35;IRF7;TMEM140;MX1;IFITM3;PSMB8;STAT2;NMI;PSME2;PLSCR1;TRAFD1;PSMB9;CASP8;CMTR1;IFI44;UBA7;NUB1;HLA-C;IFITM2;NCOA7;CASP1,CD56_bright_CD16-_NK
prerank,TNF-alpha Signaling via NF-kB,0.3676028554071588,1.6527628817277746,0.0,0.04719894133215704,0.102,25/93,7.30%,JUN;FOS;SLC2A3;SQSTM1;REL;KLF6;NR4A3;RELB;NR4A2;DUSP1;CD69;BTG2;CCNL1;BIRC2;SMAD3;IER2;CD83;GADD45B;IRF1;BCL3;KDM6B;FOSB;NAMPT;IER5;EIF1,CD56_bright_CD16-_NK
prerank,Interferon Gamma Response,-0.5939258441307447,-3.018947509513444,0.0,0.0,0.0,86/174,14.08%,CD38;UBE2L6;ISG15;IFI44L;LY6E;LGALS3BP;MX1;IRF9;IRF7;RBCK1;CD74;PTPN2;JAK2;RNF213;GPR18;PSME2;CIITA;IFI44;STAT2;OAS2;PSMB8;XAF1;KLRK1;RSAD2;EIF2AK2;USP18;PSMB9;IFI35;MVP;PML;EPSTI1;PSMB2;CASP4;OASL;STAT1;SAMD9L;NLRC5;ISG20;OAS3;PSME1;TRIM21;PARP12;SOCS3;TNFSF10;GBP4;SLAMF7;MX2;PARP14;CCL5;TRAFD1;SP110;PSMB10;IRF5;DHX58;PDE4B;IFITM2;ITGB7;MYD88;TAP1;NMI;GCH1;TNFAIP3;ARID5B;IFITM3;NCOA3;RNF31;LYSMD2;WARS1;IL4R;STAT3;PLSCR1;VAMP5;SAMHD1;CD69;IRF2;HLA-DMA;IFIT1;OGFR;IFI27;HLA-B;VAMP8;XCL1;CMPK2;TRIM25;AUTS2;HELZ2,CD56_dim_CD16__KLRC2__NK
prerank,Interferon Alpha Response,-0.6360753174879635,-2.8885108419610246,0.0,0.0,0.0,53/91,14.57%,UBE2L6;ISG15;IFI44L;PARP9;LY6E;LGALS3BP;MX1;IRF9;IRF7;CD74;OAS1;PSME2;IFITM1;IFI44;STAT2;PSMB8;NUB1;RSAD2;SAMD9;EIF2AK2;USP18;PSMB9;IFI35;EPSTI1;OASL;SAMD9L;ISG20;PSME1;TRIM21;PARP12;SELL;GBP4;PARP14;TRAFD1;SP110;DHX58;IFITM2;TAP1;NMI;CNP;IFITM3;RNF31;WARS1;IL4R;PLSCR1;MVB12A;IRF2;OGFR;IFI27;CMPK2;TRIM25;HELZ2;TMEM140,CD56_dim_CD16__KLRC2__NK
prerank,Oxidative Phosphorylation,-0.3982002141123412,-2.073569253839649,0.0,0.0013289919595986445,0.002,80/198,23.48%,NDUFB4;NDUFA3;HADHB;ATP5MC2;COX6B1;IDH2;NDUFS7;MRPS12;NDUFB8;UQCR10;ATP5F1B;ATP5F1C;ATP6V0B;PRDX3;COX7B;BCKDHA;NDUFA9;BDH2;ECH1;MTRF1;SLC25A12;CPT1A;MRPL35;CYB5A;ATP5MF;NDUFB3;ECHS1;VDAC2;FH;TIMM50;DECR1;NDUFC2;NDUFA2;PDHA1;UQCRC1;ACAA1;DLST;ETFA;NDUFB2;ATP6V1F;IMMT;MRPS15;PMPCA;COX10;SURF1;MTX2;NDUFA7;TIMM17A;ATP5PB;MDH1;IDH1;SLC25A6;ATP6V1D;ATP5F1A;ATP6V1H;NDUFS3;ATP5PO;UQCRH;COX6C;ATP5MC1;SLC25A20;COX5A;PDP1;NDUFAB1;ACAA2;ECI1;UQCRC2;HSPA9;COX7A2;ATP5F1E;TIMM13;TOMM22;ATP5MC3;COX15;OXA1L;ACAT1;LDHA;AIFM1;ATP5PF;SLC25A5,CD56_dim_CD16__KLRC2__NK
prerank,Allograft Rejection,-0.34838107122081824,-1.72799874186753,0.0,0.012957671606086784,0.026,44/149,15.91%,CD96;WAS;CD7;IRF7;CD74;JAK2;CD79A;HLA-DRA;IL2RG;STAT1;FYB1;IL16;PTPRC;CXCR3;CCL5;IL12RB1;NCR1;PSMB10;CSK;SRGN;ETS1;TAP1;FASLG;EIF3J;NCK1;HCLS1;GZMB;WARS1;CRTAM;IL4R;CCR1;DARS1;TAP2;TRAT1;FGR;TRAF2;HLA-DMA;CTSS;NCF4;ITK;EIF5A;CAPG;IFNG;ZAP70,CD56_dim_CD16__KLRC2__NK
prerank,IL-6/JAK/STAT3 Signaling,-0.4102658164813482,-1.7051443324130788,0.00273224043715847,0.013157020400026581,0.033,14/51,9.81%,CD38;HMOX1;IRF9;PTPN2;STAT2;IL2RG;STAT1;SOCS3;IL12RB1;MYD88;BAK1;IL4R;CCR1;STAT3,CD56_dim_CD16__KLRC2__NK
prerank,Interferon Alpha Response,-0.746110133428594,-3.310168662284418,0.0,0.0,0.0,57/94,9.60%,LGALS3BP;IFI27;OAS1;USP18;GBP4;IRF7;PLSCR1;CNP;UBE2L6;STAT2;IFI44L;ISG15;PARP9;IRF9;SAMD9;PARP14;CMPK2;EPSTI1;IFI44;LY6E;SAMD9L;MX1;TAP1;IFI35;PSME2;OGFR;CCRL2;SP110;PSMB8;LAP3;TRAFD1;RSAD2;IFIT3;IFIH1;HERC6;EIF2AK2;IFITM2;MOV10;PARP12;TRIM25;NMI;BST2;DDX60;IFITM1;ADAR;ISG20;RNF31;TMEM140;PSME1;PSMB9;OASL;TRIM14;TRIM5;HELZ2;CD74;RIPK2;TRIM21,CD56_dim_CD16__NK
prerank,G2-M Checkpoint,-0.6156510472173609,-3.08842118527998,0.0,0.0,0.0,113/195,20.19%,H2BC12;HMGA1;NUP50;RBM14;NUMA1;NASP;CENPE;FBXO5;KNL1;LIG3;E2F3;LBR;CKS1B;SMC4;KIF4A;AURKB;TACC3;CENPF;KIF15;KIF2C;TOP2A;CKS2;H2AZ1;KIF11;KPNA2;ODF2;STIL;NUSAP1;BIRC5;LMNB1;TPX2;EZH2;MKI67;NEK2;BARD1;KIF23;CDK1;POLQ;PML;E2F2;TLE3;CDKN3;PRC1;NDC80;MCM5;BUB1;GSPT1;MYBL2;CHMP1A;CDC6;TROAP;ESPL1;MAP3K20;H2AX;UBE2C;ORC6;MNAT1;PBK;CCNA2;HSPA8;HNRNPU;CDC20;HMGB3;MAD2L1;UPF1;CCNB2;TTK;CDC25A;RAD54L;HMMR;HNRNPD;KIF5B;TRAIP;PLK4;RAD23B;STMN1;PLK1;NSD2;TOP1;CDC45;MCM2;JPT1;H2AZ2;BCL3;BRCA2;DTYMK;CDC7;KIF20B;HMGN2;KMT5A;EXO1;MCM6;GINS2;ATRX;UBE2S;XPO1;RAD21;E2F1;SMC2;DR1;RACGAP1;TMPO;SMC1A;CCNF;MCM3;SRSF2;EWSR1;SLC12A2;MYC;CUL1;SLC7A5;PRIM2;CCNT1,CD56_dim_CD16__NK
prerank,Interferon Gamma Response,-0.6252277924278724,-3.078170295270371,0.0,0.0,0.0,102/182,17.26%,LGALS3BP;IFI27;CD38;USP18;GBP4;IRF7;RNF213;PLSCR1;UBE2L6;STAT2;ISOC1;IFI44L;ISG15;JAK2;STAT1;IRF9;XAF1;OAS2;PARP14;CMPK2;EPSTI1;IFI44;LY6E;SAMD9L;IFIT1;OAS3;MX1;RBCK1;TAP1;IFI35;PTPN2;PSME2;OGFR;PLA2G4A;SP110;PSMB8;GPR18;VAMP5;GCH1;LAP3;TRAFD1;RSAD2;IFIT3;IFIH1;HERC6;EIF2AK2;APOL6;IFITM2;PARP12;TRIM25;NMI;ZNFX1;BST2;DDX60;PML;TNFAIP3;NLRC5;PTGS2;ADAR;ISG20;MX2;MTHFD2;RNF31;PSME1;CASP4;IRF8;PSMB9;SPPL2A;OASL;TRIM14;MYD88;STAT3;HELZ2;CD74;KLRK1;RIPK2;PSMB10;TRIM21;AUTS2;ARID5B;PDE4B;PSMB2;CIITA;ST3GAL5;ZBP1;IRF4;NUP93;WARS1;MVP;PSMA3;IRF5;NCOA3;NOD1;PNPT1;ITGB7;RAPGEF6;HLA-B;DHX58;CASP7;PIM1;RTP4;BANK1,CD56_dim_CD16__NK
