cell_type,Term,NES,NOM p-val,FDR q-val,direction
CD56_bright_CD16-_NK,Interferon Alpha Response,-1.9374874260221577,0.0,0.003238534842167957,Down with age
CD56_bright_CD16-_NK,TNF-alpha Signaling via NF-kB,1.6527628817277746,0.0,0.04719894133215704,Up with age
CD56_dim_CD16__KLRC2__NK,Interferon Gamma Response,-3.018947509513444,0.0,0.0,Down with age
CD56_dim_CD16__KLRC2__NK,Interferon Alpha Response,-2.8885108419610246,0.0,0.0,Down with age
CD56_dim_CD16__KLRC2__NK,Oxidative Phosphorylation,-2.073569253839649,0.0,0.0013289919595986445,Down with age
CD56_dim_CD16__KLRC2__NK,Allograft Rejection,-1.72799874186753,0.0,0.012957671606086784,Down with age
CD56_dim_CD16__KLRC2__NK,IL-6/JAK/STAT3 Signaling,-1.7051443324130788,0.00273224043715847,0.013157020400026581,Down with age
CD56_dim_CD16__NK,Interferon Alpha Response,-3.310168662284418,0.0,0.0,Down with age
CD56_dim_CD16__NK,G2-M Checkpoint,-3.08842118527998,0.0,0.0,Down with age
CD56_dim_CD16__NK,Interferon Gamma Response,-3.078170295270371,0.0,0.0,Down with age
CD56_dim_CD16__NK,E2F Targets,-2.9782029654324385,0.0,0.0,Down with age
CD56_dim_CD16__NK,Mitotic Spindle,-2.4225444550771926,0.0,0.0,Down with age
CD56_dim_CD16__NK,Myc Targets V1,-2.04986179835633,0.0,0.0,Down with age
CD56_dim_CD16__NK,Allograft Rejection,-1.8559104800386268,0.0,0.0012545456086665366,Down with age
CD56_dim_CD16__NK,mTORC1 Signaling,-1.7248431333126297,0.0,0.005763068889811902,Down with age
CD56_dim_CD16__NK,KRAS Signaling Up,-1.6641434913078768,0.0,0.009513637532387903,Down with age
CD56_dim_CD16__NK,PI3K/AKT/mTOR  Signaling,-1.6466496327136677,0.0027548209366391185,0.010318637631282263,Down with age
CD56_dim_CD16__NK,IL-6/JAK/STAT3 Signaling,-1.5793440443857698,0.005305039787798408,0.016282956545817757,Down with age
CD56_dim_CD16__NK,UV Response Up,-1.580651783178027,0.0030581039755351682,0.017563638521331512,Down with age
CD56_dim_CD16__NK,Unfolded Protein Response,-1.5195782444436894,0.0,0.025669933223484518,Down with age
CD56_dim_CD16__NK,Oxidative Phosphorylation,-1.4639643472320794,0.0,0.03795000466216274,Down with age
CD56_dim_CD16__NK,TNF-alpha Signaling via NF-kB,-1.4378453656065469,0.0032258064516129032,0.04361636899463992,Down with age
CD56_dim_CD16__NK,DNA Repair,-1.422337011219587,0.002976190476190476,0.04416738510511307,Down with age
CD56_dim_CD16__NK,Inflammatory Response,-1.427539543738606,0.00641025641025641,0.045006823710912004,Down with age
CD56_dim_CD16__NK,Complement,-1.4141354657199698,0.00558659217877095,0.045128793422865694,Down with age
