"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cell_type","direction"
"ADIPOGENESIS",0.689052732809745,0.851775120067803,0.0166157068450855,-0.210155177483311,-0.892106225978835,100,"UCP2;ELMOD3;IMMT;PEX14;MAP4K3;SOD1;NMT1;COX8A;CD151;AK2;ATP1B3;CHCHD10;RMDN3;DDT;DLD;PDCD4;RTN3;DHRS7;ETFB;AGPAT3;ECH1;PFKFB3;SLC25A1;GPHN;CYC1;ARAF;MDH2;NDUFB7;UQCRC1;G3BP2","CD56_bright_CD16-_NK","Not significant"
"ALLOGRAFT REJECTION",0.000948715575383828,0.0213461004461361,0.477270815362862,-0.382630826052235,-1.65555862015096,111,"KLRD1;GPR65;ETS1;SRGN;PRKCB;GZMB;CD47;CCL4;RIPK2;WAS;ELF4;CCND3;CD7;DARS1;LYN;FGR;TPD52;CAPG;ABCE1;IRF7;IRF8;HLA-DRA","CD56_bright_CD16-_NK","Down with age"
"ANDROGEN RESPONSE",0.347855227882038,0.705298431967628,0.0281904457608364,-0.277634523652113,-1.06590119323311,57,"FKBP5;SEC24D;IQGAP2;CCND3;SMS;ARID5B;TPD52;GSR","CD56_bright_CD16-_NK","Not significant"
"APICAL JUNCTION",0.488442719757044,0.741930976666201,0.0226042188560327,-0.26183537077644,-0.981601432865295,51,"MYH9;SYK;MAPK14;CAP1;RASA1;CNN2;MSN;CD99;PFN1;RSU1;EVL;CDK8;TRAF1;PTPRC;FYB1;MYL12B;ACTG1;RAC2;GNAI2;ITGB1","CD56_bright_CD16-_NK","Not significant"
"APOPTOSIS",0.350709677419355,0.705298431967628,0.0363865584085132,0.237031349695672,1.0491310309814,84,"JUN;SQSTM1;CTNNB1;ETF1;CCND2;CD69;BTG2;GADD45B;IRF1;PPP3R1;SMAD7;IGF2R;RARA;BNIP3L;DNAJC3;PMAIP1;DPYD","CD56_bright_CD16-_NK","Not significant"
"BILE ACID METABOLISM",0.168981481481481,0.503056768558952,0.0514297351265247,0.357082498750176,1.24675285979377,29,"PEX1;SCP2;HACL1;ABCD3;PEX16;HSD17B11;IDI1;ABCA5;PRDX5;PEX26;PNPLA8","CD56_bright_CD16-_NK","Not significant"
"CHOLESTEROL HOMEOSTASIS",0.769553072625698,0.887945853029652,0.0205314862893796,0.2291287955684,0.811948236900469,31,"SREBF2;CTNNB1;HMGCR;STX5;IDI1;PDK3;LDLR","CD56_bright_CD16-_NK","Not significant"
"COAGULATION",0.994821428571429,0.994821428571429,0.0128652566558307,-0.151225840694828,-0.490059743127511,26,"PEF1;ANXA1;WDR1;GSN;KLF7;PLEK;PREP;RAC1;CAPN2","CD56_bright_CD16-_NK","Not significant"
"COMPLEMENT",0.159863945578231,0.503056768558952,0.0436087756134531,-0.287748902263731,-1.19682134973115,90,"ERAP2;CEBPB;GZMB;CBLB;WAS;PIK3R5;CD55;CTSD;LYN;GATA3;AKAP10;ITGAM;IRF7;PIM1;CALM3;KIF2A;PLSCR1;RAF1;PFN1;RBSN;DOCK10;PSMB9;PSEN1;TNFAIP3;CCL5;GRB2;EHD1","CD56_bright_CD16-_NK","Not significant"
"DNA REPAIR",0.560570071258907,0.741930976666201,0.0277854840418346,0.211460283779724,0.957032488657582,96,"GTF2B;RALA;GTF2A2;XPC;DCTN4;RNMT;RAE1;ARL6IP1;CSTF3;NELFCD;SURF1;POLR2A;SRSF6;SDCBP","CD56_bright_CD16-_NK","Not significant"
"E2F TARGETS",0.969701827508817,0.994428065240323,0.0116613359308691,-0.166614197318241,-0.704943445105366,98,"MCM7;ORC2;EIF2S1;AK2;DEK;CDKN1B;NCAPD2;EXOSC8;RPA2;NUP205;RRM2;CDC25B;STMN1;SSRP1;DDX39A;MCM3;JPT1;HMGB2;PHF5A;ANP32E;SNRPB;LUC7L3","CD56_bright_CD16-_NK","Not significant"
"EPITHELIAL MESENCHYMAL TRANSITION",0.178864628820961,0.503056768558952,0.0427253227144247,-0.3592732598548,-1.23096911689789,33,"IL32;ID2;LGALS1;MCM7;NOTCH2;AREG;CAPG;SNTB1","CD56_bright_CD16-_NK","Not significant"
"ESTROGEN RESPONSE EARLY",0.39761035512778,0.715698639230003,0.0257048574266212,-0.262759953760555,-1.03378712073166,65,"FKBP5;SH3BP5;TIPARP;ADD3;UNC119;SLC19A2;ELF1;AREG;FLNB","CD56_bright_CD16-_NK","Not significant"
"ESTROGEN RESPONSE LATE",0.0955093833780161,0.390720204728248,0.0587077763275074,-0.341224917511743,-1.30204520377053,55,"FKBP5;ADD3;ZFP36;ID2;ISG20;DUSP2;AREG;FLNB;RABEP1;IDH2;PDCD4;AFF1;CHPT1;PTPN6;ETFB;SLC1A4","CD56_bright_CD16-_NK","Not significant"
"FATTY ACID METABOLISM",0.885980696875511,0.960678637890616,0.0132743746450564,-0.189580217037592,-0.76654012865108,76,"UBE2L6;METAP1;D2HGDH;SMS;LGALS1;RAP1GDS1;S100A10;RDH11;PPARA;DLD;CPT1A;OSTC;AUH;ECH1;PDHB;ACSL4;GLUL;MDH2;LDHA;UROS","CD56_bright_CD16-_NK","Not significant"
"G2M CHECKPOINT",0.700348432055749,0.851775120067803,0.016205298920702,-0.205972557420668,-0.889465950678031,110,"ABL1;HMGN2;MAPK14;EWSR1;MT2A;ODF2;FOXN3;NOTCH2;CUL3;NSD2;RAD23B;ATRX;CDKN1B;MTF2;CUL5;UPF1;H2BC12;SMARCC1;RPA2;HIRA;CDC25B;SMC2;STMN1;E2F4;DDX39A;MCM3;JPT1","CD56_bright_CD16-_NK","Not significant"
"GLYCOLYSIS",0.321773270080157,0.705298431967628,0.0291596706476492,-0.268051126644151,-1.08382587758158,76,"DDIT4;ISG20;FUT8;GLRX;SOD1;SLC25A13;GALK2;ANKZF1;HDLBP;PPIA;ME2;ARPP19;DLD;KIF2A;CHST12;HS2ST1;COPB2;ENO1;STMN1;GUSB;PMM2;AKR1A1;TXN","CD56_bright_CD16-_NK","Not significant"
